,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT_A,COL_LIMIT_COUNT_B,COL_HISTORY_BREAK_INDEX,COL_MA_20_SLOPE,COL_PASS,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300093.SZ,300093,金刚玻璃,玻璃,18.02,1.0,1.0,0.0,2.34,True,34.56,,0.0
1,002222.SZ,002222,福晶科技,元器件,20.11,1.0,1.0,0.0,1.92,True,85.05,,0.0
2,300339.SZ,300339,润和软件,软件服务,10.87,1.0,1.0,0.0,1.6,True,82.1,,0.0
3,002670.SZ,002670,国盛金控,证券,12.02,1.0,1.0,0.0,1.37,True,195.07,,0.0
4,300928.SZ,300928,华安鑫创,汽车服务,57.52,1.0,1.0,0.0,1.22,True,11.5,,0.0
5,002229.SZ,002229,鸿博股份,广告包装,7.1,1.0,1.0,0.0,1.17,True,35.38,,0.0
6,002241.SZ,002241,歌尔股份,元器件,32.44,1.0,1.0,0.0,1.15,True,965.81,"中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金
全国社保基金四一六组合
全国社保基金六零一组合
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",5.0
7,002590.SZ,002590,万安科技,汽车配件,7.81,1.0,1.0,0.0,1.08,True,33.84,,0.0
8,000430.SZ,000430,张家界,旅游景点,6.7,1.0,1.0,0.0,1.06,True,22.23,,0.0
9,002273.SZ,002273,水晶光电,元器件,12.55,1.0,1.0,0.0,0.91,True,148.1,,0.0
10,002176.SZ,002176,江特电机,电气设备,7.57,1.0,1.0,0.0,0.87,True,129.11,"天津远方资产管理有限公司-扬州远方产业扶持基金合伙企业(有限合伙)
财通基金-宁波银行-财通基金-安吉62号单一资产管理计划
中央企业贫困地区(江西)产业投资基金合伙企业(有限合伙)
财通基金-宁波银行-财通基金-安吉61号单一资产管理计划",4.0
11,601238.SH,601238,广汽集团,汽车整车,12.31,1.0,1.0,0.0,0.86,True,880.2,"广州汇垠天粤股权投资基金管理有限公司
广州金控资产管理有限公司-广金资产财富管理优选3号私募投资基金",2.0
12,000700.SZ,000700,模塑科技,汽车配件,5.64,1.0,1.0,0.0,0.82,True,45.52,,0.0
13,603290.SH,603290,斯达半导,半导体,205.92,1.0,1.0,0.0,0.8,True,162.59,,0.0
14,002036.SZ,002036,联创电子,元器件,11.5,1.0,1.0,0.0,0.8,True,106.4,香港中央结算有限公司(陆股通),1.0
15,002709.SZ,002709,天赐材料,化工原料,97.02,1.0,1.0,0.0,0.79,True,367.69,"中国工商银行股份有限公司-农银汇理新能源主题灵活配置混合型证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-华夏能源革新股票型证券投资基金",4.0
16,603799.SH,603799,华友钴业,小金属,76.78,1.0,1.0,0.0,0.7,True,876.26,"招商银行股份有限公司-兴全合泰混合型证券投资基金
兴业银行股份有限公司-广发稳健优选六个月持有期混合型证券投资基金
中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-国泰智能汽车股票型证券投资基金
中国建设银行股份有限公司-华夏能源革新股票型证券投资基金",6.0
17,002428.SZ,002428,云南锗业,小金属,11.33,1.0,1.0,0.0,0.6,True,73.0,,0.0
18,603955.SH,603955,大千生态,环境保护,15.4,1.0,1.0,0.0,0.58,True,20.9,,0.0
19,002997.SZ,002997,瑞鹄模具,汽车配件,19.25,1.0,1.0,0.0,0.54,True,8.84,,0.0
20,002664.SZ,002664,长鹰信质,汽车配件,14.05,1.0,1.0,0.0,0.48,True,55.11,,0.0
21,000868.SZ,000868,安凯客车,汽车整车,4.51,1.0,1.0,0.0,0.48,True,31.37,,0.0
22,603333.SH,603333,尚纬股份,电气设备,6.68,1.0,1.0,0.0,0.47,True,34.52,"上海凌鸷投资管理中心(有限合伙)-世嘉一号私募基金
重庆信三威投资咨询中心(有限合伙)-润泽前程1号私募基金",2.0
23,603316.SH,603316,诚邦股份,建筑工程,7.48,1.0,1.0,0.0,0.44,True,15.21,,0.0
24,002460.SZ,002460,赣锋锂业,小金属,104.7,1.0,1.0,0.0,0.41,True,865.16,"中国工商银行股份有限公司-农银汇理新能源主题灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
深圳展博投资管理有限公司-展博多策略2号基金
中国建设银行股份有限公司-华夏能源革新股票型证券投资基金",6.0
25,600660.SH,600660,福耀玻璃,汽车配件,49.58,1.0,1.0,0.0,0.4,True,993.08,"招商银行股份有限公司-睿远成长价值混合型证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
河仁慈善基金会
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金",5.0
26,601882.SH,601882,海天精工,机床制造,14.98,1.0,1.0,0.0,0.36,True,78.2,,0.0
