,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_UP_RANGE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688309.SH,688309,恒誉环保,环境保护,73.61,True,True,0.0,,0.0
1,688180.SH,688180,N君实-U,生物制药,151.0,True,True,0.0,,0.0
2,688165.SH,688165,N埃夫特-U,专用机械,30.98,True,True,0.0,,0.0
3,000042.SZ,000042,中洲控股,全国地产,9.96,True,False,0.01,"中铁宝盈资产-浦发银行-中铁宝盈-宝鑫77号特定客户资产管理计划
陕西省国际信托股份有限公司-陕国投·金元宝68号证券投资集合资金信托计划
华润深国投信托有限公司-优瑞1期集合资金信托计划
鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划
云南国际信托有限公司-云霞3期证券投资集合资金信托计划
九泰基金-浦发银行-九泰基金-恒胜新动力分级1号资产管理计划",6.0
4,002313.SZ,002313,日海智能,通信设备,18.84,True,False,0.02,"中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
西藏信托有限公司-西藏信托-泓景12号集合资金信托计划
中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
北信瑞丰基金-浦发银行-华润深国投信托-华润信托·日海通讯员工持股计划集合资金信托计划",6.0
5,600917.SH,600917,重庆燃气,供气供热,7.28,True,False,0.02,"三星资产运用株式会社-三星中国中小型股精选母基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
招商基金管理有限公司-社保基金一五零三组合
香港中央结算有限公司(陆股通)
基本养老保险基金一三零三组合",6.0
6,000301.SZ,000301,东方盛虹,化纤,5.58,True,False,0.03,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",2.0
7,002074.SZ,002074,国轩高科,电气设备,27.74,True,False,0.04,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
南方资本-工商银行-国富投资合赢6号资产管理计划
香港中央结算有限公司(陆股通)
招商证券股份有限公司-平安中证新能源汽车产业交易型开放式指数证券投资基金",4.0
8,002194.SZ,002194,武汉凡谷,通信设备,21.3,True,False,0.04,"深圳市恒信华业股权投资基金管理有限公司-平潭华业价值投资合伙企业(有限合伙)
深圳市恒信华业股权投资基金管理有限公司-平潭华业战略投资合伙企业(有限合伙)
上海富诚海富通资产-海通证券-富诚海富通稳胜共赢十七号专项资产管理计划",3.0
9,603161.SH,603161,科华控股,汽车配件,14.35,True,False,0.04,"上海翎巧资产管理有限公司-翎巧2号私募证券投资基金
扬州尚颀股权投资基金中心(有限合伙)
上海尚颀股权投资基金一期合伙企业(有限合伙)",3.0
