code,name,pe,p_change_01,past_average_turnover,stop_mark
300624,万兴科技,130.82,134.252,51.983,
002927,泰永长征,102.57,98.409,62.643,
000151,中成股份,64.15,79.856,21.977,
002184,海得控制,407.13,74.523,17.403,
002137,麦达数字,74.32,68.274,21.277,
600962,国投中鲁,10557.64,67.012,10.02,
000555,神州信息,92.46,64.745,6.833,
300598,诚迈科技,94.81,61.457,3.903,
002877,智能自控,82.66,61.174,35.98,
002208,合肥城建,193.2,60.726,14.887,
300390,天华超净,110.21,59.374,19.22,
300634,彩讯股份,34.48,58.294,0.045,
300477,合纵科技,128.73,58.027,16.337,
002864,盘龙药业,85.35,55.507,59.353,
300705,九典制药,70.38,53.98,38.573,
002265,西仪股份,231.78,53.493,13.14,
000532,华金资本,144.77,45.072,14.41,
600929,N湖盐,30.73,43.94,0.06,
002919,名臣健康,70.69,38.675,54.78,
300682,朗新科技,0.0,37.886,20.633,
300469,信息发展,1508.39,37.5,18.63,
002929,润建通信,52.9,37.479,35.917,
600689,上海三毛,56.48,35.763,16.603,
002264,新 华 都,4451.53,35.651,16.01,
300571,平治信息,89.88,35.553,5.563,
300647,超频三,71.9,35.161,17.627,
300523,辰安科技,3995.53,32.035,2.347,
300715,凯伦股份,65.1,31.357,25.027,
300556,丝路视觉,189.59,31.263,16.827,
300696,爱乐达,95.1,31.178,12.437,
600095,哈高科,123.35,30.489,14.017,
300731,科创新源,51.92,30.031,37.903,
300347,泰格医药,96.35,29.644,1.827,
000935,四川双马,133.6,28.875,7.537,
300140,中环装备,145.79,28.422,9.497,
300672,国科微,1179.7,28.415,14.793,
002476,宝莫股份,0.0,28.008,4.63,
300702,天宇股份,36.06,27.463,19.02,
002782,可立克,109.95,27.339,20.09,
002666,德联集团,48.32,27.082,7.103,
601069,西部黄金,558.72,26.95,9.15,
300738,奥飞数据,76.79,26.052,37.5,
600371,万向德农,60.36,25.914,8.273,
002680,长生生物,32.14,25.698,3.42,
300272,开能环保,47.02,25.685,1.283,
300730,科创信息,848.19,25.52,42.113,
300719,安达维尔,482.87,25.428,39.137,
300519,新光药业,35.74,25.315,6.767,
000819,岳阳兴长,423.24,24.977,7.513,
600268,国电南自,110.51,24.896,7.54,
300740,御家汇,57.54,24.613,35.683,
300657,弘信电子,76.67,24.518,25.063,
002847,盐津铺子,51.11,24.516,21.607,
600135,乐凯胶片,46.71,24.461,8.653,
002370,亚太药业,49.39,24.29,1.423,
300631,久吾高科,87.76,23.206,14.12,
300723,一品红,43.47,23.093,12.48,
300691,联合光电,65.77,23.084,8.867,
002910,庄园牧场,57.91,22.981,43.817,
300216,千山药机,78.22,22.965,18.29,
600462,九有股份,328.22,22.95,12.663,
002629,仁智股份,0.0,22.713,2.987,
300562,乐心医疗,0.0,22.691,7.447,
002922,伊戈尔,52.63,22.582,42.01,
600535,天士力,31.1,22.567,1.293,
000629,*ST钒钛,0.0,22.303,,
600800,天津磁卡,0.0,22.144,6.273,
000790,泰合健康,19.76,22.016,7.327,
300633,开立医疗,73.88,21.218,3.367,
600520,文一科技,448.73,21.202,13.187,
300267,尔康制药,19.85,21.073,3.377,
000948,南天信息,119.8,20.947,3.02,
300655,晶瑞股份,87.01,20.936,10.793,
300661,圣邦股份,86.49,20.796,6.243,
002921,联诚精密,58.59,20.664,43.643,
000985,大庆华科,51.88,20.635,6.3,
600721,百花村,40.14,20.456,4.493,
600191,华资实业,90.14,20.302,3.967,
300351,永贵电器,35.9,20.26,2.42,
300344,太空智造,0.0,20.107,14.113,
601116,三江购物,73.35,19.993,7.74,
600662,强生控股,100.48,19.78,6.627,
600343,航天动力,617.1,19.759,7.043,
300231,银信科技,38.53,19.742,14.043,
002428,云南锗业,1610.14,19.729,6.51,
002297,博云新材,0.0,19.622,9.017,
300700,岱勒新材,52.89,19.604,19.21,
300130,新国都,99.65,19.57,3.237,
600272,开开实业,96.53,19.537,9.963,
300722,新余国科,84.75,19.444,34.24,
002246,北化股份,75.7,19.41,6.2,
300479,神思电子,236.25,19.307,17.81,
002858,力盛赛车,466.39,19.126,22.36,
300612,宣亚国际,108.68,19.088,21.9,
300572,安车检测,68.35,19.009,2.22,
300559,佳发安泰,51.54,18.979,2.403,
300377,赢时胜,105.15,18.849,7.693,
600316,洪都航空,331.67,18.832,4.44,
002702,海欣食品,0.0,18.8,12.093,
300356,光一科技,186.17,18.493,1.483,
002821,凯莱英,62.41,18.434,2.513,
002088,鲁阳节能,29.46,18.424,4.227,
000037,深南电A,269.85,18.088,1.833,
300726,宏达电子,56.76,18.067,16.687,
600088,中视传媒,56.97,18.013,4.653,
300601,康泰生物,121.57,17.995,3.2,
002777,久远银海,111.06,17.916,4.38,
600332,白云山,23.61,17.723,1.53,
002860,星帅尔,38.37,17.533,16.24,
300490,华自科技,92.52,17.526,7.543,
300226,上海钢联,233.33,17.48,5.647,
002776,柏堡龙,33.06,17.479,2.52,
300717,华信新材,52.84,17.469,11.42,
300558,贝达药业,98.17,17.462,1.92,
002771,真视通,53.8,17.455,13.69,
002226,江南化工,94.73,17.402,4.537,
300509,新美星,37.78,17.329,15.833,
600276,恒瑞医药,79.71,17.227,0.577,
000032,深桑达Ａ,69.07,17.196,4.617,
000810,创维数字,86.73,17.186,1.863,
002566,益盛药业,52.84,17.123,6.04,
000993,闽东电力,27.79,16.943,8.013,
600355,精伦电子,0.0,16.903,1.563,
600178,东安动力,50.53,16.829,4.987,
