,ts_code,name,industry,COL_LASTPRICE,COL_LAST_PCT_CHG,concept,circ_mv
0,300542.SZ,新晨科技,软件服务,15.02,10.0366,"高送转, 区块链, 国产软件, ",12.72亿
1,600146.SH,商赢环球,服饰,12.75,10.0086,"纺织服装, 高质押率, 互联网金融, 区块链, 跨境电商, 宁夏, 强势人气股, ",25.5亿
2,002103.SZ,广博股份,文教休闲,5.21,9.9156,"回购, 互联网金融, 区块链, 独角兽, 创投, ",19.5亿
3,002447.SZ,晨鑫科技,互联网,3.51,5.0898,"网络安全, 区块链, 股权转让, 电竞, 游戏, 手游, ",47.41亿
4,000681.SZ,视觉中国,互联网,20.42,4.9871,"MSCI, 阿里巴巴概念股, 旅游, 新零售, 百度概念股, 小米概念股, 大数据, 区块链, 知识产权, ",63.4亿
5,300561.SZ,汇金科技,软件服务,20.57,4.949,"物联网, 互联网金融, 云计算, 高送转, 人工智能, 区块链, 国产软件, 资产重组, 无人银行, ",13.91亿
6,300018.SZ,中元股份,电气设备,5.43,4.2226,"特高压, 北斗导航, 智能制造, 医疗器械, 药品信息化追溯, 互联网医疗, 区块链, 股权转让, 医疗信息化, 国资入股, 机器人, ",19.81亿
7,600093.SH,易见股份,仓储物流,12.92,3.9421,"供应链金融, 区块链, 股权转让, ",145.02亿
8,002869.SZ,金溢科技,通信设备,25.91,3.64,"粤港澳大湾区, 物联网, 智慧停车, 人工智能, 区块链, 智慧城市, 国产软件, 电子车牌, ",11.66亿
9,600598.SH,北大荒,种植业,10.79,3.2536,"高股息, MSCI, 振兴东北, 乡村振兴, 农垦, 土地流转, 区块链, 农业种植, 人造肉, ",191.81亿
10,300676.SZ,华大基因,医疗保健,64.69,3.0588,"MSCI, 健康中国, 基因测序, 医疗器械, 大数据, 区块链, 精准医疗, ",158.62亿
11,601360.SH,三六零,互联网,21.91,2.8638,"MSCI, 北汽新能源, 空铁WiFi, 高质押率, 网络安全, 互联网金融, 大数据, 人工智能, 区块链, 工业互联网, 智慧城市, 国产软件, 智能音箱, 国产操作系统, ",87.02亿
