,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,last_p_change,circ_mv
3226,603165.SH,荣晟环保,造纸,2.0,-5.848,-11.387,0.408,87329.088
3001,601208.SH,东材科技,化工原料,3.0,-3.903,-11.29,0.727,347136.954
1896,300512.SZ,中亚股份,专用机械,3.0,-3.818,-11.072,1.311,120317.3279
1863,300479.SZ,神思电子,软件服务,2.0,-5.414,-10.595,1.833,266720.0
1453,300066.SZ,三川智慧,电器仪表,2.0,-5.253,-10.251,2.331,437266.0
1120,002660.SZ,茂硕电源,电气设备,2.0,-4.878,-9.543,1.04,143674.512
1642,300256.SZ,星星科技,元器件,2.0,-4.687,-9.155,0.0,300031.0194
2682,600666.SH,奥瑞德,元器件,2.0,-4.256,-8.333,2.053,279672.1251
2019,300641.SZ,正丹股份,化工原料,2.0,-4.154,-8.153,1.63,125316.18
3272,603283.SH,赛腾股份,专用机械,3.0,-2.707,-7.908,4.181,73760.0
2569,600537.SH,亿晶光电,半导体,3.0,-2.652,-7.769,1.359,438782.007
1607,300221.SZ,银禧科技,塑料,2.0,-3.776,-7.469,0.897,285776.4389
1425,300037.SZ,新宙邦,化工原料,5.0,-1.487,-7.455,0.118,634822.4512
1947,300566.SZ,激智科技,元器件,3.0,-2.546,-7.449,2.012,143861.1491
1078,002618.SZ,丹邦科技,元器件,3.0,-2.484,-7.287,0.767,864069.84
2266,600162.SH,香江控股,全国地产,2.0,-3.636,-7.143,0.81,740714.1342
507,002045.SZ,国光电器,元器件,2.0,-3.571,-7.045,1.664,228627.1763
1039,002579.SZ,中京电子,元器件,2.0,-3.559,-7.011,2.639,377784.3322
493,002031.SZ,巨轮智能,汽车配件,2.0,-3.56,-6.996,3.54,442404.1026
775,002314.SZ,南山控股,区域地产,2.0,-3.554,-6.983,1.502,384666.8917
1293,002845.SZ,同兴达,元器件,2.0,-3.38,-6.768,1.117,147027.5121
2467,600396.SH,金山股份,火力发电,2.0,-3.359,-6.608,0.943,315159.2588
626,002164.SZ,宁波东力,电气设备,2.0,-3.335,-6.579,1.408,158379.6265
3178,603063.SH,禾望电气,电气设备,2.0,-3.309,-6.509,1.08,214962.6
3344,603486.SH,科沃斯,家用电器,3.0,-2.191,-6.457,3.265,221953.5
478,002016.SZ,世荣兆业,区域地产,2.0,-3.248,-6.396,1.155,721874.7592
883,002422.SZ,科伦药业,化学制药,3.0,-2.141,-6.307,1.019,2348036.122
325,000810.SZ,创维数字,家用电器,3.0,-2.111,-6.225,2.02,686099.3542
887,002426.SZ,胜利精密,元器件,2.0,-3.143,-6.215,2.108,731488.3112
1560,300173.SZ,智慧松德,轻工机械,2.0,-3.123,-6.159,1.93,204529.3948
808,002347.SZ,泰尔股份,机械基件,2.0,-3.109,-6.136,1.695,134024.4717
36,000045.SZ,深纺织A,纺织,2.0,-3.081,-6.096,1.855,301173.9387
3435,603683.SH,晶华新材,化工原料,2.0,-3.079,-6.072,1.719,65771.13
1962,300582.SZ,英飞特,半导体,2.0,-3.077,-6.061,1.032,186953.8453
833,002372.SZ,伟星新材,其他建材,1.0,-5.807,-5.807,0.37,1907304.4386
494,002032.SZ,苏泊尔,家用电器,5.0,-1.174,-5.768,0.753,2913738.0469
11,000014.SZ,沙河股份,全国地产,2.0,-2.889,-5.727,0.561,217034.7812
1126,002666.SZ,德联集团,化工原料,6.0,-0.958,-5.72,2.472,201884.0245
164,000584.SZ,哈工智能,化纤,2.0,-2.892,-5.7,0.788,468873.068
1850,300466.SZ,赛摩电气,电器仪表,2.0,-2.888,-5.696,1.51,177601.5948
1513,300126.SZ,锐奇股份,轻工机械,2.0,-2.878,-5.684,1.318,113345.0486
2368,600280.SH,中央商场,百货,3.0,-1.926,-5.682,1.446,483448.9811
1432,300044.SZ,赛为智能,软件服务,2.0,-2.871,-5.66,2.133,406924.8572
1841,300457.SZ,赢合科技,专用机械,5.0,-1.131,-5.615,1.441,520860.0113
2051,300674.SZ,宇信科技,软件服务,2.0,-2.826,-5.599,5.265,126391.59
1077,002617.SZ,露笑科技,电气设备,2.0,-2.835,-5.594,2.222,433298.4303
468,002006.SZ,精功科技,专用机械,2.0,-2.804,-5.537,1.243,259441.2
1968,300588.SZ,熙菱信息,软件服务,2.0,-2.778,-5.482,2.862,104617.8
1067,002607.SZ,中公教育,汽车服务,1.0,-5.453,-5.453,10.011,829359.6556
1060,002600.SZ,领益智造,元器件,2.0,-2.709,-5.418,1.193,630865.7933
3496,603816.SH,顾家家居,家居用品,3.0,-1.831,-5.395,1.491,448796.7
973,002512.SZ,达华智能,元器件,2.0,-2.723,-5.379,1.895,427495.4219
3452,603711.SH,香飘飘,软饮料,3.0,-1.822,-5.369,0.776,96206.7453
3144,603015.SH,弘讯科技,电气设备,2.0,-2.68,-5.315,1.182,275302.185
2431,600355.SH,精伦电子,元器件,2.0,-2.653,-5.251,3.855,212090.4452
2873,600875.SH,东方电气,电气设备,3.0,-1.776,-5.236,1.625,1873092.5452
793,002332.SZ,仙琚制药,生物制药,3.0,-1.727,-5.11,1.385,595725.2524
651,002189.SZ,利达光电,元器件,3.0,-1.728,-5.109,6.369,318649.2696
3359,603520.SH,司太立,化学制药,2.0,-2.587,-5.108,2.397,168477.9
2847,600847.SH,万里股份,电气设备,3.0,-1.728,-5.096,0.57,189463.2264
3296,603326.SH,我乐家居,家居用品,3.0,-1.726,-5.093,0.626,72412.2
1183,002726.SZ,龙大肉食,食品,3.0,-1.696,-5.046,1.087,627896.0506
1075,002615.SZ,哈尔斯,家居用品,3.0,-1.706,-5.034,1.06,131439.9103
3301,603332.SH,苏州龙杰,化纤,2.0,-2.539,-5.028,0.079,112993.0
3350,603505.SH,金石资源,矿物制品,1.0,-5.02,-5.02,0.412,163906.5905
2697,600684.SH,珠江实业,全国地产,1.0,-5.019,-5.019,0.406,421609.5972
911,002450.SZ,ST康得新,化工原料,1.0,-4.963,-4.963,1.354,1694493.5422
1460,300073.SZ,当升科技,矿物制品,5.0,-0.989,-4.95,0.0,1032811.9232
903,002442.SZ,龙星化工,化工原料,3.0,-1.676,-4.949,1.335,363980.1578
1699,300313.SZ,天山生物,农业综合,1.0,-4.944,-4.944,0.0,108563.6147
1337,002891.SZ,中宠股份,饲料,3.0,-1.667,-4.941,1.991,198676.6875
126,000533.SZ,万家乐,电气设备,1.0,-4.928,-4.927,0.0,224647.9872
2512,600469.SH,风神股份,汽车配件,2.0,-2.474,-4.889,3.738,249711.4706
1975,300596.SZ,利安隆,化工原料,3.0,-1.634,-4.823,1.83,354455.5862
3432,603678.SH,火炬电子,元器件,2.0,-2.435,-4.811,2.174,848586.786
1462,300075.SZ,数字政通,软件服务,2.0,-2.412,-4.766,2.912,340436.1076
1348,002903.SZ,宇环数控,机床制造,3.0,-1.603,-4.733,1.656,117480.0
1929,300547.SZ,川环科技,橡胶,3.0,-1.586,-4.732,2.857,146437.654
2063,300686.SZ,智动力,元器件,2.0,-2.393,-4.729,1.263,98817.0555
525,002063.SZ,远光软件,软件服务,2.0,-2.39,-4.724,7.163,592401.2061
1820,300436.SZ,广生堂,化学制药,3.0,-1.597,-4.719,2.088,280305.3986
444,000981.SZ,银亿股份,汽车配件,2.0,-2.384,-4.717,5.28,821206.6764
392,000912.SZ,*ST天化,农药化肥,1.0,-4.69,-4.69,0.0,796544.0
1335,002889.SZ,东方嘉盛,仓储物流,2.0,-2.348,-4.653,1.32,94232.4862
473,002011.SZ,盾安环境,工程机械,2.0,-2.34,-4.63,2.33,443257.0439
