,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_CIRC_MV
0,301012.SZ,301012,C扬电,电气设备,6.83,124.65,8.72
1,301007.SZ,301007,德迈仕,汽车配件,-2.5,54.59,7.53
2,301010.SZ,301010,晶雪节能,其他建材,-3.48,44.91,6.32
3,301011.SZ,301011,华立科技,文教休闲,2.72,44.01,8.74
4,300998.SZ,300998,宁波方正,汽车配件,0.83,36.34,7.43
5,301002.SZ,301002,崧盛股份,电气设备,7.68,30.08,16.77
6,300997.SZ,300997,欢乐家,软饮料,2.05,28.48,16.43
7,001208.SZ,001208,华菱线缆,电气设备,10.04,26.95,7.76
8,001207.SZ,001207,联科科技,化工原料,21.02,21.34,11.32
9,301009.SZ,301009,可靠股份,造纸,30.06,19.45,19.5
10,601665.SH,601665,齐鲁银行,银行,61.01,15.67,56.94
11,300996.SZ,300996,普联软件,软件服务,-8.33,13.47,11.53
12,603529.SH,603529,爱玛科技,摩托车,75.35,11.55,45.73
13,300984.SZ,300984,金沃股份,机械基件,-3.58,11.18,5.76
14,600905.SH,600905,三峡能源,新型电力,64.05,9.75,478.82
15,301006.SZ,301006,迈拓股份,电器仪表,-2.95,8.68,10.23
16,300339.SZ,300339,润和软件,软件服务,141.51,7.17,342.45
17,605499.SH,605499,东鹏饮料,软饮料,23.63,6.66,94.02
18,301008.SZ,301008,宏昌科技,电气设备,0.76,5.88,8.35
19,605259.SH,605259,绿田机械,农用机械,-0.18,4.91,8.43
20,301001.SZ,301001,凯淳股份,互联网,1.29,4.88,7.83
21,601156.SH,601156,东航物流,空运,3.71,4.7,39.99
22,605319.SH,605319,无锡振华,汽车配件,-1.55,4.57,9.51
23,600032.SH,600032,浙江新能,新型电力,11.94,4.09,26.92
24,300608.SZ,300608,思特奇,软件服务,9.23,3.94,31.61
25,300581.SZ,300581,晨曦航空,航空,66.65,3.88,112.63
26,603876.SH,603876,鼎胜新材,铝,30.19,3.76,120.81
27,300077.SZ,300077,国民技术,半导体,16.38,3.42,77.45
28,000982.SZ,000982,中银绒业,纺织,33.33,3.33,110.81
29,600696.SH,600696,岩石股份,区域地产,33.97,3.3,153.02
30,300663.SZ,300663,科蓝软件,软件服务,11.27,3.3,96.73
31,600704.SH,600704,物产中大,商贸代理,28.87,3.12,531.02
32,603511.SH,603511,爱慕股份,服饰,-0.06,3.12,13.54
33,002772.SZ,002772,众兴菌业,种植业,80.67,2.99,36.22
34,002346.SZ,002346,柘中股份,电气设备,-1.41,2.87,68.78
35,603893.SH,603893,瑞芯微,半导体,24.35,2.83,274.48
36,000009.SZ,000009,中国宝安,综合类,17.47,2.77,418.69
37,600375.SH,600375,汉马科技,汽车整车,71.3,2.73,65.02
38,600238.SH,600238,海南椰岛,红黄酒,9.98,2.73,125.49
39,300035.SZ,300035,中科电气,电气设备,20.0,2.7,120.18
40,300490.SZ,300490,华自科技,电气设备,59.4,2.67,42.83
41,002516.SZ,002516,旷达科技,纺织,35.28,2.64,52.99
42,003032.SZ,003032,传智教育,文教休闲,2.59,2.63,12.89
43,600171.SH,600171,上海贝岭,半导体,29.28,2.62,201.42
44,301005.SZ,301005,超捷股份,汽车配件,3.13,2.61,6.93
