,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_CIRC_MV
0,002256.SZ,002256,*ST兆新,新型电力,52.04,1.0,46.74
1,600306.SH,600306,*ST商城,百货,50.69,1.0,15.51
2,000523.SZ,000523,*ST浪奇,日用化工,33.21,1.0,23.14
3,600112.SH,600112,*ST天成,电气设备,55.29,1.0,13.44
4,600696.SH,600696,ST岩石,区域地产,54.9,1.0,127.4
5,002684.SZ,002684,*ST猛狮,电气设备,21.54,0.8,16.72
6,002640.SZ,002640,*ST跨境,互联网,38.62,0.8,32.8
7,600767.SH,600767,ST运盛,医疗保健,25.06,0.8,17.01
8,600421.SH,600421,ST华嵘,综合类,19.76,0.8,23.59
9,000663.SZ,000663,*ST永林,林业,36.94,0.8,27.63
10,002638.SZ,002638,*ST勤上,文教休闲,28.86,0.8,25.8
11,000595.SZ,000595,*ST宝实,机械基件,24.35,0.8,32.53
12,000587.SZ,000587,*ST金洲,批发业,19.75,0.8,23.53
13,603157.SH,603157,*ST拉夏,服饰,18.48,0.8,10.88
14,002464.SZ,002464,*ST众应,互联网,34.12,0.8,11.9
15,600291.SH,600291,*ST西水,保险,29.58,0.8,30.17
16,603779.SH,603779,ST威龙,红黄酒,13.39,0.8,22.76
17,000017.SZ,000017,*ST中华A,文教休闲,26.8,0.8,11.18
18,600518.SH,600518,*ST康美,中成药,27.24,0.6,144.17
19,002147.SZ,002147,*ST新光,区域地产,15.77,0.6,13.8
20,600241.SH,600241,ST时万,商贸代理,38.1,0.6,17.07
21,600599.SH,600599,ST熊猫,多元金融,13.73,0.6,10.59
22,002089.SZ,002089,ST新海,通信设备,13.57,0.6,26.72
23,600191.SH,600191,*ST华资,食品,17.74,0.6,15.13
24,002356.SZ,002356,*ST赫美,其他商业,19.69,0.6,12.16
25,002650.SZ,002650,ST加加,食品,16.89,0.6,78.91
26,002321.SZ,002321,*ST华英,农业综合,18.97,0.6,14.66
27,002535.SZ,002535,*ST林重,工程机械,13.92,0.6,10.25
28,002618.SZ,002618,*ST丹邦,元器件,18.06,0.6,14.68
29,002445.SZ,002445,*ST中南,影视音像,15.6,0.6,66.93
30,600311.SH,600311,ST荣华,黄金,27.84,0.6,14.98
