code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
000056,皇庭国际,9.04,-53.668,0.276,3.297,0.023,
000711,京蓝科技,4.06,-42.101,0.298,7.026,0.049,
002030,达安基因,7.64,-38.427,0.144,7.529,0.033,
002309,中利集团,4.69,-37.286,0.182,14.057,0.026,
002259,ST升达,7.24,-34.88,0.151,28.455,0.084,
002699,美盛文化,7.91,-33.865,0.149,7.875,0.06,
002712,思美传媒,3.08,-33.375,0.154,19.414,0.051,
600826,兰生股份,4.21,-33.199,0.165,1.142,0.032,
600844,丹化科技,8.23,-32.236,0.168,-8.455,0.041,
000989,九 芝 堂,4.2,-30.555,0.156,10.678,0.048,
002435,长江润发,3.12,-29.821,0.136,9.536,0.038,
000584,哈工智能,6.11,-29.6,0.098,10.517,0.046,
002629,仁智股份,3.45,-29.094,0.099,-0.678,0.042,
000042,中洲控股,4.85,-28.911,0.128,-5.525,0.021,
002213,特 尔 佳,1.97,-27.647,0.094,16.41,0.088,
002627,宜昌交运,2.77,-27.246,0.099,0.426,0.027,
002907,华森制药,0.59,-26.896,0.085,-6.775,0.041,
600278,东方创业,5.22,-26.875,0.1,8.485,0.048,
600197,伊力特,4.41,-26.818,0.102,6.715,0.023,
002707,众信旅游,5.1,-26.706,0.105,11.206,0.054,
002935,天奥电子,0.27,-26.638,0.071,6.577,0.049,
002141,贤丰控股,6.37,-26.613,0.09,51.064,0.183,
000635,英 力 特,3.03,-26.345,0.172,1.62,0.027,
600298,安琪酵母,8.24,-26.008,0.105,10.088,0.028,
000596,古井贡酒,3.84,-25.609,0.106,-0.942,0.028,
600789,鲁抗医药,5.82,-25.564,0.06,6.606,0.027,
002568,百润股份,4.59,-24.966,0.066,15.131,0.046,
002650,加加食品,9.47,-24.742,0.102,7.163,0.047,
600764,中国海防,3.3,-24.357,0.1,-3.539,0.018,
000950,重药控股,7.11,-24.078,0.059,4.815,0.039,
002828,贝肯能源,1.0,-24.051,0.08,-2.669,0.046,
002908,德生科技,0.87,-23.896,0.059,-4.04,0.05,
002630,华西能源,9.7,-23.747,0.072,8.533,0.05,
000713,丰乐种业,2.99,-23.473,0.122,13.1,0.043,
600559,老白干酒,4.9,-22.905,0.076,2.266,0.017,
000533,万 家 乐,6.85,-22.75,0.055,22.16,0.141,
000988,华工科技,8.91,-22.693,0.045,16.163,0.038,
000938,紫光股份,2.89,-22.631,0.092,7.379,0.029,
000150,宜华健康,5.76,-22.61,0.154,19.554,0.056,
600686,金龙汽车,6.07,-22.602,0.046,1.028,0.031,
002668,奥马电器,6.54,-22.463,0.199,-33.309,0.081,
000407,胜利股份,7.46,-22.369,0.065,3.695,0.032,
600119,长江投资,3.07,-21.878,0.067,23.825,0.107,
002876,三利谱,0.55,-21.718,0.072,12.839,0.055,
600738,兰州民百,4.21,-21.605,0.111,7.871,0.03,
600619,海立股份,5.82,-21.516,0.073,-1.017,0.022,
600990,四创电子,1.37,-21.402,0.063,12.904,0.028,
000661,长春高新,1.7,-21.351,0.06,10.328,0.023,
002113,天润数娱,8.05,-21.324,0.063,35.533,0.062,
002903,宇环数控,0.66,-21.297,0.122,-0.902,0.04,
600207,安彩高科,6.9,-21.285,0.057,12.388,0.056,
000096,广聚能源,5.11,-21.245,0.046,13.816,0.048,
002554,惠博普,7.69,-21.165,0.05,0.648,0.031,
600810,神马股份,4.42,-21.16,0.045,-11.449,0.058,
002919,名臣健康,0.2,-21.078,0.08,-0.771,0.037,
002562,兄弟科技,4.98,-20.992,0.046,32.483,0.084,
600779,水井坊,4.89,-20.899,0.072,2.974,0.02,
600182,S佳通,1.7,-20.846,0.059,4.474,0.032,
002915,中欣氟材,0.28,-20.822,0.064,14.298,0.04,
002168,深圳惠程,7.84,-20.734,0.067,21.416,0.063,
002925,盈趣科技,0.75,-20.703,0.05,40.656,0.08,
002692,睿康股份,7.15,-20.698,0.043,1.261,0.068,
002571,德力股份,2.53,-20.664,0.046,25.569,0.121,
000820,神雾节能,2.88,-20.63,0.044,9.685,0.052,
600416,湘电股份,8.81,-20.574,0.053,16.263,0.059,
002316,亚联发展,2.93,-20.438,0.044,23.578,0.049,
600960,渤海汽车,6.8,-20.282,0.043,6.218,0.036,
000762,西藏矿业,4.76,-19.991,0.056,5.985,0.029,
000503,国新健康,8.99,-19.703,0.049,33.398,0.099,
002667,鞍重股份,1.64,-19.613,0.071,18.088,0.043,
000155,川能动力,9.37,-19.566,0.072,5.306,0.039,
002446,盛路通信,4.22,-19.562,0.064,25.814,0.06,
600596,新安股份,6.87,-19.476,0.066,-3.366,0.032,
002049,紫光国微,6.05,-19.44,0.084,6.486,0.026,
002428,云南锗业,6.44,-19.364,0.053,1.293,0.038,
002909,集泰股份,0.79,-19.351,0.046,15.779,0.064,
000869,张 裕Ａ,4.53,-19.313,0.037,-2.898,0.024,
600809,山西汾酒,8.66,-19.294,0.065,1.552,0.019,
600733,北汽蓝谷,3.97,-19.124,0.08,15.052,0.063,
600230,沧州大化,4.12,-19.116,0.042,4.006,0.027,
002747,埃斯顿,7.26,-19.038,0.053,3.875,0.034,
600702,舍得酒业,3.37,-19.024,0.057,2.006,0.022,
002088,鲁阳节能,2.08,-18.963,0.064,4.481,0.026,
002472,双环传动,5.5,-18.923,0.041,21.486,0.094,
000921,海信家电,9.02,-18.846,0.037,7.927,0.025,
