,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_FLOAT_HOLDERS
0,002004.SZ,002004,华邦健康,化学制药,True,5.33,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
1,600381.SH,600381,青海春天,医疗保健,True,5.38,True,
2,300289.SZ,300289,利德曼,生物制药,True,6.75,True,"成都力鼎银科股权投资基金中心(有限合伙)
上海赛领并购投资基金合伙企业(有限合伙)
湖南蠡源晟投资管理有限公司-蠡源晟价值平衡二号私募基金"
3,600594.SH,600594,益佰制药,中成药,True,6.8,True,"中央汇金资产管理有限责任公司
金元顺安基金-海通证券-渤海国际信托-渤海信托·恒利丰123号·益佰艾康一号集合资金信托计划"
4,300412.SZ,300412,迦南科技,医疗保健,True,8.82,True,"北信瑞丰基金-平安银行-北信瑞丰基金浙商汇融5号资产管理计划
中央汇金资产管理有限责任公司"
5,600285.SH,600285,羚锐制药,中成药,True,9.21,True,"香港中央结算有限公司(陆股通)
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中国建设银行股份有限公司-华夏医疗健康混合型发起式证券投资基金
中国工商银行股份有限公司-诺安先锋混合型证券投资基金
方正证券-宁波银行-民族-羚锐小羚羊资产管理计划"
6,600479.SH,600479,千金药业,中成药,True,9.34,True,"中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
长安基金-光大银行-长安平安富贵千金净雅资产管理计划"
7,300358.SZ,300358,楚天科技,医疗保健,True,9.69,True,"湖南省资产管理有限公司
中投天琪期货-浙商金汇信托股份有限公司-浙金·浦发-津杉-国泰定增1号集合资金信托计划
中央汇金资产管理有限责任公司
西藏德传投资管理有限公司-德传附子证券投资基金
鹏华资产-兴业银行-鹏华资产德传医疗资产管理计划"
8,600624.SH,600624,复旦复华,化学制药,True,9.75,True,
9,000989.SZ,000989,九芝堂,中成药,True,10.18,True,"绵阳科技城产业投资基金(有限合伙)
鹏华资产管理-浦发银行-鹏华资产金润18号资产管理计划
香港中央结算有限公司(陆股通)
鹏华资产-浦发银行-鹏华资产金润28号资产管理计划
鹏华资产-浦发银行-鹏华资产金润25号资产管理计划
鹏华资产-浦发银行-鹏华资产金润21号资产管理计划"
10,002524.SZ,002524,光正集团,医疗保健,True,10.35,True,稷定资产管理(嘉兴)有限公司-稷定健康私募证券投资基金
11,000411.SZ,000411,英特集团,医药商业,True,12.31,True,"全国社保基金六零四组合
基本养老保险基金九零三组合"
