,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_CIRC_MV
0,600112.SH,600112,*ST天成,电气设备,55.07,1.0,16.35
1,603032.SH,603032,*ST德新,公共交通,42.96,1.0,28.27
2,600146.SH,600146,*ST环球,服饰,39.75,0.8,10.57
3,002356.SZ,002356,*ST赫美,其他商业,29.03,0.8,14.74
4,600198.SH,600198,*ST大唐,通信设备,37.42,0.8,74.05
5,000752.SZ,000752,*ST西发,啤酒,37.73,0.8,17.62
6,000820.SZ,000820,*ST节能,环境保护,27.14,0.6,12.4
7,000980.SZ,000980,*ST众泰,汽车配件,40.3,0.6,81.11
8,603729.SH,603729,ST龙韵,广告包装,22.17,0.4,11.98
9,600275.SH,600275,*ST昌鱼,农业综合,16.67,0.4,19.23
10,000509.SZ,000509,*ST华塑,医疗保健,11.74,0.4,24.35
11,002592.SZ,002592,ST八菱,汽车配件,28.54,0.4,15.65
12,603779.SH,603779,ST威龙,红黄酒,18.49,0.4,26.42
13,002684.SZ,002684,*ST猛狮,电气设备,16.33,0.2,18.79
14,600221.SH,600221,*ST海航,空运,9.86,0.2,384.6
15,002321.SZ,002321,*ST华英,农业综合,14.34,0.2,16.09
16,600291.SH,600291,*ST西水,保险,21.2,0.2,33.12
17,600311.SH,600311,ST荣华,黄金,25.49,0.2,17.04
18,600766.SH,600766,*ST园城,黄金,24.12,0.2,10.26
19,600767.SH,600767,ST运盛,医疗保健,22.39,0.2,19.19
20,002210.SZ,002210,*ST飞马,仓储物流,16.06,0.2,76.86
21,000780.SZ,000780,*ST平能,煤炭开采,12.03,0.2,54.77
