,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,last_p_change,circ_mv
997,002537.SZ,海联金汇,汽车整车,4.0,-0.409,-1.625,3.499,1272608.4673
180,000603.SZ,盛达矿业,铅锌,4.0,-0.585,-2.345,4.804,377517.0019
2390,600307.SH,酒钢宏兴,普钢,4.0,-0.357,-1.429,2.415,1327831.7739
328,000813.SZ,德展健康,化学制药,4.0,-0.111,-0.442,0.667,978996.7715
241,000688.SZ,国城矿业,铅锌,4.0,-0.563,-2.233,1.1,1359067.5178
552,002090.SZ,金智科技,软件服务,4.0,-0.939,-3.716,1.79,421270.0274
2893,600897.SH,厦门空港,机场,4.0,-0.697,-2.767,2.078,673050.6
3378,603583.SH,捷昌驱动,电气设备,4.0,-0.315,-1.277,3.729,186485.0
3250,603218.SH,日月股份,工程机械,4.0,-1.794,-7.022,3.49,197565.5224
364,000877.SZ,天山股份,水泥,4.0,-0.539,-2.148,2.927,742799.6728
1135,002675.SZ,东诚药业,化学制药,3.0,0.04,0.1,2.488,649185.5253
3118,601969.SH,海南矿业,普钢,3.0,-1.57,-4.637,1.903,942175.1913
215,000656.SZ,金科股份,区域地产,3.0,-0.333,-1.002,3.035,3216470.1456
1647,300261.SZ,雅本化学,农药化肥,3.0,0.003,-0.0,5.929,492324.941
2583,600557.SH,康缘药业,中成药,3.0,-0.507,-1.521,2.816,677537.358
3154,603027.SH,千禾味业,食品,3.0,-1.054,-3.138,3.024,257512.3538
944,002483.SZ,润邦股份,工程机械,3.0,-0.985,-2.934,0.0,266478.368
1235,002781.SZ,奇信股份,装修装饰,3.0,-1.078,-3.207,2.899,389343.451
967,002506.SZ,协鑫集成,电气设备,3.0,-0.064,-0.195,0.783,2598896.0
2561,600529.SH,山东药玻,医疗保健,3.0,-0.543,-1.627,3.21,764624.8329
341,000830.SZ,鲁西化工,农药化肥,3.0,-0.849,-2.56,3.22,1783124.9933
2698,600686.SH,金龙汽车,汽车整车,3.0,-0.084,-0.275,2.621,451413.4522
1743,300357.SZ,我武生物,生物制药,3.0,-0.213,-0.669,2.968,1048465.1637
205,000633.SZ,合金投资,综合类,3.0,-1.13,-3.353,2.857,194093.612
1023,002563.SZ,森马服饰,服饰,3.0,-1.274,-3.783,6.482,1842522.0848
1337,002891.SZ,中宠股份,饲料,3.0,-0.687,-2.055,2.34,204924.0434
2886,600890.SH,中房股份,区域地产,3.0,-0.597,-1.802,0.524,444242.5075
