,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,circ_mv
1140,002680.SZ,*ST长生,生物制药,4.0,-60.69,1.52,88284.1579
3072,601700.SH,风范股份,电气设备,0.0,-23.96,8.38,949648.416
705,002243.SZ,通产丽星,塑料,0.0,-22.23,19.21,701066.9445
2785,600776.SH,东方通信,通信设备,0.0,-20.82,27.65,2643340.177
1317,002870.SZ,香山股份,电器仪表,0.0,-20.72,25.78,103429.36
1968,300587.SZ,天铁股份,橡胶,0.0,-19.81,23.46,98722.9081
2201,600086.SH,东方金钰,服饰,0.0,-19.42,4.93,521024.5929
819,002358.SZ,森源电气,电气设备,0.0,-19.4,16.06,1462142.9997
1877,300492.SZ,山鼎设计,建筑施工,0.0,-18.95,24.71,72517.3636
358,000862.SZ,银星能源,新型电力,1.0,-17.54,6.77,339415.9065
2316,600218.SH,全柴动力,农用机械,1.0,-17.23,12.32,454306.16
1938,300555.SZ,路通视信,通信设备,1.0,-16.79,11.74,109199.7415
355,000859.SZ,国风塑业,塑料,1.0,-16.48,7.44,550048.4851
2638,600614.SH,鹏起科技,综合类,0.0,-16.32,5.84,882708.7923
94,000426.SZ,兴业矿业,铅锌,2.0,-15.56,6.5,864796.3305
2124,300751.SZ,迈为股份,专用机械,1.0,-15.22,166.81,216853.0
817,002356.SZ,赫美集团,其他商业,5.0,-14.85,6.42,308313.6961
1669,300282.SZ,三盛教育,文教休闲,0.0,-13.98,14.6,325706.2141
3228,603165.SH,荣晟环保,造纸,5.0,-13.93,19.9,88260.48
1025,002565.SZ,顺灏股份,造纸,2.0,-13.7,9.45,647170.93
1382,002941.SZ,新疆交建,建筑施工,1.0,-13.27,33.36,216840.0
1506,300118.SZ,东方日升,半导体,0.0,-13.15,9.31,635445.2939
1309,002862.SZ,实丰文化,文教休闲,1.0,-12.76,23.97,74690.52
1062,002602.SZ,世纪华通,汽车配件,0.0,-12.5,20.21,3314606.969
2923,600975.SH,新五丰,农业综合,1.0,-12.33,6.71,437945.3169
40,000050.SZ,深天马A,元器件,2.0,-12.28,16.18,2944529.6114
2495,600438.SH,通威股份,饲料,1.0,-12.24,12.0,3551364.7092
375,000890.SZ,法尔胜,钢加工,0.0,-12.12,6.12,232329.7974
3197,603098.SH,森特股份,装修装饰,2.0,-12.09,14.99,112442.988
