,ts_code,symbol,name,industry,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300836.SZ,300836,佰奥智能,专用机械,0.0,4.34,中信里昂资产管理有限公司-客户资金,1.0
1,300845.SZ,300845,捷安高科,软件服务,0.0,5.18,,0.0
2,300839.SZ,300839,博汇股份,石油加工,0.0,5.59,"上海明汯投资管理有限公司-明汯信仪中证500指数增强1号私募证券投资基金
上海明汯投资管理有限公司-明汯价值成长2期私募证券投资基金
中国国际金融香港资产管理有限公司-CICCFT5(QFII)
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",4.0
3,300849.SZ,300849,锦盛新材,塑料,0.0,5.61,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国国际金融香港资产管理有限公司-CICCFT9(QFII)
中信里昂资产管理有限公司-客户资金",3.0
4,300927.SZ,300927,江天化学,化工原料,0.0,5.88,"中国国际金融香港资产管理有限公司-客户资金2
中国国际金融香港资产管理有限公司-CICCFT9(QFII)",2.0
5,300897.SZ,300897,山科智能,电器仪表,0.0,5.93,,0.0
6,300930.SZ,300930,屹通新材,小金属,0.0,6.05,中国国际金融香港资产管理有限公司-CICCFT9(QFII),1.0
7,300838.SZ,300838,浙江力诺,电器仪表,0.0,6.06,,0.0
8,300929.SZ,300929,华骐环保,环境保护,0.0,6.11,"深圳前海汇富联合基金管理有限公司-汇富联合日盈5号私募证券投资基金
上海孝庸资产管理有限公司-孝庸金貔貅十八号私募证券投资基金
上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金
上海明汯投资管理有限公司-明汯中性添利13号私募证券投资基金
中国国际金融香港资产管理有限公司-客户资金2
深圳市博益安盈资产管理有限公司-博益安盈精选1号私募投资基金",6.0
9,300923.SZ,300923,研奥股份,运输设备,0.0,6.14,,0.0
10,300899.SZ,300899,上海凯鑫,环境保护,0.0,6.28,中信里昂资产管理有限公司-客户资金,1.0
11,300960.SZ,300960,通业科技,电气设备,0.0,6.68,,0.0
12,300886.SZ,300886,华业香料,化工原料,0.0,6.81,新湖期货-国金证券盈泰1号单一资产管理计划-新湖致仁单一资产管理计划,1.0
13,300943.SZ,300943,春晖智控,机械基件,0.0,6.86,,0.0
14,300972.SZ,300972,万辰生物,种植业,0.0,6.88,,0.0
15,300808.SZ,300808,久量股份,家用电器,0.0,6.91,"中国工商银行股份有限公司-海富通中小盘混合型证券投资基金
中国国际金融香港资产管理有限公司-CICCFT8(QFII)",2.0
16,300668.SZ,300668,杰恩设计,装修装饰,0.0,6.95,"中国国际金融香港资产管理有限公司-CICCFT9(QFII)
中信里昂资产管理有限公司-客户资金",2.0
17,300913.SZ,300913,兆龙互连,电气设备,0.0,7.07,,0.0
18,300907.SZ,300907,康平科技,电气设备,0.0,7.1,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中信里昂资产管理有限公司-客户资金
上海明汯投资管理有限公司-明汯价值成长2期私募证券投资基金
上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金
中国国际金融香港资产管理有限公司-客户资金2",5.0
19,300807.SZ,300807,天迈科技,软件服务,0.0,7.15,"中信里昂资产管理有限公司-客户资金
中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
新余中鼎创富投资管理中心(有限合伙)-中鼎创富新三板1号私募投资基金
河南华夏海纳源禾小微企业创业投资基金(有限合伙)
河南德瑞恒通高端装备创业投资基金有限公司",5.0
20,300851.SZ,300851,交大思诺,软件服务,0.0,7.17,,0.0
21,300865.SZ,300865,大宏立,专用机械,0.0,7.17,,0.0
22,300947.SZ,300947,德必集团,综合类,0.0,7.28,上海全泉投资股份有限公司-全泉十号私募证券投资基金,1.0
23,300813.SZ,300813,泰林生物,医疗保健,0.0,7.44,,0.0
24,300564.SZ,300564,筑博设计,建筑工程,0.0,7.45,中信里昂资产管理有限公司-客户资金,1.0
25,300876.SZ,300876,蒙泰高新,化纤,0.0,7.49,"上海全泉投资股份有限公司-全泉五号私募证券投资基金
中信里昂资产管理有限公司-客户资金",2.0
26,300971.SZ,300971,博亚精工,机械基件,0.0,7.52,,0.0
27,300980.SZ,300980,祥源新材,塑料,0.0,7.62,,0.0
