,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_FLOAT_HOLDERS
0,300426.SZ,唐德影视,影视音像,9.9458,6.08,
1,600037.SH,歌华有线,影视音像,9.9735,12.46,"中央汇金资产管理有限责任公司
全国社保基金一零三组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
全国社保基金一零三组合
中信证券-中信银行-中信证券积极策略6号集合资产管理计划"
2,603078.SH,江化微,化工原料,9.9755,49.39,"中国银行股份有限公司-国泰CES半导体行业交易型开放式指数证券投资基金
深圳菁英时代资本管理有限公司-菁英时代久盈5号私募证券投资基金
深圳菁英时代资本管理有限公司-菁英时代久盈5号私募证券投资基金"
3,600712.SH,南宁百货,百货,9.9815,5.95,浙江九章资产管理有限公司-幻方星月石7号私募基金
4,300680.SZ,隆盛科技,汽车配件,9.9944,19.59,江苏金百灵资产管理有限责任公司-爱嘉专项基金
5,603650.SH,彤程新材,化工原料,10.0,21.56,"香港中央结算有限公司(陆股通)
施罗德投资管理(香港)有限公司-施罗德环球基金系列中国A股(交易所)
施罗德投资管理有限公司-施罗德中国进取股票基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
上海煜德投资管理中心(有限合伙)-乐道优选8号私募证券投资基金"
6,002986.SZ,N宇新,化工原料,10.0017,63.35,
7,603129.SH,春风动力,摩托车,10.0097,56.82,"中国工商银行股份有限公司-富国龙头优势混合型证券投资基金
兴业银行股份有限公司-工银瑞信文体产业股票型证券投资基金
全国社保基金五零三组合
中信信托有限责任公司-中信信托锐进52期泓澄投资集合资金信托计划
基本养老保险基金一六零二一组合
鹏华基金-建设银行-中国人寿-中国人寿保险(集团)公司委托鹏华基金管理有限公司定增组合
中国国际金融香港资产管理有限公司-客户资金
招商银行股份有限公司-富国科创主题3年封闭运作灵活配置混合型证券投资基金
中国国际金融香港资产管理有限公司-客户资金
中国工商银行股份有限公司-华安逆向策略混合型证券投资基金
中国建设银行股份有限公司-富国科技创新灵活配置混合型证券投资基金
中国建设银行股份有限公司-华安幸福生活混合型证券投资基金
中国工商银行股份有限公司-富国高新技术产业混合型证券投资基金
中国工商银行-华安中小盘成长混合型证券投资基金"
8,002951.SZ,金时科技,广告包装,10.0128,17.14,"香港中央结算有限公司(陆股通)
创金合信基金-工商银行-创金合信泰利15号资产管理计划"
9,300346.SZ,南大光电,元器件,10.0128,42.96,
10,002344.SZ,海宁皮城,商品城,10.0223,4.94,"中央汇金资产管理有限责任公司
云南国际信托有限公司-云南信托·大西部丝绸之路2号集合资金信托计划
云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划
中央汇金资产管理有限责任公司
云南国际信托有限公司-云南信托·大西部丝绸之路2号集合资金信托计划
香港中央结算有限公司(陆股通)
云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划"
11,300097.SZ,智云股份,电器仪表,10.0418,13.15,"南通金玖锐信投资管理有限公司-中汇金锐定增5期私募投资基金
全国社保基金一一四组合
中国银行股份有限公司-博时宏观回报债券型证券投资基金
交通银行股份有限公司-长城久富核心成长混合型证券投资基金(LOF)
南通金玖锐信投资管理有限公司-中汇金锐定增5期私募投资基金"
12,000659.SZ,珠海中富,广告包装,10.0917,2.4,
