code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,next_day_to_ma5,close_to_ma5,stop_mark
300134,大富科技,6.353,-20.27,2.093,0.025,13.395,,
300392,腾信股份,10.398,-19.666,4.87,0.014,12.882,★,
300104,乐视网,29.123,-18.345,12.487,0.106,4.988,,
000816,智慧农业,6.976,-15.556,7.78,0.067,3.028,,
002530,金财互联,1.827,-15.549,1.817,0.007,20.725,★,
300156,神雾环保,4.939,-14.948,6.997,0.048,12.528,,
002202,金风科技,1.471,-14.919,0.827,0.022,16.428,,
600610,中毅达,9.325,-14.893,4.083,0.052,4.29,,
601360,三六零,5.343,-14.734,5.993,0.033,42.562,★,
600876,洛阳玻璃,8.651,-14.696,3.33,0.045,17.292,,
300502,新易盛,8.871,-13.542,15.387,0.053,23.548,,
300344,太空智造,1.723,-12.338,8.2,0.022,9.88,,
002258,利尔化学,6.33,-12.13,1.003,0.02,18.862,,
000333,美的集团,0.153,-11.957,0.67,0.021,50.397,,
300426,唐德影视,0.117,-11.587,1.68,0.004,17.79,★,
300353,东土科技,5.873,-11.582,12.007,0.037,16.415,,
000810,创维数字,6.148,-11.334,1.967,0.031,8.245,,
002759,天际股份,9.879,-10.927,8.4,0.036,12.652,,
600740,山西焦化,1.602,-10.828,5.96,0.029,10.71,,
000821,京山轻机,2.456,-10.809,2.337,0.019,11.952,,
002585,双星新材,2.089,-10.399,0.82,0.009,6.255,,
600726,华电能源,0.731,-10.118,0.38,0.017,2.785,,
002631,德尔未来,6.701,-10.007,2.03,0.057,9.05,,
000025,特 力Ａ,2.506,-9.849,1.52,0.023,35.808,,
600577,精达股份,4.382,-9.763,1.433,0.008,4.248,★,
601012,隆基股份,5.345,-9.368,1.393,0.044,32.922,,
002684,猛狮科技,1.309,-9.339,1.323,0.014,13.782,★,
601600,中国铝业,11.989,-9.214,4.3,0.053,4.888,,
300208,恒顺众昇,2.302,-9.19,2.807,0.047,11.03,★,
000923,河北宣工,3.786,-9.043,2.22,0.019,20.588,,
000895,双汇发展,2.144,-8.911,0.207,0.014,25.495,,
600550,保变电气,0.662,-8.906,0.527,0.01,5.945,★,
002463,沪电股份,2.866,-8.896,1.803,0.024,4.295,★,
000858,五 粮 液,2.43,-8.78,0.807,0.022,68.332,,
000410,沈阳机床,7.294,-8.774,4.277,0.032,10.815,,
000856,冀东装备,7.66,-8.426,6.4,0.029,18.71,,
000413,东旭光电,2.016,-8.369,1.433,0.023,7.528,★,
002564,天沃科技,1.903,-8.356,0.97,0.014,7.475,★,
002457,青龙管业,2.545,-8.27,5.01,0.017,10.95,,
000651,格力电器,0.848,-8.211,1.053,0.023,46.522,,
600686,金龙汽车,4.749,-7.992,1.75,0.02,12.68,,
002769,普路通,4.217,-7.878,7.45,0.021,18.672,,
002114,罗平锌电,0.726,-7.752,1.16,0.011,15.188,★,
600237,铜峰电子,0.683,-7.572,2.853,0.019,4.408,,
002391,长青股份,0.363,-7.558,1.14,0.013,13.532,★,
300139,晓程科技,10.823,-7.533,7.633,0.056,6.488,,
002514,宝馨科技,4.352,-7.327,4.207,0.038,6.295,,
002052,同洲电子,8.808,-7.321,3.457,0.049,4.462,,
600497,驰宏锌锗,0.829,-7.225,1.33,0.019,6.145,★,
002416,爱施德,3.602,-7.145,0.883,0.021,8.49,,
002220,天宝食品,9.663,-7.065,1.35,0.039,7.028,,
600654,*ST中安,0.002,-7.063,1.77,0.02,3.11,,
002333,罗普斯金,2.394,-6.822,0.33,0.017,14.718,,
002542,中化岩土,5.849,-6.775,2.46,0.036,7.475,,
300431,暴风集团,0.315,-6.69,6.977,0.017,25.388,,
000960,锡业股份,5.157,-6.593,2.503,0.027,13.885,★,
600712,南宁百货,2.908,-6.548,0.61,0.017,7.48,,
002282,博深工具,1.194,-6.545,1.677,0.015,11.565,,
600389,江山股份,0.911,-6.443,0.477,0.012,17.81,★,
002422,科伦药业,2.981,-6.43,0.84,0.011,29.415,,
000878,云南铜业,0.809,-6.429,1.31,0.015,11.37,★,
002120,韵达股份,7.299,-6.427,0.943,0.035,46.527,,
600229,城市传媒,2.982,-6.338,1.25,0.02,8.652,★,
601872,招商轮船,0.255,-6.281,0.213,0.012,3.688,,
002711,欧浦智网,1.294,-6.097,1.147,0.009,10.075,★,
000633,合金投资,0.371,-6.057,0.78,0.016,8.108,,
002290,中科新材,6.037,-6.025,2.587,0.045,11.105,,
002641,永高股份,0.757,-5.939,0.48,0.032,3.975,★,
600595,中孚实业,1.458,-5.938,1.7,0.026,4.2,★,
600276,恒瑞医药,3.496,-5.935,0.44,0.013,82.468,,
000600,建投能源,0.586,-5.915,1.133,0.014,6.592,,
601388,怡球资源,0.572,-5.736,2.39,0.025,3.505,★,
600062,华润双鹤,0.394,-5.714,0.863,0.007,23.175,★,
600589,广东榕泰,0.012,-5.544,0.84,0.012,5.37,,
002370,亚太药业,7.853,-5.519,1.22,0.016,19.145,★,
600282,南钢股份,1.565,-5.437,2.367,0.031,4.528,★,
002547,春兴精工,1.151,-5.386,1.14,0.004,8.642,★,
300118,东方日升,0.001,-5.315,0.863,0.011,11.538,,
000876,新 希 望,0.14,-5.164,0.303,0.005,7.125,★,
002304,洋河股份,3.628,-5.123,0.257,0.018,108.93,,
601857,中国石油,0.255,-5.095,0.023,0.01,7.638,★,
601226,华电重工,5.386,-5.028,0.6,0.032,4.915,,
600198,大唐电信,19.548,-5.006,7.363,0.073,8.812,,
600039,四川路桥,0.823,-4.941,0.26,0.002,3.688,★,
002267,陕天然气,3.745,-4.932,0.8,0.022,7.255,★,
002682,龙洲股份,0.415,-4.921,1.183,0.014,9.458,,
002222,福晶科技,9.547,-4.858,5.03,0.041,16.61,,
002429,兆驰股份,5.09,-4.846,1.547,0.02,3.215,,
002734,利民股份,2.873,-4.828,2.203,0.032,24.143,,
300137,先河环保,2.321,-4.773,3.71,0.02,18.28,,
600588,用友网络,1.802,-4.651,2.3,0.029,36.457,,
300472,新元科技,0.638,-4.636,1.933,0.021,24.732,,
002049,紫光国芯,24.494,-4.48,15.65,0.071,53.872,,
