,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600166.SH,600166,福田汽车,汽车整车,2.44,1.0,2.0,160.43,中央汇金资产管理有限责任公司,1.0
1,002471.SZ,002471,中超控股,电气设备,2.45,1.0,1.0,30.99,深圳市鑫腾华资产管理有限公司,1.0
2,000683.SZ,000683,远兴能源,化工原料,2.64,1.0,1.0,93.85,"中信建投基金-广州农商银行-华鑫国际信托-华鑫信托·153号证券投资集合资金信托计划
中国信达资产管理股份有限公司
上海塔彧毅股权投资基金(上海)中心(有限合伙)
香港中央结算有限公司(陆股通)
北京中稷弘立资产管理有限公司",5.0
3,601975.SH,601975,招商南油,水运,2.92,0.0,1.0,104.67,中国长城资产管理股份有限公司,1.0
4,000558.SZ,000558,莱茵体育,文教休闲,2.95,1.0,1.0,38.01,,0.0
5,000616.SZ,000616,海航投资,全国地产,3.14,1.0,1.0,44.91,中央汇金资产管理有限责任公司,1.0
6,002379.SZ,002379,宏创控股,铝,3.17,0.0,1.0,29.37,,0.0
7,601010.SH,601010,文峰股份,超市连锁,3.59,0.0,1.0,66.34,中央汇金资产管理有限责任公司,1.0
8,600664.SH,600664,哈药股份,化学制药,3.8,1.0,1.0,95.26,"中国证券投资者保护基金有限责任公司
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",3.0
9,002109.SZ,002109,兴化股份,化工原料,3.92,0.0,2.0,41.28,,0.0
10,002482.SZ,002482,广田集团,装修装饰,4.08,1.0,1.0,62.4,"陕西省国际信托股份有限公司-陕国投·广田集团第一期员工持股集合资金信托计划
中央汇金资产管理有限责任公司
昆仑信托有限责任公司-昆仑四十一号证券投资集合资金信托计划",3.0
11,002206.SZ,002206,海利得,化纤,4.11,1.0,2.0,39.47,"中国建设银行股份有限公司-中欧价值发现股票型证券投资基金
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
基本养老保险基金一零零三组合
上海齐银股权投资基金管理有限公司-上海同煤齐银投资管理中心(有限合伙)
西藏山南硅谷天堂昌吉投资管理有限公司-硅谷天堂恒昌私募基金",5.0
12,600139.SH,600139,西部资源,综合类,4.28,2.0,1.0,28.33,,0.0
13,601058.SH,601058,赛轮轮胎,汽车配件,4.37,1.0,1.0,90.79,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-东方红睿丰灵活配置混合型证券投资基金(LOF)
全国社保基金四一二组合",3.0
14,600189.SH,600189,吉林森工,软饮料,4.71,1.0,1.0,23.19,"中国华融资产管理股份有限公司
吉林省吉盛资产管理有限责任公司",2.0
15,002506.SZ,002506,协鑫集成,电气设备,4.74,0.0,2.0,240.5,"香港中央结算有限公司(陆股通)
长城(德阳)超日项目基金合伙企业(有限合伙)
天津融境股权投资基金中心(有限合伙)",3.0
16,600495.SH,600495,晋西车轴,运输设备,4.75,0.0,1.0,57.39,,0.0
17,300094.SZ,300094,国联水产,渔业,4.77,0.0,1.0,41.74,"广东省农业供给侧结构性改革基金管理有限公司-广东省农业供给侧结构性改革基金合伙企业(有限合伙)
中国华融资产管理股份有限公司
中国对外经济贸易信托有限公司-外贸信托-汇沣8号结构化证券投资集合资金信托计划",3.0
18,300067.SZ,300067,安诺其,染料涂料,4.8,1.0,2.0,31.14,"鹏华资产-浦发银行-粤财信托-粤财信托-菁英163期单一资金信托计划
中央汇金资产管理有限责任公司",2.0
19,300278.SZ,300278,华昌达,专用机械,4.81,0.0,1.0,14.52,"陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划
厦门国际信托有限公司-厦门信托-汇金1615号集合资金信托",2.0
