,ts_code,symbol,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_LASTPRICE,concept
0,300771.SZ,300771,智莱科技,电脑设备,20.02,1.0,0.0,47.91,
1,300768.SZ,300768,迪普科技,软件服务,16.09,7.0,0.0,31.53,
2,300770.SZ,300770,新媒股份,影视音像,16.0,2.0,0.0,63.02,
3,300769.SZ,300769,德方纳米,化工原料,15.55,6.0,0.0,106.59,
4,603317.SH,603317,天味食品,食品,15.14,5.0,0.0,31.22,
5,300573.SZ,300573,兴齐眼药,化学制药,15.03,9.0,0.0,48.73,"医药, 化学药, 眼科, "
6,603068.SH,603068,博通集成,半导体,12.86,6.0,0.0,47.53,
7,600758.SH,600758,红阳能源,煤炭开采,11.66,8.0,1.0,7.82,"煤炭, 电改, 风电, 股权转让, "
8,002057.SZ,002057,中钢天源,元器件,10.92,6.0,1.0,11.07,"硅锰, 央企改革, 债转股-AMC, 稀土磁材, 锂电池, 新能源汽车, "
9,002054.SZ,002054,德美化工,化工原料,10.76,2.0,0.0,8.75,"半导体, 国资入股, 壳公司, 创投, "
10,002547.SZ,002547,春兴精工,通信设备,10.43,7.0,0.0,12.7,"5G, 特斯拉, 华为产业链, 3D玻璃, "
11,600963.SH,600963,岳阳林纸,造纸,9.98,6.0,1.0,6.86,"人民币升值受益, 央企改革, 回购, 破净股, 雄安-园林环保, 特色小镇, 定增破发, 雄安新区, 造纸, "
12,600218.SH,600218,全柴动力,农用机械,9.81,9.0,1.0,20.5,"燃料电池, 强势人气股, "
13,002783.SZ,002783,凯龙股份,化工原料,9.57,9.0,1.0,20.79,"军工, 军民融合, 化肥, 燃料电池, 民爆, "
14,600175.SH,600175,美都能源,综合类,9.36,5.0,0.0,4.15,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
15,000159.SZ,000159,国际实业,石油贸易,9.06,5.0,1.0,13.05,"油气改革, 一带一路, 回购, 石油化工, 新疆, 壳公司, 强势人气股, "
16,601777.SH,601777,力帆股份,摩托车,8.69,9.0,1.0,8.42,"阿里巴巴概念股, 新能源整车, 汽车整车, 破净股, 无人驾驶, 锂电池, 新能源汽车, 共享经济, 独角兽, "
17,002215.SZ,002215,诺普信,农药化肥,8.22,8.0,1.0,10.1,"农药, 回购, 供应链金融, "
