,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LIMIT_COUNT,COL_LAST_CHG,COL_MIN_MAX_GAP,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,000950.SZ,000950,重药控股,医药商业,True,0.0,3.1311,6.680161943319818,0.46871618181818325,91.07,,0.0
1,002435.SZ,002435,长江健康,化学制药,True,2.0,9.9624,44.8019801980198,0.22236517127071825,70.18,,0.0
2,000919.SZ,000919,金陵药业,化学制药,True,2.0,10.0413,45.19056261343013,0.22219904819277106,40.26,"陕西省国际信托股份有限公司-陕国投·久富金石20号证券投资集合资金信托计划
中央汇金资产管理有限责任公司",2.0
3,000995.SZ,000995,皇台酒业,白酒,False,2.0,9.9951,45.14970059880239,0.22184643236074272,39.44,甘肃西部资产管理股份有限公司,1.0
4,002173.SZ,002173,创新医疗,医疗保健,True,1.0,10.0709,45.590994371482175,0.22089669547325103,28.81,,0.0
5,600750.SH,600750,江中药业,中成药,False,0.0,1.8779,9.462151394422325,0.19846437894736813,68.36,"招商财富资管-招商银行-招商财富-致远2号集合资产管理计划
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",3.0
6,600381.SH,600381,青海春天,医疗保健,False,1.0,10.0324,51.50905432595574,0.194769640625,39.92,,0.0
7,002524.SZ,002524,光正眼科,医疗保健,True,1.0,-0.4591,31.754032258064523,0.1890027682539682,64.05,上海迎水投资管理有限公司-迎水绿洲11号私募证券投资基金,1.0
8,000718.SZ,000718,苏宁环球,区域地产,False,0.0,6.8894,39.622641509433954,0.17387533333333338,117.21,,0.0
9,300151.SZ,300151,昌红科技,机械基件,False,0.0,-1.5225,27.492331288343564,0.15073658019525799,81.38,,0.0
10,600655.SH,600655,豫园股份,百货,True,0.0,-1.3481,25.97402597402596,0.1490527500000001,199.7,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",2.0
11,600594.SH,600594,益佰制药,中成药,True,0.0,0.0,19.50207468879668,0.14650236170212766,45.62,,0.0
12,603198.SH,603198,迎驾贡酒,白酒,True,1.0,9.9952,69.55555555555557,0.14370095846645364,366.24,,0.0
13,000513.SZ,000513,丽珠集团,化学制药,False,0.0,3.5749,26.05816297149439,0.13718925635359114,253.62,"全国社保基金一零八组合
香港中央结算有限公司(陆股通)
招商银行股份有限公司-鹏华新兴产业混合型证券投资基金
中国建设银行股份有限公司-安信价值精选股票型证券投资基金
中央汇金资产管理有限责任公司",5.0
14,600420.SH,600420,国药现代,化学制药,True,0.0,2.5052,18.599033816425138,0.1346951688311687,100.85,香港中央结算有限公司(陆股通),1.0
15,600223.SH,600223,鲁商发展,区域地产,False,0.0,5.5197,45.43670264965654,0.1338939589632829,148.55,中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金,1.0
16,300639.SZ,300639,凯普生物,医疗保健,False,0.0,1.7259,49.00577293136625,0.13058869633507855,89.94,"中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金
中国建设银行股份有限公司-富国天博创新主题混合型证券投资基金
中国农业银行股份有限公司-新华优选分红混合型证券投资基金
武汉比邻之家股权投资基金管理中心(有限合伙)",4.0
17,300957.SZ,300957,贝泰妮,日用化工,True,0.0,4.0086,31.47033533963888,0.1273770983606557,115.03,,0.0
