,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_LIMIT,COL_FLOAT_HOLDERS
0,600397.SH,600397,安源煤业,煤炭开采,2.55,True,True,"中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金"
1,000573.SZ,000573,粤宏远A,区域地产,2.88,True,True,中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
2,601599.SH,601599,鹿港文化,影视音像,3.19,True,True,
3,002285.SZ,002285,世联行,房产服务,3.32,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
4,601598.SH,601598,中国外运,仓储物流,3.67,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
5,000407.SZ,000407,胜利股份,供气供热,3.68,True,True,"平安资产-工商银行-平安资产鑫享7号保险资产管理产品
平安资产-工商银行-鑫享3号资产管理产品"
6,300117.SZ,300117,嘉寓股份,装修装饰,3.7,True,True,中央汇金资产管理有限责任公司
7,601099.SH,601099,太平洋,证券,3.87,True,True,"陕西省国际信托股份有限公司-陕国投·财富72号单一资金信托
易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
8,601608.SH,601608,中信重工,专用机械,3.89,True,True,"中国黄金集团资产管理有限公司
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
9,601919.SH,601919,中远海控,水运,4.01,True,True,中国国有企业结构调整基金股份有限公司
10,601101.SH,601101,昊华能源,煤炭开采,4.09,True,True,"中央汇金资产管理有限责任公司
中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金"
11,002517.SZ,002517,恺英网络,互联网,4.14,True,True,深圳市华泰瑞麟一号股权投资基金合伙企业(有限合伙)
12,002266.SZ,002266,浙富控股,电气设备,4.36,True,True,"中央汇金资产管理有限责任公司
西藏信托有限公司-西藏信托-智昂6号集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
13,300032.SZ,300032,金龙机电,元器件,4.53,True,True,"前海开源基金-广发银行-方正东亚信托有限责任公司
中国长城资产管理股份有限公司
兴全基金-兴业银行-兴全-可交换私募债56期分级特定多客户资产管理计划"
14,002701.SZ,002701,奥瑞金,广告包装,4.62,True,True,"中泰证券资管-招商银行-证券行业支持民企发展系列之中泰资管5号集合资产管理计划
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
15,601001.SH,601001,大同煤业,煤炭开采,4.7,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金
中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金"
16,600657.SH,600657,信达地产,全国地产,4.9,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
17,002613.SZ,002613,北玻股份,专用机械,5.16,True,True,
18,002334.SZ,002334,英威腾,电气设备,5.18,True,True,中信建投证券股份有限公司-富国中证科技50策略交易型开放式指数证券投资基金
19,000690.SZ,000690,宝新能源,火力发电,5.29,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划"
20,002958.SZ,002958,青农商行,银行,5.48,True,True,
21,600075.SH,600075,新疆天业,化工原料,5.87,True,True,"万家共赢-中信银行-万家共赢安泰1号专项资产管理计划
海富通基金-民生银行-五矿信托-民生保腾投资集合资金信托计划
景顺长城基金-工商银行-景顺长城基金工行500增强资产管理计划
万家共赢-中信银行-万家共赢安泰1号专项资产管理计划
海富通基金-民生银行-五矿信托-民生保腾投资集合资金信托计划
中国银行股份有限公司-华泰柏瑞量化先行混合型证券投资基金"
22,002198.SZ,002198,嘉应制药,中成药,5.88,True,True,深圳市老虎汇资产管理有限公司
23,000166.SZ,000166,申万宏源,证券,5.94,True,True,"中央汇金投资有限责任公司
中央汇金资产管理有限责任公司"
24,002659.SZ,002659,凯文教育,文教休闲,6.27,True,True,华轩(上海)股权投资基金有限公司
25,600620.SH,600620,天宸股份,综合类,6.31,True,True,深圳市诚和昌投资发展有限公司-诚和昌鸿基成长1号私募证券投资基金
26,000732.SZ,000732,泰禾集团,区域地产,6.36,True,True,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
27,000715.SZ,000715,中兴商业,百货,6.98,True,True,
28,603128.SH,603128,华贸物流,仓储物流,6.99,True,True,"珠海回声资产管理有限公司-回声1号私募基金
香港中央结算有限公司(陆股通)"
29,600961.SH,600961,株冶集团,铅锌,7.14,True,True,
30,601162.SH,601162,天风证券,证券,7.15,True,True,
31,600864.SH,600864,哈投股份,证券,7.28,True,True,"中国华融资产管理股份有限公司
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司"
32,000905.SZ,000905,厦门港务,港口,7.31,True,True,"云南国际信托有限公司-源盛恒瑞21号集合资金信托计划
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)"
33,600199.SH,600199,金种子酒,白酒,7.34,True,True,"中央汇金资产管理有限责任公司
中国银行股份有限公司-招商中证白酒指数分级证券投资基金"
34,000671.SZ,000671,阳光城,区域地产,7.46,True,True,"东方信隆资产管理有限公司
香港中央结算有限公司(陆股通)
东莞市惠丰资产管理有限公司-惠丰财富策略1号证券投资基金"
35,000006.SZ,000006,深振业A,区域地产,7.51,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
36,001965.SZ,001965,招商公路,路桥,7.65,True,True,"基本养老保险基金八零二组合
香港中央结算有限公司(陆股通)
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金
中国银行股份有限公司-华泰柏瑞量化增强混合型证券投资基金
全国社保基金零二零组合"
37,002702.SZ,002702,海欣食品,食品,7.71,True,True,
38,300315.SZ,300315,掌趣科技,互联网,7.72,True,True,"中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
中国工商银行股份有限公司-银华中小盘精选混合型证券投资基金
中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金
全国社保基金一一八组合
香港中央结算有限公司(陆股通)
基本养老保险基金一二零六组合
中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
中国工商银行股份有限公司-银华中小盘精选混合型证券投资基金
中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金
全国社保基金一一八组合
香港中央结算有限公司(陆股通)
基本养老保险基金一二零六组合
中国工商银行股份有限公司-银华中小盘精选混合型证券投资基金
中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
香港中央结算有限公司(陆股通)
基本养老保险基金一二零六组合
中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金
中国建设银行股份有限公司-前海开源再融资主题精选股票型证券投资基金
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金"
