,ts_code,name,industry,continuously_up,average_p_change,last_p_change,circ_mv
3059,601700.SH,风范股份,电气设备,8.0,10.043,10.0179,696937.68
1012,002552.SZ,*ST宝鼎,机械基件,8.0,2.789,5.0269,117087.1322
1140,002680.SZ,*ST长生,生物制药,7.0,5.0,5.0667,159020.5438
1478,300095.SZ,华伍股份,机械基件,6.0,4.392,9.9624,140463.4725
1382,002941.SZ,新疆交建,建筑施工,6.0,6.47,9.9964,198120.0
2038,300665.SZ,飞鹿股份,染料涂料,6.0,4.093,10.0,87526.0566
2286,600193.SH,*ST创兴,装修装饰,6.0,3.671,5.0992,157813.383
2523,600495.SH,晋西车轴,运输设备,6.0,2.562,5.0549,577515.2435
1071,002611.SZ,东方精工,轻工机械,6.0,2.21,5.4321,438822.1479
2682,600677.SH,航天通信,通信设备,6.0,9.214,10.0216,635469.2592
959,002498.SZ,汉缆股份,电气设备,6.0,5.638,10.0,914618.5846
822,002361.SZ,神剑股份,化工原料,6.0,4.086,10.0962,282571.3078
2629,600614.SH,鹏起科技,综合类,6.0,10.078,10.0569,876662.8416
1707,300325.SZ,德威新材,塑料,6.0,3.652,10.0865,303601.8596
375,000890.SZ,法尔胜,钢加工,6.0,7.891,9.9349,256246.1001
3435,603709.SH,中源家居,家居用品,6.0,2.035,5.5832,55220.0
173,000595.SZ,宝塔实业,机械基件,6.0,5.036,10.0334,248160.8014
1663,300281.SZ,金明精机,专用机械,5.0,6.535,10.0179,161207.0589
1647,300265.SZ,通光线缆,电气设备,5.0,7.075,6.5033,380538.4328
1510,300127.SZ,银河磁体,元器件,5.0,2.162,5.9397,271402.2936
1416,300032.SZ,金龙机电,元器件,5.0,3.239,10.0977,266802.8195
53,000070.SZ,特发信息,通信设备,5.0,10.01,10.0,686750.7836
63,000153.SZ,丰原药业,化学制药,5.0,2.386,5.4645,180634.8162
2162,600055.SH,万东医疗,医疗保健,5.0,3.553,5.1988,500363.136
2283,600190.SH,锦州港,港口,5.0,2.827,10.0719,544522.2662
172,000593.SZ,大通燃气,供气供热,5.0,2.432,8.0357,203129.2548
3553,603976.SH,正川股份,医疗保健,5.0,3.571,6.4764,74301.8797
2421,600353.SH,旭光股份,元器件,5.0,4.627,5.9448,271316.28
1846,300466.SZ,赛摩电气,电器仪表,5.0,3.318,10.0733,176427.3694
2550,600525.SH,长园集团,电气设备,4.0,3.261,6.4516,603268.1202
1459,300076.SZ,GQY视讯,电脑设备,4.0,4.179,10.0939,179098.3254
1160,002700.SZ,新疆浩源,供气供热,4.0,2.663,7.1429,342878.3136
2407,600333.SH,长春燃气,供气供热,4.0,2.294,6.8541,322008.8433
1610,300228.SZ,富瑞特装,化工机械,4.0,4.213,6.1682,230666.3291
592,002130.SZ,沃尔核材,电气设备,4.0,5.972,5.7743,381293.3541
2006,300632.SZ,光莆股份,半导体,4.0,4.166,5.5814,76760.9639
947,002486.SZ,嘉麟杰,服饰,4.0,3.312,10.0775,349032.45
1466,300083.SZ,劲胜智能,元器件,4.0,3.37,5.5336,333432.3664
3045,601616.SH,广电电气,电气设备,4.0,6.737,9.9462,382650.175
1922,300543.SZ,朗科智能,电气设备,3.0,5.124,7.0102,76083.6
3094,601908.SH,京运通,电气设备,3.0,3.231,5.414,659688.859
3333,603500.SH,祥和实业,运输设备,3.0,7.578,10.034,65217.6
1940,300562.SZ,乐心医疗,医疗保健,3.0,4.343,9.9701,92386.927
2011,300637.SZ,扬帆新材,化工原料,3.0,4.542,7.3189,183643.228
3028,601518.SH,吉林高速,路桥,3.0,3.153,5.2239,342122.4
2820,600825.SH,新华传媒,出版业,3.0,6.451,5.8161,589316.7474
2215,600112.SH,天成控股,电气设备,3.0,4.787,5.3738,229651.3855
3406,603659.SH,璞泰来,化工原料,3.0,2.751,5.0796,942807.7733
2736,600733.SH,北汽蓝谷,汽车整车,3.0,3.437,5.3724,342524.7
3134,603017.SH,中衡设计,建筑施工,3.0,8.566,5.6114,340377.7831
2459,600396.SH,金山股份,火力发电,3.0,5.04,9.9502,325468.2066
3528,603909.SH,合诚股份,建筑施工,3.0,4.002,10.0153,71675.0
3174,603080.SH,新疆火炬,供气供热,3.0,4.104,9.9891,176738.11
30,000037.SZ,深南电A,火力发电,3.0,4.333,10.0616,181647.1904
1009,002549.SZ,凯美特气,环境保护,3.0,4.388,7.3171,382064.7138
1077,002617.SZ,露笑科技,电气设备,3.0,2.747,5.7831,459463.7945
209,000638.SZ,万方发展,批发业,3.0,5.259,9.9476,194922.0
423,000957.SZ,中通客车,汽车整车,3.0,3.465,5.4348,287552.9614
575,002113.SZ,天润数娱,互联网,3.0,4.977,10.0,344773.5445
602,002140.SZ,东华科技,建筑施工,3.0,3.187,5.042,274733.8606
626,002164.SZ,宁波东力,电气设备,3.0,5.021,10.0346,139902.0034
643,002181.SZ,粤传媒,出版业,3.0,7.963,10.0,499150.3339
820,002359.SZ,北讯集团,通信设备,3.0,4.237,5.509,623807.2155
887,002426.SZ,胜利精密,元器件,3.0,4.768,10.0,569654.6141
906,002445.SZ,ST中南,影视音像,3.0,2.707,5.0251,273380.3767
950,002489.SZ,浙江永强,家居用品,3.0,3.991,6.6176,542422.9887
1035,002575.SZ,群兴玩具,文教休闲,3.0,3.329,9.9867,486282.72
1060,002600.SZ,领益智造,元器件,3.0,4.988,10.1167,421073.1592
3560,603987.SH,康德莱,医疗保健,3.0,2.793,5.4299,186003.921
1141,002681.SZ,奋达科技,家用电器,3.0,4.903,10.0529,459625.1637
1355,002911.SZ,佛燃股份,供气供热,3.0,2.259,5.1116,484819.0
1710,300328.SZ,宜安科技,铝,3.0,6.299,9.9526,285556.5504
1672,300290.SZ,荣科科技,软件服务,3.0,3.511,6.4846,200140.0771
1630,300248.SZ,新开普,软件服务,3.0,6.665,9.973,258374.4081
43,000058.SZ,深赛格,元器件,3.0,3.677,10.0329,359928.8278
1164,002705.SZ,新宝股份,家用电器,3.0,2.588,5.0661,437759.9766
1359,002916.SZ,深南电路,元器件,3.0,4.15,6.7833,718857.9396
1296,002848.SZ,高斯贝尔,通信设备,3.0,4.624,9.9647,109296.2455
1286,002837.SZ,英维克,专用机械,3.0,7.639,10.0299,126018.2784
1262,002811.SZ,亚泰国际,装修装饰,3.0,6.751,10.01,98910.0
1167,002708.SZ,光洋股份,汽车配件,3.0,4.194,10.0,219335.6889
705,002243.SZ,通产丽星,塑料,2.0,6.857,10.0,594136.9004
1369,002927.SZ,泰永长征,电气设备,2.0,4.38,5.7343,115233.3
3225,603186.SH,华正新材,元器件,2.0,7.337,9.9934,123328.1445
3255,603268.SH,松发股份,陶瓷,2.0,2.804,5.4206,210093.6096
1007,002547.SZ,春兴精工,通信设备,2.0,10.02,9.9831,518490.9717
479,002017.SZ,东信和平,通信设备,2.0,9.06,8.12,422764.3781
3499,603861.SH,白云电器,电气设备,2.0,7.331,10.0,158500.6734
1842,300462.SZ,华铭智能,专用机械,2.0,5.591,5.9347,138109.734
1807,300427.SZ,红相股份,电气设备,2.0,6.475,7.4933,295189.2525
