,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300286.SZ,300286,安科瑞,电器仪表,26.99,4.0,2.0,5.0,46.5,中央汇金资产管理有限责任公司,1.0
1,300720.SZ,300720,海川智能,电器仪表,34.5,4.0,3.0,5.0,14.42,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
2,300843.SZ,300843,胜蓝股份,元器件,48.46,2.0,2.0,4.0,18.04,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金",2.0
3,688133.SH,688133,N泰坦,化工原料,61.7,1.0,1.0,4.0,9.61,,0.0
4,000816.SZ,000816,智慧农业,农用机械,2.29,4.0,2.0,4.0,30.6,香港中央结算有限公司(陆股通),1.0
5,000550.SZ,000550,江铃汽车,汽车整车,21.92,3.0,2.0,3.0,113.65,中央汇金资产管理有限责任公司,1.0
6,300274.SZ,300274,阳光电源,电气设备,45.33,2.0,2.0,3.0,491.46,"中央汇金资产管理有限责任公司
上海浦东发展银行股份有限公司-广发高端制造股票型发起式证券投资基金
挪威中央银行-自有资金
交通银行股份有限公司-工银瑞信互联网加股票型证券投资基金
全国社保基金四一三组合
基本养老保险基金一二零六组合
上海浦东发展银行股份有限公司-易方达裕祥回报债券型证券投资基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金",9.0
7,605169.SH,605169,N洪通,供气供热,27.09,1.0,1.0,3.0,10.84,,0.0
8,603919.SH,603919,金徽酒,白酒,36.55,5.0,2.0,3.0,179.57,"贫困地区产业发展基金有限公司
中央企业贫困地区产业投资基金股份有限公司
甘肃长城兴陇丝路基金管理有限公司-甘肃长城兴陇丝路基金(有限合伙)
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
光大兴陇信托有限责任公司-光大-融金1号证券投资集合资金信托计划",6.0
9,601995.SH,601995,中金公司,证券,37.7,1.0,1.0,3.0,98.13,,0.0
10,300514.SZ,300514,友讯达,通信设备,18.12,1.0,1.0,2.0,27.71,,0.0
11,300611.SZ,300611,美力科技,机械基件,15.36,3.0,1.0,2.0,18.7,,0.0
12,300124.SZ,300124,汇川技术,电器仪表,77.09,1.0,1.0,2.0,1064.95,"中央汇金资产管理有限责任公司
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
招商银行股份有限公司-泓德丰润三年持有期混合型证券投资基金",4.0
