,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_FLOAT_HOLDERS
0,600713.SH,600713,南京医药,医药商业,True,4.59,True,中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
1,000516.SZ,000516,国际医学,医疗保健,True,5.18,True,"广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划
泰达宏利基金-民生银行-泰达宏利价值成长定向增发170号资产管理计划"
2,002198.SZ,002198,嘉应制药,中成药,True,5.68,True,深圳市老虎汇资产管理有限公司
3,002004.SZ,002004,华邦健康,化学制药,True,5.69,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
4,600572.SH,600572,康恩贝,中成药,True,5.82,True,"渤海国际信托股份有限公司-渤海信托·恒利丰253号集合资金信托计划
香港中央结算有限公司(陆股通)
金元顺安基金-杭州银行-华润信托-华润信托·汇祥增利53号单一资金信托
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
5,300255.SZ,300255,常山药业,生物制药,True,6.21,True,"珠海保联资产管理有限公司
中国建设银行股份有限公司-长城量化小盘股票型证券投资基金"
6,002589.SZ,002589,瑞康医药,医药商业,True,6.31,True,"汇添富基金-工商银行-汇添富-优势医药企业定增计划5号资产管理计划
汇添富基金-工商银行-汇添富-优势医药企业定增计划4号资产管理计划
汇添富基金-宁波银行-程义全"
7,300434.SZ,300434,金石亚药,化学制药,True,8.34,True,
8,002788.SZ,002788,鹭燕医药,医药商业,True,8.86,True,"华泰证券股份有限公司-中庚价值领航混合型证券投资基金
广发证券股份有限公司-中庚小盘价值股票型证券投资基金
中信期货-招商银行-中信期货广发择时对冲2号集合资产管理计划
平安银行股份有限公司-中庚价值灵动灵活配置混合型证券投资基金
中国建设银行股份有限公司-长城量化小盘股票型证券投资基金"
9,002252.SZ,002252,上海莱士,生物制药,True,8.88,True,"陕西省国际信托股份有限公司-陕国投·鑫鑫向荣82号证券投资集合资金信托计划
民生通惠资产-民生银行-民生通惠聚鑫2号资产管理产品
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣76号证券投资集合资金信托计划
香港中央结算有限公司(陆股通)
陕西省国际信托股份有限公司-陕国投·如意69号定向投资集合资金信托计划"
10,600285.SH,600285,羚锐制药,中成药,True,9.48,True,"香港中央结算有限公司(陆股通)
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中国建设银行股份有限公司-华夏医疗健康混合型发起式证券投资基金
中国工商银行股份有限公司-诺安先锋混合型证券投资基金
方正证券-宁波银行-民族-羚锐小羚羊资产管理计划"
11,600479.SH,600479,千金药业,中成药,True,9.65,True,"中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
长安基金-光大银行-长安平安富贵千金净雅资产管理计划"
12,600624.SH,600624,复旦复华,化学制药,True,10.18,True,
13,000534.SZ,000534,万泽股份,生物制药,True,10.24,True,"九泰基金-浦发银行-九泰基金-恒胜新动力分级1号资产管理计划
云南国际信托有限公司-聚信5号集合资金信托计划
华润深国投信托有限公司-润之信13期集合资金信托计划"
14,300049.SZ,300049,福瑞股份,医疗保健,True,10.25,True,中央汇金资产管理有限责任公司
15,000989.SZ,000989,九芝堂,中成药,True,10.62,True,"绵阳科技城产业投资基金(有限合伙)
鹏华资产管理-浦发银行-鹏华资产金润18号资产管理计划
香港中央结算有限公司(陆股通)
鹏华资产-浦发银行-鹏华资产金润28号资产管理计划
鹏华资产-浦发银行-鹏华资产金润25号资产管理计划
鹏华资产-浦发银行-鹏华资产金润21号资产管理计划"
16,600833.SH,600833,第一医药,医药商业,True,11.25,True,
17,002107.SZ,002107,沃华医药,中成药,True,11.5,True,
18,002614.SZ,002614,奥佳华,医疗保健,True,11.51,True,"香港中央结算有限公司(陆股通)
全国社保基金一零二组合"
19,300030.SZ,300030,阳普医疗,医疗保健,True,12.08,True,"中央汇金资产管理有限责任公司
长安基金-光大银行-长安睿享2号分级资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划"
20,002365.SZ,002365,永安药业,化学制药,True,13.04,True,"中央汇金资产管理有限责任公司
中国农业银行-华夏平稳增长混合型证券投资基金
中国工商银行股份有限公司-华夏乐享健康灵活配置混合型证券投资基金
中国农业银行股份有限公司-华夏逸享健康灵活配置混合型证券投资基金"
21,002038.SZ,002038,双鹭药业,生物制药,True,13.15,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
华夏基金-农业银行-华夏中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划"
22,600062.SH,600062,华润双鹤,化学制药,True,13.68,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金
招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金
吕梁金地资产管理有限公司
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
23,603108.SH,603108,润达医疗,医药商业,True,14.39,True,"香港中央结算有限公司(陆股通)
西藏博恩资产管理有限公司-博恩添富7号私募证券投资基金"
