,ts_code,name,industry,COL_LASTPRICE,concept,circ_mv
0,603169.SH,兰石重装,专用机械,8.6,"一带一路, 核电, 定增破发, ",89.76亿
1,300189.SZ,神农科技,种植业,5.28,"海南自由贸易港, 自贸区, 农业种植, 自由贸易港, 海南, ",46.61亿
2,603258.SH,电魂网络,互联网,22.23,"阿里巴巴概念股, 腾讯概念股, 游戏, 手游, ",25.91亿
3,300127.SZ,银河磁体,元器件,24.78,"特斯拉, 稀土磁材, ",56.28亿
4,300605.SZ,恒锋信息,软件服务,22.95,"养老产业, 数字中国, 高送转, 智慧城市, 国产软件, 智慧安防, ",11.14亿
5,000037.SZ,深南电A,火力发电,12.28,"火电, 电改, ",41.62亿
6,002041.SZ,登海种业,种植业,11.81,"转基因, 乡村振兴, 农业种植, 人造肉, ",103.2亿
7,000812.SZ,陕西金叶,广告包装,4.66,"教育, 信托, 包装印刷, ",31.24亿
8,002636.SZ,金安国纪,元器件,10.25,"玻纤, ",25.26亿
9,601608.SH,中信重工,专用机械,4.7,"业绩预增, 工业自动化, 智能制造, 工业互联网, 机器人, 强势人气股, ",203.95亿
10,300730.SZ,科创信息,软件服务,23.08,"智能制造, 大数据, 工业互联网, 国产软件, 机器视觉, ",17.44亿
11,002378.SZ,章源钨业,小金属,8.53,"有色金属, 稀土磁材, 有色-钨, 工业自动化, 智能制造, ",78.75亿
12,600311.SH,荣华实业,黄金,5.28,"壳公司, 黄金, ",35.14亿
13,603787.SH,新日股份,摩托车,14.97,"共享经济, ",10.61亿
14,002123.SZ,梦网集团,互联网,13.0,"密集调研, 物联网, 直播/短视频, 云计算, 区块链, 国资入股, 独角兽, ",80.99亿
15,300588.SZ,熙菱信息,软件服务,13.32,"华为产业链, 新疆, 网络安全, 人工智能, 智慧城市, 国产软件, 智慧安防, 独角兽, ",10.48亿
16,300386.SZ,飞天诚信,软件服务,13.36,"谷歌概念股, 网络安全, 区块链, 国产软件, 国产操作系统, 虹膜识别, ",28.49亿
17,603908.SH,牧高笛,纺织,27.98,"纺织服装, 体育产业, ",6.45亿
18,300630.SZ,普利制药,化学制药,82.71,"业绩预增, 医药, 化学药, 海南自由贸易港, 高送转, 自贸区, 自由贸易港, 海南, ",81.86亿
19,300593.SZ,新雷能,电气设备,22.86,"5G, 高送转-预期, 军工, 军民融合, ",15.3亿
20,002949.SZ,华阳国际,建筑施工,23.72,"次新股, 装配式建筑, 装修装饰, ",11.63亿
21,300357.SZ,我武生物,生物制药,33.77,"社保重仓, 高送转-填权, ",154.53亿
22,002167.SZ,东方锆业,小金属,8.28,"有色-锆, 一带一路, 央企改革, 核电, 航母, 有色金属, 黄金, ",51.22亿
23,600359.SH,新农开发,农业综合,8.39,"棉花, 食品, 新疆, 农垦, 乳业（奶粉）, 土地流转, 新疆国企改革, 农业种植, 资产重组, ",32.01亿
24,600363.SH,联创光电,元器件,11.21,"新能源汽车, 国产芯片, LED, 充电桩, ",49.71亿
25,300592.SZ,华凯创意,软件服务,12.02,"装修装饰, 人脸识别, ",
26,300027.SZ,华谊兄弟,影视音像,5.8,"主题公园, 阿里巴巴概念股, 新进指数成份股, 大消费, 特色小镇, 电竞, 腾讯概念股, 独角兽, 游戏, 手游, 影视, 动漫, ",128.25亿
27,000861.SZ,海印股份,房产服务,3.01,"供应链金融, 低价股, 股权转让, 共享经济, ",59.46亿
28,600531.SH,豫光金铅,铅锌,5.85,"有色金属, 黄金, ",63.78亿
29,600819.SH,耀皮玻璃,玻璃,5.25,"业绩预增, 上海国企改革, 玻璃, ",39.24亿
30,603619.SH,中曼石油,石油开采,18.71,"油服, 海工装备, 油气改革, 可燃冰, 天然气, ",26.82亿
31,300553.SZ,集智股份,电器仪表,37.03,,6.2亿
32,603516.SH,淳中科技,通信设备,25.38,"智慧安防, ",22.4亿
33,600870.SH,ST厦华,家用电器,3.33,"移动支付, 低价股, 智慧安防, 资产重组, ST股, ",17.42亿
34,300208.SZ,青岛中程,电气设备,7.6,"有色金属, 有色-镍, 光伏, 举牌股, ",45.72亿
35,603156.SH,养元饮品,软饮料,36.55,"新进指数成份股, 大消费, 饮料, ",233.72亿
36,300399.SZ,京天利,互联网,16.34,"互联网金融, 国产软件, ",21.9亿
37,300142.SZ,沃森生物,生物制药,25.8,"MSCI, 新进指数成份股, 医药, 创新药, 疫苗, 创业板人气股, ",355.28亿
38,601212.SH,白银有色,铜,4.85,"有色金属, 定增破发, 有色-铜, 黄金, ",95.29亿
39,002888.SZ,惠威科技,元器件,20.02,"智能音箱, ",7.12亿
40,300494.SZ,盛天网络,互联网,10.97,"互联网金融, 电竞, 游戏, 手游, 创投, ",24.86亿
41,600712.SH,南宁百货,百货,5.29,"东盟博览会, 教育, 新零售, 宝能系, 广西, ",28.46亿
42,603013.SH,亚普股份,汽车配件,17.7,"汽车零部件, ",10.62亿
43,600259.SH,广晟有色,小金属,44.22,"有色金属, 债转股-AMC, 稀土磁材, 有色-钨, ",115.91亿
44,600525.SH,长园集团,电气设备,6.78,"特高压, 特斯拉, 粤港澳大湾区, 新能源汽车, 充电桩, ",88.53亿
45,300738.SZ,奥飞数据,电信运营,27.21,"高送转-预期, 业绩预增, 网络安全, 高送转-填权, 大数据, 云计算, ",16.4亿
46,002481.SZ,双塔食品,食品,7.51,"海底捞概念股, 业绩预增, 保健品, 食品, 山东国企改革, 燃料乙醇, 人造肉, ",83.15亿
47,600108.SH,亚盛集团,农业综合,3.84,"转基因, 乡村振兴, 农垦, 土地流转, 农业种植, 工业大麻, ",74.76亿
48,002427.SZ,*ST尤夫,化纤,15.15,"涤纶, 军工, 军民融合, 锂电池, 燃料电池, 新能源汽车, 举牌股, 股权转让, 国资入股, ST股, ",58.28亿
49,002570.SZ,贝因美,乳制品,6.51,"二胎, 回购, 食品, 乳业（奶粉）, 股权转让, ST摘帽, ",66.56亿
50,300698.SZ,万马科技,通信设备,20.39,"5G, 光通信, 物联网, 量子通信, 医疗器械, 互联网医疗, ",9.27亿
51,600711.SH,盛屯矿业,小金属,5.56,"有色-锌, 有色金属, 参股券商, 有色-钴, 有色-铜, ",83.24亿
52,300678.SZ,中科信息,软件服务,24.36,"中科院系, 数字中国, 智能制造, 机器视觉, ",20.3亿
53,603138.SH,海量数据,软件服务,21.86,"大数据, 云计算, ",10.46亿
54,603208.SH,江山欧派,家居用品,32.5,"家具家居, ",10.02亿
55,002155.SZ,湖南黄金,黄金,9.33,"有色-锑, 有色金属, 湖南国企改革, 有色-钨, 黄金, ",112.14亿
56,300134.SZ,大富科技,通信设备,15.19,"5G, OLED, 特斯拉, 华为产业链, 无人驾驶, 高质押率, 石墨烯, 股权转让, VR&AR, 国资入股, 虹膜识别, ",108.22亿
57,300565.SZ,科信技术,通信设备,15.19,"5G, 光通信, ",10.91亿
58,300352.SZ,北信源,软件服务,6.0,"网络安全, 人工智能, 区块链, 智慧城市, 国产软件, 国产操作系统, ",65.61亿
59,002716.SZ,金贵银业,小金属,7.76,"有色-锌, 有色-锑, 有色金属, 互联网金融, 股权转让, 黄金, ",48.31亿
60,300555.SZ,路通视信,通信设备,11.16,"物联网, 智慧城市, 智慧安防, 广电, ",9.74亿
61,000818.SZ,航锦科技,化工原料,12.0,"烧碱, 环氧丙烷, 军工, 军民融合, 兜底式增持, 燃料电池, 半导体, 国产芯片, 创投, ",
62,300457.SZ,赢合科技,专用机械,24.74,"社保重仓, 工业自动化, 锂电池, 智能制造, 新能源汽车, ",62.36亿
63,300629.SZ,新劲刚,矿物制品,19.85,"5G, 军工, 军民融合, 国产芯片, ",8.59亿
64,600766.SH,园城黄金,黄金,9.75,"资产重组, 壳公司, 黄金, ",21.83亿
65,300305.SZ,裕兴股份,塑料,9.79,"OLED, 回购, 光伏, ",22.4亿
66,600353.SH,旭光股份,元器件,5.79,"业绩预增, ",
67,300440.SZ,运达科技,软件服务,7.58,"回购, 国产软件, 高铁轨交, ",33.78亿
68,600305.SH,恒顺醋业,食品,15.9,"调味品, 食品, ",124.59亿
69,600251.SH,冠农股份,农业综合,6.9,"回购, 棉花, 食品, 新疆, 化肥, 农垦, 白糖, 新疆国企改革, 大数据, ",54.15亿
70,600061.SH,国投资本,证券,13.52,"MSCI, 券商, 央企改革, 雄安-金融, 雄安新区, ",564.3亿
71,300612.SZ,宣亚国际,广告包装,19.66,"回购, 网络安全, 直播/短视频, 区块链, ",8.91亿
72,300198.SZ,纳川股份,塑料,4.12,"核电, 地下管廊, 海绵城市, 锂电池, PPP, 新能源汽车, 股权转让, 共享经济, ",33.32亿
73,002641.SZ,永高股份,塑料,4.17,,37.36亿
74,603085.SH,天成自控,汽车配件,12.31,"二胎, 汽车零部件, 工业自动化, 智能制造, ",18.16亿
75,300322.SZ,硕贝德,通信设备,13.74,"5G, 华为产业链, 小米概念股, 无线充电, 移动支付, 指纹识别, 虹膜识别, ",50.49亿
76,300087.SZ,荃银高科,种植业,9.9,"转基因, 回购, 农业种植, 股权转让, ",34.85亿
77,002405.SZ,四维图新,软件服务,23.72,"安邦系, 特斯拉, 蔚来汽车概念股, 军工研究所, 回购, 业绩预增, 军工, 物联网, 无人驾驶, 雄安-智慧城市, 北斗导航, 雄安新区, 大数据, 高送转, 国产软件, 腾讯概念股, 国产芯片, 滴滴出行概念股, 共享经济, 国产操作系统, 智慧安防, 独角兽, 手势识别, ",247.05亿
78,601881.SH,中国银河,证券,10.83,"券商, ",133.05亿
79,600323.SH,瀚蓝环境,水务,16.42,"水务, 固废处理, 粤港澳大湾区, 天然气, PPP, 环保, 创投, ",125.82亿
80,300299.SZ,富春股份,通信设备,7.34,"5G, 数字中国, 大数据, 资产重组, 游戏, 手游, 影视, 动漫, ",45.37亿
81,300193.SZ,佳士科技,专用机械,7.89,"工业自动化, 智能制造, 机器人, ",36.11亿
82,300710.SZ,万隆光电,通信设备,28.69,"5G, 光通信, 阿里巴巴概念股, 高送转-预期, 物联网, 广电, 强势人气股, ",9.62亿
83,002574.SZ,明牌珠宝,服饰,5.92,"破净股, 住房租赁, 黄金, ",31.26亿
84,002534.SZ,杭锅股份,专用机械,6.63,"核电, 创投, ",48.37亿
85,002670.SZ,国盛金控,证券,11.28,"券商, 互联网金融, 区块链, ",183.06亿
86,300770.SZ,新媒股份,影视音像,88.99,"次新股, ",28.57亿
87,600540.SH,新赛股份,种植业,5.26,"棉花, 新疆, 农垦, 新疆国企改革, 农业种植, 股权转让, ",24.77亿
88,600675.SH,中华企业,区域地产,6.38,"业绩预增, 房地产, 土地流转, 上海国企改革, ",119.12亿
89,601888.SH,中国国旅,旅游服务,79.46,"MSCI, 中字头, 人民币升值受益, 阿里巴巴概念股, 大消费, 央企改革, 旅游, 中韩自贸区, 海南自由贸易港, 自贸区, 自由贸易港, 股权转让, ",1551.44亿
90,600593.SH,大连圣亚,旅游服务,34.08,"主题公园, 旅游, ",43.9亿
91,002827.SZ,高争民爆,化工原料,15.66,"高送转, 西藏, 民爆, ",9.89亿
92,002830.SZ,名雕股份,装修装饰,15.81,"装修装饰, ",6.3亿
93,002817.SZ,黄山胶囊,化学制药,19.9,,8.27亿
94,600452.SH,涪陵电力,水力发电,24.38,"特高压, 电改, 央企改革, ",54.61亿
95,300608.SZ,思特奇,软件服务,24.12,"大数据, 云计算, 高送转, 人工智能, 区块链, 国产软件, ",16.7亿
96,300711.SZ,广哈通信,通信设备,21.03,"5G, 军工, 军民融合, ",9.51亿
97,300631.SZ,久吾高科,环境保护,19.06,"高送转-预期, 社保重仓, 锂电池, 环保, 新能源汽车, 污水处理, 燃料乙醇, ",13.21亿
98,603803.SH,瑞斯康达,通信设备,12.7,"5G, 光通信, 物联网, 工业互联网, ",27.91亿
99,000157.SZ,中联重科,工程机械,5.55,"MSCI, 一带一路, 乡村振兴, 业绩预增, 宁德时代概念股, 农机, 工业自动化, 机械, 智能制造, 人工智能, 工业互联网, ",349.64亿
100,603607.SH,京华激光,造纸,20.64,"包装印刷, 知识产权, ",10.05亿
101,300560.SZ,中富通,通信设备,20.24,"5G, 华为产业链, 军工, 军民融合, 数字中国, ",13.55亿
102,600585.SH,海螺水泥,水泥,40.79,"AH溢价股, 高股息, 白马股, MSCI, 安徽国企改革, 高送转-预期, 业绩预增, 水泥, ",1631.48亿
103,600031.SH,三一重工,工程机械,12.79,"MSCI, 一带一路, 社保重仓, 回购, 业绩预增, 军工, 军民融合, 工业自动化, 机械, 智能制造, ",1066.42亿
