,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept,circ_mv
0,002663.SZ,002663,普邦股份,建筑施工,1.0,3.44,"园林, 定增破发, PPP, 区块链, 独角兽, ",43.0亿
1,600439.SH,600439,瑞贝卡,服饰,1.0,3.63,"大消费, ",41.09亿
2,300362.SZ,300362,天翔环境,环境保护,1.0,4.06,"环保, 污水处理, 股权转让, 资产重组, ",12.78亿
3,601199.SH,601199,江南水务,水务,1.0,4.16,"水务, 海南自由贸易港, PPP, 自贸区, 自由贸易港, ",38.9亿
4,600086.SH,600086,东方金钰,服饰,1.0,4.64,"高质押率, 智能制造, 股权转让, 资产重组, 机器人, 黄金, 强势人气股, ",49.04亿
5,002689.SZ,002689,远大智能,运输设备,1.0,4.66,"风电, 智能制造, 机器人, ",48.5亿
6,002172.SZ,002172,澳洋健康,化纤,1.0,5.25,"医药商业, 民营医院, 回购, 石油化工, 定增破发, 医药, 基因测序, 粘胶短纤, ",36.06亿
7,002103.SZ,002103,广博股份,文教休闲,2.0,5.73,"回购, 互联网金融, 区块链, 独角兽, 创投, ",21.45亿
8,002177.SZ,002177,御银股份,电脑设备,1.0,6.04,"业绩预增, 互联网金融, 区块链, 腾讯概念股, 国产操作系统, 虹膜识别, 人脸识别, 无人银行, ",45.98亿
9,000523.SZ,000523,广州浪奇,日用化工,1.0,6.18,"社保重仓, 粤港澳大湾区, 食品, 白糖, 工业大麻, ",38.75亿
10,002668.SZ,002668,奥马电器,家用电器,1.0,6.55,"供应链金融, 白色家电, 家电, 互联网金融, 区块链, 股权转让, 国资入股, ",42.86亿
11,300023.SZ,300023,宝德股份,专用机械,1.0,6.73,"油服, 页岩气, 工业自动化, 智能制造, 强势人气股, ",9.72亿
12,603335.SH,603335,迪生力,汽车配件,4.0,6.86,"汽车零部件, ",13.95亿
