,ts_code,symbol,name,industry,COL_MAX_CONTINUOUS_LIMIT_COUNT,COL_LAST_IF_LIMIT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002356.SZ,002356,*ST赫美,其他商业,4.0,False,10.64,,0.0
1,000410.SZ,000410,*ST沈机,机床制造,3.0,False,70.43,"兴业资产管理有限公司
中国信达资产管理股份有限公司",2.0
2,002089.SZ,002089,ST新海,通信设备,3.0,False,26.01,陕西省国际信托股份有限公司-陕国投·祥瑞5号结构化证券投资集合资金信托计划,1.0
3,002175.SZ,002175,*ST东网,电器仪表,3.0,False,14.7,上海文盛资产管理股份有限公司,1.0
4,002256.SZ,002256,*ST兆新,新型电力,3.0,False,29.22,"上海隆升资产管理有限公司
中融国际信托有限公司
深圳市汇通正源股权投资基金合伙企业(有限合伙)",3.0
5,002321.SZ,002321,*ST华英,农业综合,3.0,False,12.21,,0.0
6,600091.SH,600091,*ST明科,化工原料,3.0,False,10.37,,0.0
7,600615.SH,600615,*ST丰华,小金属,3.0,False,13.28,"重庆国际信托股份有限公司-兴国1号集合资金信托计划
重庆国际信托股份有限公司-鸿睿一号集合资金信托计划",2.0
8,600725.SH,600725,ST云维,焦炭加工,3.0,False,30.81,,0.0
9,601020.SH,601020,ST华钰,铅锌,3.0,False,39.43,中国国际金融香港资产管理有限公司-客户资金2,1.0
