,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,circ_mv
1140,002680.SZ,*ST长生,生物制药,22.0,-4.14,-62.436,85960.8905
802,002341.SZ,新纶科技,化工原料,3.0,-3.131,-12.0,729002.7492
18,000023.SZ,深天地A,其他建材,1.0,-6.09,-11.846,222009.984
3545,603909.SH,合诚股份,建筑施工,2.0,-4.056,-11.793,63950.0
3226,603165.SH,荣晟环保,造纸,2.0,-3.763,-11.026,87329.088
3001,601208.SH,东材科技,化工原料,3.0,-2.745,-10.645,347136.954
3195,603098.SH,森特股份,装修装饰,1.0,-5.149,-10.054,113418.144
1896,300512.SZ,中亚股份,专用机械,3.0,-2.536,-9.907,120317.3279
2125,300753.SZ,爱朋医疗,医疗保健,2.0,-3.294,-9.69,87163.0
1642,300256.SZ,星星科技,元器件,2.0,-3.125,-9.155,300031.0194
1863,300479.SZ,神思电子,软件服务,2.0,-2.999,-8.957,266720.0
1515,300128.SZ,锦富技术,元器件,1.0,-4.206,-8.349,514741.1574
3469,603739.SH,蔚蓝生物,农业综合,2.0,-2.832,-8.289,127485.099
1453,300066.SZ,三川智慧,电器仪表,2.0,-2.725,-8.159,437266.0
2581,600552.SH,凯盛科技,玻璃,1.0,-4.046,-7.939,460622.0538
3136,603006.SH,联明股份,汽车配件,1.0,-4.001,-7.843,122148.9033
3365,603538.SH,美诺华,化学制药,2.0,-2.5,-7.347,168095.34
1425,300037.SZ,新宙邦,化工原料,5.0,-1.219,-7.345,634822.4512
2128,300757.SZ,罗博特科,专用机械,1.0,-3.693,-7.331,141580.0
3463,603728.SH,鸣志电器,电气设备,2.0,-2.489,-7.285,246064.0
2019,300641.SZ,正丹股份,化工原料,2.0,-2.226,-6.656,125316.18
2552,600518.SH,康美药业,中成药,1.0,-3.369,-6.653,4077355.7605
1607,300221.SZ,银禧科技,塑料,2.0,-2.218,-6.639,285776.4389
328,000813.SZ,德展健康,化学制药,3.0,-1.674,-6.622,914162.5482
1078,002618.SZ,丹邦科技,元器件,3.0,-1.671,-6.576,864069.84
305,000785.SZ,武汉中商,百货,1.0,-3.328,-6.553,275700.8804
2569,600537.SH,亿晶光电,半导体,3.0,-1.649,-6.516,438782.007
2682,600666.SH,奥瑞德,元器件,2.0,-2.153,-6.452,279672.1251
378,000895.SZ,双汇发展,食品,5.0,-1.087,-6.403,7957244.8991
2266,600162.SH,香江控股,全国地产,2.0,-2.154,-6.391,740714.1342
2126,300755.SZ,华致酒行,其他商业,2.0,-2.166,-6.37,165908.9196
809,002348.SZ,高乐股份,文教休闲,2.0,-2.057,-6.173,282374.401
217,000659.SZ,珠海中富,广告包装,2.0,-2.094,-6.17,469281.4198
2079,300702.SZ,天宇股份,化学制药,3.0,-1.482,-5.842,134767.3858
1293,002845.SZ,同兴达,元器件,2.0,-1.881,-5.726,147027.5121
1670,300284.SZ,苏交科,建筑施工,2.0,-1.921,-5.667,561576.2387
3147,603018.SH,中设集团,建筑施工,3.0,-1.442,-5.652,520773.7217
775,002314.SZ,南山控股,区域地产,2.0,-1.869,-5.587,384666.8917
1947,300566.SZ,激智科技,元器件,3.0,-1.407,-5.587,143861.1491
1712,300326.SZ,凯利泰,医疗保健,3.0,-1.411,-5.55,592492.313
3178,603063.SH,禾望电气,电气设备,2.0,-1.846,-5.499,214962.6
833,002372.SZ,伟星新材,其他建材,1.0,-2.719,-5.459,1907304.4386
467,002005.SZ,德豪润达,家用电器,1.0,-2.716,-5.396,423144.6976
883,002422.SZ,科伦药业,化学制药,3.0,-1.351,-5.353,2348036.122
478,002016.SZ,世荣兆业,区域地产,2.0,-1.78,-5.315,721874.7592
11,000014.SZ,沙河股份,全国地产,2.0,-1.739,-5.198,217034.7812
1962,300582.SZ,英飞特,半导体,2.0,-1.707,-5.091,186953.8453
494,002032.SZ,苏泊尔,家用电器,5.0,-0.853,-5.058,2913738.0469
1332,002886.SZ,沃特股份,塑料,1.0,-2.538,-5.052,91379.8019
164,000584.SZ,哈工智能,化纤,2.0,-1.665,-4.957,468873.068
3301,603332.SH,苏州龙杰,化纤,2.0,-1.666,-4.953,112993.0
1460,300073.SZ,当升科技,矿物制品,5.0,-0.824,-4.95,1032811.9232
1699,300313.SZ,天山生物,农业综合,1.0,-2.472,-4.944,108563.6147
126,000533.SZ,万家乐,电气设备,1.0,-2.464,-4.927,224647.9872
1491,300104.SZ,乐视网,互联网,1.0,-2.464,-4.878,838990.5391
2635,600612.SH,老凤祥,服饰,5.0,-0.801,-4.787,1337251.3097
3237,603185.SH,上机数控,机床制造,2.0,-1.595,-4.728,170100.0
392,000912.SZ,*ST天化,农药化肥,1.0,-2.345,-4.69,796544.0
3356,603517.SH,绝味食品,食品,2.0,-1.576,-4.666,622069.12
1743,300357.SZ,我武生物,生物制药,2.0,-1.576,-4.662,986999.9094
3452,603711.SH,香飘飘,软饮料,3.0,-1.173,-4.635,96206.7453
2697,600684.SH,珠江实业,全国地产,1.0,-2.306,-4.633,421609.5972
