,ts_code,symbol,name,industry,COL_MA_5,COL_MA_10,COL_MA_20,COL_MA_5_SLOPE,COL_MA_10_SLOPE,COL_MA_20_SLOPE,COL_LASTPRICE,COL_MA_CLOSE_GAP,concept
0,000534.SZ,000534,万泽股份,生物制药,11.42,11.34,11.04,-1.21,0.35,0.18,11.05,0.09,"社保重仓, 大飞机, 军工, 军民融合, 互联网金融, 股权转让, 资产重组, "
1,600882.SH,600882,妙可蓝多,乳制品,11.29,11.28,11.2,-0.18,-0.09,0.63,11.22,0.18,"回购, 食品, 乳业（奶粉）, "
2,002122.SZ,002122,*ST天马,机械基件,3.37,3.36,3.26,-0.88,0.3,-0.31,3.27,0.31,"破净股, 智慧停车, 大数据, ST股, 创投, "
3,603677.SH,603677,奇精机械,机械基件,15.68,15.57,15.47,0.06,0.26,0.0,15.54,0.45,"白色家电, 家电, "
4,600696.SH,600696,ST岩石,区域地产,6.68,6.64,6.57,-0.15,0.0,0.46,6.6,0.46,"ST股, 壳公司, "
5,600378.SH,600378,天科股份,化工原料,15.44,14.8,13.95,-0.64,0.41,0.65,14.02,0.5,"油服, 可燃冰, 央企改革, 业绩预增, 页岩气, 石油化工, 燃料电池, 资产重组, 碳交易, "
6,002568.SZ,002568,百润股份,红黄药酒,17.33,17.18,17.01,0.06,-0.12,0.29,17.1,0.53,"社保重仓, 回购, 饮料, "
7,300341.SZ,300341,麦克奥迪,电气设备,7.42,7.31,7.01,-0.4,0.27,0.29,7.05,0.57,
8,600732.SH,600732,ST新梅,区域地产,7.32,7.31,6.95,-2.27,0.14,0.72,6.99,0.58,"上海国企改革, 资产重组, ST股, 壳公司, "
9,300661.SZ,300661,圣邦股份,元器件,92.89,90.6,89.18,-0.96,0.37,-0.23,89.85,0.75,"社保重仓, 半导体, 国产芯片, 共享经济, "
10,300483.SZ,300483,沃施股份,专用机械,37.84,37.7,36.81,-1.2,0.13,0.22,37.09,0.76,"天然气, 资产重组, "
11,600900.SH,600900,长江电力,水力发电,16.76,16.75,16.74,0.12,0.06,0.0,16.87,0.78,"白马股, MSCI, 水电, 电改, 央企改革, "
12,600538.SH,600538,国发股份,医药商业,5.6,5.5,5.48,0.54,0.36,-0.18,5.53,0.91,"农药, 民营医院, 医药, 中药, 医疗器械, 广西, "
13,002821.SZ,002821,凯莱英,生物制药,93.11,92.78,90.31,-0.43,0.52,-0.02,91.21,1.0,"社保重仓, 医药, 创新药, "
