,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FITNESS
0,603318.SH,603318,派思股份,专用机械,19.55,591.45
1,000779.SZ,000779,三毛派神,纺织,13.0,544.8
2,603108.SH,603108,润达医疗,医药商业,13.31,530.4
3,002194.SZ,002194,*ST凡谷,通信设备,15.29,527.67
4,300738.SZ,300738,奥飞数据,电信运营,53.74,522.69
5,600421.SH,600421,ST仰帆,机械基件,14.85,504.67
6,603650.SH,603650,彤程新材,化工原料,26.88,479.2
7,002674.SZ,002674,兴业科技,纺织,15.01,433.09
8,603668.SH,603668,天马科技,饲料,10.0,411.87
9,002653.SZ,002653,海思科,化学制药,14.89,406.96
10,002892.SZ,002892,科力尔,电气设备,55.88,403.99
11,600308.SH,600308,华泰股份,造纸,5.91,396.23
12,000912.SZ,000912,*ST天化,农药化肥,7.72,370.28
13,600602.SH,600602,云赛智联,软件服务,10.58,369.19
14,603309.SH,603309,维力医疗,医疗保健,15.75,367.36
15,603717.SH,603717,天域生态,环境保护,12.05,363.02
16,000639.SZ,000639,西王食品,食品,10.42,351.78
17,300382.SZ,300382,斯莱克,专用机械,8.12,341.15
18,002665.SZ,002665,首航节能,电气设备,4.56,316.72
19,002633.SZ,002633,申科股份,机械基件,11.21,315.89
20,600872.SH,600872,中炬高新,食品,36.21,306.63
21,002372.SZ,002372,伟星新材,其他建材,21.17,299.23
22,002422.SZ,002422,科伦药业,化学制药,29.14,289.15
23,000409.SZ,000409,*ST地矿,综合类,6.36,286.92
24,002508.SZ,002508,老板电器,家用电器,34.38,285.41
25,600859.SH,600859,王府井,百货,19.69,284.51
26,600749.SH,600749,*ST藏旅,旅游景点,13.46,277.98
27,002803.SZ,002803,吉宏股份,广告包装,26.83,271.15
28,603833.SH,603833,欧派家居,家居用品,124.0,270.58
29,600202.SH,600202,哈空调,电气设备,6.73,268.33
30,002503.SZ,002503,搜于特,服饰,3.54,264.78
31,002303.SZ,002303,美盈森,造纸,6.6,264.6
32,603555.SH,603555,贵人鸟,服饰,8.1,264.56
33,600847.SH,600847,万里股份,电气设备,15.45,262.44
34,603208.SH,603208,江山欧派,家居用品,42.8,260.61
35,603818.SH,603818,曲美家居,家居用品,9.09,260.36
36,603711.SH,603711,香飘飘,软饮料,31.21,258.76
37,300651.SZ,300651,金陵体育,文教休闲,67.7,258.54
38,000910.SZ,000910,大亚圣象,家居用品,15.95,258.5
39,603898.SH,603898,好莱客,家居用品,21.83,255.68
40,300221.SZ,300221,银禧科技,塑料,9.02,253.57
41,300567.SZ,300567,精测电子,电器仪表,86.08,252.94
42,600455.SH,600455,博通股份,软件服务,31.82,251.16
