,ts_code,name,industry,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
13,002178.SZ,延华智能,建筑工程,4.68,20.22,
14,002486.SZ,嘉麟杰,服饰,4.46,20.18,
15,000678.SZ,襄阳轴承,机械基件,6.99,20.1,
16,002503.SZ,搜于特,服饰,3.91,20.05,
17,002731.SZ,萃华珠宝,服饰,8.6,20.03,
18,300273.SZ,和佳医疗,医疗保健,7.73,20.02,
19,002768.SZ,国恩股份,塑料,45.87,20.0,
20,002846.SZ,英联股份,广告包装,31.46,20.0,
21,600467.SH,好当家,渔业,2.73,19.96,
22,002696.SZ,百洋股份,渔业,7.3,19.91,"北信瑞丰基金-工商银行-富立天瑞华商投资管理有限公司-富立天瑞华商凤凰山六号私募投资基金
东海基金-工商银行-国海证券股份有限公司
中国农业银行股份有限公司-富国中证500指数增强型证券投资基金(LOF)
北信瑞丰基金-中信银行-长安国际信托股份有限公司
中融基金-平安银行-中融国际信托-中融信托-融耀定增29号单一资金信托"
23,603200.SH,上海洗霸,环境保护,55.42,19.29,
24,002952.SZ,亚世光电,元器件,27.84,19.17,
25,002495.SZ,佳隆股份,食品,3.07,18.43,
26,000021.SZ,深科技,IT设备,20.52,17.58,
27,002838.SZ,道恩股份,塑料,39.71,17.38,
28,603669.SH,灵康药业,化学制药,10.95,17.09,
29,600095.SH,哈高科,区域地产,10.03,15.68,
30,300387.SZ,富邦股份,化工原料,8.26,15.66,
31,603360.SH,百傲化学,化工原料,27.63,15.36,
32,000652.SZ,泰达股份,批发业,9.94,15.25,
33,300658.SZ,延江股份,纺织,26.58,15.15,
34,603067.SH,振华股份,化工原料,5.69,10.06,
35,002418.SZ,康盛股份,机械基件,2.41,10.05,
36,002365.SZ,永安药业,化学制药,11.96,10.03,
37,000908.SZ,景峰医药,化学制药,3.95,10.03,
38,000068.SZ,华控赛格,环境保护,3.51,10.03,
39,002860.SZ,星帅尔,电气设备,26.57,10.02,
40,300522.SZ,世名科技,染料涂料,18.33,10.02,华泰紫金(江苏)股权投资基金(有限合伙)
41,000025.SZ,特力A,汽车服务,19.98,10.02,"中信银行股份有限公司-建信中证500指数增强型证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
42,000038.SZ,深大通,广告包装,9.55,10.02,
43,002243.SZ,通产丽星,塑料,13.73,10.02,中央汇金资产管理有限责任公司
44,603079.SH,圣达生物,食品,42.31,10.01,
45,000032.SZ,深桑达A,元器件,16.6,10.01,
46,600079.SH,人福医药,化学制药,14.96,10.0,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
全国社保基金一一三组合
中央汇金资产管理有限责任公司
基本养老保险基金八零二组合"
47,600506.SH,香梨股份,种植业,9.57,10.0,
48,600981.SH,汇鸿集团,商贸代理,3.63,10.0,
49,300573.SZ,兴齐眼药,化学制药,102.63,10.0,
50,603309.SH,维力医疗,医疗保健,19.15,9.99,
51,603713.SH,密尔克卫,仓储物流,56.69,9.99,"招商银行股份有限公司-鹏华新兴产业混合型证券投资基金
鹏华基金-建设银行-中国人寿-中国人寿委托鹏华基金公司混合型组合
鹏华基金-民生银行-鹏华基金-汇利1号资产管理计划
中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金
全国社保基金四零四组合
中国工商银行-广发聚丰混合型证券投资基金"
52,002581.SZ,未名医药,生物制药,12.66,9.99,
53,601127.SH,小康股份,汽车配件,9.04,9.98,
54,600962.SH,国投中鲁,软饮料,8.05,9.97,"北京神州牧投资基金管理有限公司-红炎神州牧基金
中国工商银行股份有限公司-南方大数据100指数证券投资基金
西藏神州牧基金管理有限公司-天路一号证券投资私募基金
西藏神州牧基金管理有限公司-天路二号证券投资私募基金"
55,603676.SH,卫信康,化学制药,11.47,9.97,
56,002584.SZ,西陇科学,化工原料,7.51,9.96,
57,000702.SZ,正虹科技,饲料,5.96,9.96,芜湖长元股权投资基金(有限合伙)
58,000058.SZ,深赛格,元器件,6.96,9.95,
59,002411.SZ,延安必康,化学制药,8.73,9.95,
60,000633.SZ,合金投资,综合类,3.99,9.92,
61,000017.SZ,深中华A,文教休闲,3.89,9.89,
62,688389.SH,普门科技,医疗保健,20.95,9.51,
