,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,605499.SH,605499,东鹏饮料,软饮料,190.09,3.0,15.0,115.0,76.06,,0.0
1,605319.SH,605319,无锡振华,汽车配件,23.67,3.0,8.0,108.0,11.84,,0.0
2,688609.SH,688609,九联科技,通信设备,20.48,2.0,7.0,107.0,16.54,,0.0
3,600238.SH,600238,海南椰岛,红黄酒,30.64,2.0,7.0,107.0,136.35,,0.0
4,601156.SH,601156,N东物,空运,27.48,3.0,6.0,106.0,43.63,,0.0
5,002881.SZ,002881,美格智能,通信设备,34.93,3.0,5.0,105.0,37.55,中国工商银行股份有限公司-博时科创板三年定期开放混合型证券投资基金,1.0
6,003032.SZ,003032,传智教育,文教休闲,31.23,3.0,5.0,105.0,12.57,"中国工商银行股份有限公司-泓德远见回报混合型证券投资基金
中国银行股份有限公司-国泰融安多策略灵活配置混合型证券投资基金
招商银行股份有限公司-泓德臻远回报灵活配置混合型证券投资基金
招商银行股份有限公司-泓德卓远混合型证券投资基金",4.0
7,600905.SH,600905,三峡能源,新型电力,4.2,2.0,5.0,105.0,291.88,,0.0
8,000982.SZ,000982,中银绒业,纺织,2.17,3.0,4.0,104.0,92.48,北京中融鼎新投资管理有限公司-中融鼎新-天平1号基金,1.0
9,000004.SZ,000004,国华网安,软件服务,23.98,3.0,4.0,104.0,27.61,"北京中关村并购母基金投资管理中心(有限合伙)-北京中关村并购母基金投资中心(有限合伙)
联通创新互联成都股权投资基金合伙企业(有限合伙)
合肥中安润信基金投资合伙企业(有限合伙)",3.0
10,002892.SZ,002892,科力尔,电气设备,26.97,3.0,3.0,103.0,22.37,深圳市瀚信资产管理有限公司-瀚信6号证券投资基金,1.0
