,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT,COL_CONTINUOUS_LIMIT_COUNT,COL_MA_20_SLOPE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,605268.SH,605268,王力安防,家居用品,17.51,3.0,1.0,1.09,12.9,,0.0
1,603169.SH,603169,兰石重装,专用机械,5.52,3.0,1.0,1.12,53.21,光大兴陇信托有限责任公司,1.0
2,000928.SZ,000928,中钢国际,建筑工程,7.8,3.0,1.0,1.16,93.87,"中航证券-宁波银行-中航祥瑞集合资产管理计划
交通银行股份有限公司-广发中证基建工程指数型发起式证券投资基金
中钢资产管理有限责任公司
红土创新基金-银河证券-深圳市创新投资集团有限公司",4.0
3,000503.SZ,000503,国新健康,医疗保健,8.15,2.0,1.0,0.82,72.0,香港中央结算有限公司(陆股通),1.0
4,600640.SH,600640,号百控股,影视音像,12.03,2.0,1.0,0.27,95.01,"中国农业银行股份有限公司-华安智能生活混合型证券投资基金
中央汇金资产管理有限责任公司
中国电信集团实业资产管理有限公司
中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金",4.0
5,600052.SH,600052,浙江广厦,影视音像,3.26,2.0,1.0,0.69,28.45,,0.0
6,600117.SH,600117,西宁特钢,特种钢,4.43,2.0,1.0,0.8,44.52,,0.0
7,600228.SH,600228,昌九生化,化工原料,12.02,2.0,1.0,0.43,29.01,,0.0
8,600297.SH,600297,广汇汽车,汽车服务,2.96,2.0,1.0,0.36,240.88,"北信瑞丰基金-招商银行-华鑫国际信托-华鑫信托·慧智投资110号集合资金信托计划
泰达宏利基金-招商银行-大业信托-大业信托·增利1号集合资金信托计划
诺德基金-招商银行-华宝信托-华宝-广汇1号单一资金信托
深圳市银天使资产管理有限公司-银天使2号私募证券投资基金",4.0
9,600405.SH,600405,动力源,电气设备,6.38,2.0,1.0,0.54,34.75,,0.0
10,600576.SH,600576,祥源文化,影视音像,5.88,2.0,1.0,1.9,36.24,,0.0
11,600735.SH,600735,新华锦,商贸代理,6.19,2.0,1.0,1.16,25.61,,0.0
12,600710.SH,600710,苏美达,工程机械,6.82,2.0,1.0,0.86,91.86,"国机资产管理有限公司
江苏沿海产业投资基金(有限合伙)",2.0
13,003038.SZ,003038,鑫铂股份,铝,36.02,2.0,1.0,1.14,9.98,,0.0
14,600744.SH,600744,华银电力,火力发电,6.12,2.0,1.0,0.31,49.08,创金合信基金-招商银行-湖南轻盐创投定增资产管理计划,1.0
15,600798.SH,600798,宁波海运,水运,5.27,2.0,1.0,0.43,51.95,,0.0
16,601919.SH,601919,中远海控,水运,14.52,2.0,1.0,1.12,1252.71,香港中央结算有限公司(陆股通),1.0
17,603080.SH,603080,新疆火炬,供气供热,13.58,2.0,1.0,0.88,18.62,,0.0
18,603439.SH,603439,贵州三力,中成药,21.99,2.0,1.0,1.68,8.65,,0.0
19,300694.SZ,300694,蠡湖股份,汽车配件,10.21,2.0,1.0,0.43,13.06,,0.0
20,003037.SZ,003037,三和管桩,水泥,19.15,2.0,1.0,0.95,13.18,,0.0
21,000567.SZ,000567,海德股份,多元金融,10.13,2.0,1.0,0.66,62.63,,0.0
22,003016.SZ,003016,欣贺股份,服饰,10.79,2.0,1.0,0.9,11.38,,0.0
23,000613.SZ,000613,大东海A,旅游服务,5.65,2.0,1.0,0.6,14.79,,0.0
24,000692.SZ,000692,惠天热电,供气供热,3.32,2.0,1.0,0.64,17.85,,0.0
