code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,next_day_to_ma5,close_to_ma5,stop_mark
300104,乐视网,22.46,-29.472,12.0,0.077,5.118,★,
000550,江铃汽车,1.268,-21.77,0.48,0.013,13.675,★,
002066,瑞泰科技,0.104,-20.756,1.66,0.016,8.768,,
000816,智慧农业,3.4,-19.678,9.483,0.065,3.062,★,
600532,宏达矿业,0.666,-19.14,1.167,0.023,7.308,★,
002110,三钢闽光,0.346,-18.883,2.147,0.023,17.505,★,
600610,中毅达,18.072,-17.336,7.91,0.074,4.5,,
600160,巨化股份,1.19,-16.601,1.5,0.021,11.048,★,
002543,万和电气,0.64,-16.393,0.507,0.021,19.417,,
002202,金风科技,1.306,-15.716,0.703,0.02,16.458,,
000935,四川双马,6.187,-15.275,1.65,0.03,18.322,,
002631,德尔未来,10.382,-14.762,2.437,0.057,9.332,,
600876,洛阳玻璃,5.144,-14.67,4.593,0.045,17.595,,
600985,雷鸣科化,1.736,-14.218,1.347,0.031,12.495,,
600125,铁龙物流,0.125,-14.212,1.167,0.007,8.265,★,
600726,华电能源,2.198,-13.99,0.397,0.016,2.8,★,
601360,三六零,0.577,-13.865,5.69,0.032,42.38,,
600340,华夏幸福,0.11,-13.788,0.947,0.017,28.615,,
600348,阳泉煤业,2.812,-13.551,0.867,0.016,6.9,★,
002530,金财互联,2.533,-13.521,1.8,0.007,20.775,,
000928,中钢国际,3.837,-13.208,1.707,0.025,5.182,,
600833,第一医药,1.44,-13.132,0.95,0.025,11.588,,
002759,天际股份,13.387,-12.955,8.873,0.045,13.055,,
002651,利君股份,7.556,-12.888,3.817,0.038,6.915,,
002128,露天煤业,0.659,-12.744,1.2,0.015,9.172,★,
300134,大富科技,10.895,-12.521,2.87,0.044,13.838,,
000333,美的集团,4.53,-12.507,0.603,0.024,50.937,,
600740,山西焦化,6.645,-12.451,6.23,0.03,10.92,,
300492,山鼎设计,0.943,-12.427,5.977,0.021,26.315,,
600507,方大特钢,1.713,-12.172,2.03,0.026,13.272,★,
300174,元力股份,0.403,-12.121,0.287,0.004,27.185,★,
601012,隆基股份,9.081,-11.874,1.193,0.041,33.77,★,
600608,ST沪科,0.279,-11.778,0.157,0.014,7.278,,
002700,新疆浩源,0.361,-11.751,0.37,0.007,8.062,★,
000933,神火股份,0.979,-11.72,4.353,0.036,7.46,,
601318,中国平安,1.036,-11.709,0.577,0.011,64.272,,
002723,金莱特,0.382,-11.708,0.567,0.012,15.995,,
000628,高新发展,0.008,-11.696,1.857,0.014,8.57,,
300160,秀强股份,1.346,-11.651,0.413,0.016,6.04,★,
601666,平煤股份,1.624,-11.451,0.997,0.013,4.99,★,
300208,恒顺众昇,5.49,-11.181,2.92,0.044,11.222,★,
000407,胜利股份,2.494,-11.09,1.12,0.025,5.512,,
600868,梅雁吉祥,2.159,-10.833,1.157,0.009,4.212,,
601600,中国铝业,10.808,-10.742,4.4,0.045,4.982,★,
300502,新易盛,3.133,-10.634,12.043,0.046,23.452,,
600383,金地集团,1.622,-10.339,0.597,0.012,11.235,★,
600728,佳都科技,0.013,-10.332,3.267,0.018,9.452,,
600497,驰宏锌锗,3.134,-10.31,1.457,0.022,6.228,,
601088,中国神华,3.474,-10.274,0.137,0.022,20.398,★,
000983,西山煤电,2.533,-10.254,0.66,0.014,7.672,★,
600331,宏达股份,1.007,-10.06,0.507,0.014,4.065,★,
002194,武汉凡谷,3.747,-10.057,2.84,0.019,8.978,,
002052,同洲电子,22.978,-10.022,5.153,0.085,4.742,,
000958,东方能源,1.892,-9.813,1.787,0.016,4.248,,
601006,大秦铁路,1.642,-9.701,0.19,0.01,7.972,,
600036,招商银行,0.709,-9.682,0.183,0.008,28.22,★,
000413,东旭光电,8.026,-9.586,1.913,0.03,7.675,,
002514,宝馨科技,7.758,-9.557,3.583,0.037,6.455,★,
002306,*ST云网,0.298,-9.496,0.677,0.018,3.37,★,
000923,河北宣工,0.791,-9.49,2.693,0.017,20.62,,
601628,中国人寿,1.862,-9.368,0.047,0.006,24.42,★,
600997,开滦股份,0.002,-9.352,0.403,0.01,5.17,★,
000875,吉电股份,1.593,-9.282,0.847,0.013,3.13,,
601398,工商银行,3.426,-9.27,0.08,0.013,5.935,,
002685,华东重机,1.999,-9.16,0.687,0.015,9.055,,
600808,马钢股份,4.317,-9.15,0.967,0.018,3.57,,
002258,利尔化学,4.18,-9.13,0.867,0.014,19.002,★,
600050,中国联通,1.616,-9.073,1.063,0.033,5.262,,
600110,诺德股份,0.143,-8.994,1.587,0.013,7.642,,
002290,中科新材,4.317,-8.969,2.983,0.044,11.312,★,
000807,云铝股份,9.749,-8.775,6.23,0.045,8.515,,
000925,众合科技,7.244,-8.766,3.103,0.038,12.288,,
600218,全柴动力,3.314,-8.722,1.093,0.012,6.167,,
601939,建设银行,1.366,-8.709,1.323,0.006,7.387,★,
600690,青岛海尔,0.292,-8.66,0.67,0.012,17.072,,
600282,南钢股份,7.906,-8.66,1.86,0.026,4.595,★,
600063,皖维高新,0.002,-8.522,0.43,0.011,3.122,,
002564,天沃科技,2.035,-8.457,0.82,0.012,7.52,★,
000510,金路集团,1.298,-8.452,0.763,0.006,6.208,★,
600503,华丽家族,0.193,-8.444,0.793,0.011,5.45,★,
600231,凌钢股份,1.57,-8.367,0.927,0.016,3.91,,
000610,西安旅游,0.947,-8.355,0.5,0.005,9.658,★,
002220,天宝食品,6.105,-8.341,1.85,0.035,7.127,★,
002641,永高股份,2.626,-8.176,0.51,0.028,3.992,,
600060,海信电器,0.343,-8.167,0.413,0.007,14.983,★,
002682,龙洲股份,1.162,-8.06,1.37,0.015,9.532,★,
000062,深圳华强,5.514,-8.055,0.743,0.024,19.91,★,
