,ts_code,name,industry,biggest_jump,last_daily_p_change,circ_mv
2462,600399.SH,*ST抚钢,特种钢,-0.545,0.072,268850.2264
1141,002680.SZ,*ST长生,生物制药,-0.495,0.051,159020.5438
1217,002761.SZ,多喜爱,纺织,-0.479,0.003,357194.4922
2232,600131.SH,岷江水电,水力发电,-0.455,0.003,266201.2819
3473,603811.SH,诚意药业,化学制药,-0.447,0.009,131228.37
2185,600080.SH,金花股份,中成药,-0.44,0.015,240573.1471
2322,600235.SH,民丰特纸,造纸,-0.374,0.041,230101.5
2620,600604.SH,市北高新,园区开发,-0.367,0.053,959278.8051
1168,002708.SZ,光洋股份,汽车配件,-0.349,0.066,202519.152
2229,600128.SH,弘业股份,商贸代理,-0.334,0.04,217648.935
724,002262.SZ,恩华药业,化学制药,-0.33,0.021,825153.152
196,000622.SZ,恒立实业,汽车配件,-0.311,0.043,307013.172
223,000666.SZ,经纬纺机,纺织机械,-0.286,0.005,341068.8061
818,002356.SZ,赫美集团,其他商业,-0.279,0.013,379389.1276
3348,603555.SH,贵人鸟,服饰,-0.279,0.011,389104.7265
2692,600687.SH,刚泰控股,黄金,-0.277,0.002,499363.7556
1211,002755.SZ,东方新星,建筑施工,-0.271,0.009,231024.798
805,002343.SZ,慈文传媒,影视音像,-0.271,0.016,392124.8165
3329,603499.SH,翔港科技,广告包装,-0.271,0.056,54275.0
2187,600082.SH,海泰发展,园区开发,-0.27,0.03,301713.6482
2820,600825.SH,新华传媒,出版业,-0.268,0.062,540207.0185
1045,002584.SZ,西陇科学,化工原料,-0.267,0.008,217272.4922
2639,600624.SH,复旦复华,综合类,-0.267,0.022,408773.07
1286,002836.SZ,新宏泽,广告包装,-0.266,0.005,67923.44
1010,002549.SZ,凯美特气,环境保护,-0.263,0.048,355394.612
3454,603773.SH,沃格光电,元器件,-0.262,0.01,102376.0405
1036,002575.SZ,群兴玩具,文教休闲,-0.258,0.029,393853.68
2557,600532.SH,宏达矿业,普钢,-0.257,0.011,228617.114
8,000010.SZ,美丽生态,建筑施工,-0.256,0.02,183804.3145
2363,600283.SH,钱江水利,水务,-0.255,0.032,409828.075
353,000852.SZ,石化机械,化工机械,-0.254,0.003,462375.8944
1382,002940.SZ,昂利康,化学制药,-0.253,0.03,88470.0
1170,002711.SZ,欧浦智网,仓储物流,-0.25,0.009,450521.6336
750,002288.SZ,超华科技,元器件,-0.25,0.117,375335.9547
2168,600062.SH,华润双鹤,化学制药,-0.249,0.023,992830.0522
1030,002569.SZ,步森股份,服饰,-0.248,0.01,140046.0831
3313,603389.SH,亚振家居,家居用品,-0.245,0.097,70704.08
220,000662.SZ,天夏智慧,软件服务,-0.245,0.017,230173.5131
2499,600462.SH,九有股份,元器件,-0.244,0.034,196431.04
2221,600119.SH,长江投资,仓储物流,-0.244,0.032,247149.6
763,002301.SZ,齐心集团,文教休闲,-0.244,0.006,523251.2513
230,000673.SZ,当代东方,影视音像,-0.241,0.02,397597.2338
2500,600463.SH,空港股份,园区开发,-0.24,0.05,181440.0
2924,600986.SH,科达股份,互联网,-0.24,0.014,563428.6153
2981,601162.SH,天风证券,证券,-0.239,0.069,321160.0
640,002177.SZ,御银股份,电脑设备,-0.237,0.03,222359.184
437,000971.SZ,高升控股,互联网,-0.235,0.014,217256.6222
2781,600781.SH,辅仁药业,中成药,-0.233,0.002,231225.9089
69,000159.SZ,国际实业,石油贸易,-0.233,0.009,206408.7571
517,002054.SZ,德美化工,化工原料,-0.232,0.063,205735.4631
1116,002655.SZ,共达电声,元器件,-0.23,0.021,244080.0
799,002337.SZ,赛象科技,化工机械,-0.23,0.039,234449.5827
2451,600387.SH,海越能源,石油贸易,-0.23,0.007,320910.72
1379,002937.SZ,兴瑞科技,元器件,-0.229,0.033,98394.0
3136,603021.SH,山东华鹏,玻璃,-0.229,0.021,182402.8552
244,000691.SZ,亚太实业,区域地产,-0.228,0.035,127232.9994
926,002464.SZ,众应互联,互联网,-0.227,0.011,261951.4354
535,002072.SZ,凯瑞德,互联网,-0.226,0.011,119245.5683
2562,600538.SH,国发股份,医药商业,-0.225,0.026,200156.9107
1240,002786.SZ,银宝山新,专用机械,-0.225,0.003,86676.48
210,000638.SZ,万方发展,批发业,-0.224,0.038,185330.6
126,000532.SZ,华金资本,元器件,-0.224,0.05,376801.3403
1223,002768.SZ,国恩股份,塑料,-0.224,0.016,558240.0
1322,002875.SZ,安奈儿,服饰,-0.223,0.024,58897.8975
3072,601811.SH,新华文轩,出版业,-0.221,0.03,193917.9213
2369,600290.SH,华仪电气,电气设备,-0.221,0.006,257646.1088
497,002034.SZ,旺能环境,环境保护,-0.22,0.004,256198.3442
2687,600682.SH,南京新百,百货,-0.219,0.001,888422.1258
1367,002923.SZ,润都股份,化学制药,-0.219,0.019,71220.0
1235,002780.SZ,三夫户外,其他商业,-0.216,0.008,79247.2819
187,000610.SZ,西安旅游,旅游服务,-0.216,0.035,190068.7036
1381,002939.SZ,长城证券,证券,-0.216,0.037,319030.071
3223,603187.SH,海容冷链,机械基件,-0.216,0.018,100560.0
795,002333.SZ,罗普斯金,铝,-0.215,0.012,292921.7109
1354,002909.SZ,集泰股份,化工原料,-0.215,0.004,90079.2943
521,002058.SZ,威尔泰,电器仪表,-0.214,0.099,182609.7266
3385,603617.SH,君禾股份,专用机械,-0.214,0.013,51499.404
3165,603066.SH,音飞储存,仓储物流,-0.214,0.01,128088.3417
1374,002931.SZ,锋龙股份,汽车配件,-0.213,0.013,74059.26
971,002509.SZ,天广中茂,专用机械,-0.212,0.008,485038.7901
3325,603477.SH,振静股份,纺织,-0.212,0.025,90119.0
1335,002888.SZ,惠威科技,元器件,-0.212,0.009,67310.5488
313,000793.SZ,华闻传媒,出版业,-0.212,0.013,620285.0394
2794,600796.SH,钱江生化,农药化肥,-0.212,0.025,172100.6242
3293,603355.SH,莱克电气,家用电器,-0.211,0.005,878591.0
673,002210.SZ,飞马国际,仓储物流,-0.211,0.005,674836.0847
2283,600191.SH,华资实业,食品,-0.211,0.002,210460.488
566,002103.SZ,广博股份,文教休闲,-0.211,0.037,178175.4656
816,002354.SZ,天神娱乐,互联网,-0.21,0.013,383526.2111
2316,600229.SH,城市传媒,出版业,-0.21,0.013,493573.495
2846,600856.SH,中天能源,供气供热,-0.21,0.014,580358.3286
821,002359.SZ,北讯集团,通信设备,-0.21,0.012,603273.2663
2313,600226.SH,瀚叶股份,农药化肥,-0.21,0.02,605832.1778
2412,600339.SH,中油工程,石油加工,-0.209,0.003,597589.5549
483,002020.SZ,京新药业,化学制药,-0.209,0.008,501706.8978
576,002113.SZ,天润数娱,互联网,-0.209,0.01,337264.9983
839,002377.SZ,国创高新,石油加工,-0.208,0.005,211349.0604
482,002019.SZ,亿帆医药,化学制药,-0.208,0.006,880743.1946
164,000582.SZ,北部湾港,港口,-0.208,0.003,194486.4684
2299,600210.SH,紫江企业,广告包装,-0.207,0.035,582426.6847
2919,600981.SH,汇鸿集团,商贸代理,-0.207,0.033,300380.2464
3219,603180.SH,金牌厨柜,家居用品,-0.205,0.014,108970.2589
1078,002617.SZ,露笑科技,电气设备,-0.205,0.007,463650.2527
1216,002760.SZ,凤形股份,机械基件,-0.205,0.04,109617.7229
1307,002859.SZ,洁美科技,元器件,-0.204,0.024,334172.2015
710,002247.SZ,聚力文化,软件服务,-0.204,0.012,266066.6022
2738,600735.SH,新华锦,商贸代理,-0.203,0.042,212811.6395
214,000652.SZ,泰达股份,批发业,-0.203,0.035,480564.973
1221,002766.SZ,索菱股份,汽车配件,-0.203,0.005,147990.2191
3455,603776.SH,永安行,公共交通,-0.203,0.016,171584.8144
979,002517.SZ,恺英网络,互联网,-0.202,0.026,401522.0885
3459,603787.SH,新日股份,摩托车,-0.202,0.003,73300.26
2819,600824.SH,益民集团,百货,-0.201,0.026,373125.5838
701,002238.SZ,天威视讯,影视音像,-0.201,0.023,413626.644
606,002143.SZ,印纪传媒,影视音像,-0.199,0.022,317564.3885
2835,600843.SH,上工申贝,纺织机械,-0.199,0.016,214470.6784
888,002426.SZ,胜利精密,元器件,-0.199,0.004,520025.6136
3188,603108.SH,润达医疗,医药商业,-0.198,0.034,391885.5037
2629,600614.SH,鹏起科技,综合类,-0.198,0.009,513905.8037
212,000650.SZ,仁和药业,中成药,-0.198,0.01,740321.022
2854,600864.SH,哈投股份,证券,-0.198,0.033,730760.9344
351,000850.SZ,华茂股份,纺织,-0.197,0.018,312259.6039
934,002472.SZ,双环传动,机械基件,-0.196,0.013,339488.9515
830,002368.SZ,太极股份,软件服务,-0.195,0.034,915054.5092
2477,600422.SH,昆药集团,中成药,-0.195,0.01,470621.362
2777,600777.SH,新潮能源,综合类,-0.194,0.042,653623.1746
165,000584.SZ,哈工智能,化纤,-0.194,0.003,390625.6721
3421,603690.SH,至纯科技,专用机械,-0.194,0.002,149509.472
3401,603658.SH,安图生物,医疗保健,-0.193,0.003,687194.7474
183,000606.SZ,顺利办,互联网,-0.193,0.014,359565.9424
3286,603335.SH,迪生力,汽车配件,-0.193,0.018,94803.852
185,000608.SZ,阳光股份,区域地产,-0.193,0.07,368902.5146
585,002122.SZ,*ST天马,机械基件,-0.192,0.022,219086.3703
156,000567.SZ,海德股份,多元金融,-0.192,0.017,173063.255
2635,600620.SH,天宸股份,综合类,-0.192,0.011,381792.4748
698,002235.SZ,安妮股份,互联网,-0.192,0.025,282700.1049
173,000593.SZ,大通燃气,供气供热,-0.192,0.01,203409.0472
951,002489.SZ,浙江永强,家居用品,-0.192,0.048,527459.5959
1061,002600.SZ,领益智造,元器件,-0.192,0.024,388339.5567
2694,600689.SH,上海三毛,纺织,-0.191,0.113,171077.4567
2550,600525.SH,长园集团,电气设备,-0.191,0.009,745597.6118
697,002234.SZ,民和股份,农业综合,-0.19,0.042,222121.249
323,000806.SZ,银河生物,生物制药,-0.19,0.011,307317.2524
1265,002813.SZ,路畅科技,汽车配件,-0.19,0.003,72210.0
1080,002619.SZ,艾格拉斯,互联网,-0.189,0.044,533548.2303
920,002458.SZ,益生股份,农业综合,-0.188,0.037,273303.0141
474,002011.SZ,盾安环境,工程机械,-0.188,0.004,388585.8715
1277,002826.SZ,易明医药,中成药,-0.188,0.015,136557.6748
2310,600222.SH,太龙药业,中成药,-0.188,0.003,198407.6441
117,000521.SZ,长虹美菱,家用电器,-0.188,0.029,259220.5792
914,002452.SZ,长高集团,电气设备,-0.188,0.011,154563.6223
647,002184.SZ,海得控制,软件服务,-0.188,0.025,138041.1057
1131,002670.SZ,国盛金控,证券,-0.187,0.026,635208.0594
2266,600172.SH,黄河旋风,矿物制品,-0.187,0.009,385919.024
259,000711.SZ,京蓝科技,软件服务,-0.187,0.007,240879.1291
2739,600736.SH,苏州高新,园区开发,-0.187,0.035,645875.3208
1195,002737.SZ,葵花药业,中成药,-0.187,0.001,790671.4814
627,002164.SZ,宁波东力,电气设备,-0.187,0.025,128023.5314
226,000669.SZ,金鸿控股,供气供热,-0.186,0.005,445507.7805
1023,002562.SZ,兄弟科技,化学制药,-0.186,0.002,225052.1352
2586,600568.SH,中珠医疗,区域地产,-0.186,0.008,389672.1237
1084,002623.SZ,亚玛顿,玻璃,-0.185,0.008,256913.5363
283,000739.SZ,普洛药业,化学制药,-0.185,0.003,855530.7525
1202,002745.SZ,木林森,半导体,-0.185,0.007,633202.6173
1248,002795.SZ,永和智控,机械基件,-0.185,0.021,94477.5
269,000722.SZ,湖南发展,水力发电,-0.185,0.045,298917.9336
2531,600503.SH,华丽家族,区域地产,-0.185,0.009,515937.38
641,002178.SZ,延华智能,建筑施工,-0.184,0.013,279735.1286
774,002312.SZ,三泰控股,电脑设备,-0.184,0.01,311446.0032
1180,002722.SZ,金轮股份,纺织机械,-0.184,0.027,167489.277
3418,603686.SH,龙马环卫,专用机械,-0.184,0.006,331930.7957
2771,600770.SH,综艺股份,综合类,-0.184,0.016,651300.0
167,000586.SZ,汇源通信,通信设备,-0.184,0.003,152624.16
452,000989.SZ,九芝堂,中成药,-0.183,0.045,431080.2786
2319,600232.SH,金鹰股份,纺织,-0.183,0.014,185277.0204
518,002055.SZ,得润电子,元器件,-0.183,0.013,437814.1624
2314,600227.SH,圣济堂,农药化肥,-0.183,0.01,361166.2451
2813,600818.SH,中路股份,文教休闲,-0.182,0.028,262229.6168
1138,002677.SZ,浙江美大,家用电器,-0.182,0.005,287379.1631
3206,603157.SH,拉夏贝尔,服饰,-0.182,0.008,131368.5273
2230,600129.SH,太极集团,中成药,-0.182,0.02,386339.07
581,002118.SZ,紫鑫药业,中成药,-0.182,0.005,451101.8019
3522,603906.SH,龙蟠科技,化工原料,-0.181,0.018,87912.5645
2836,600844.SH,丹化科技,化工原料,-0.181,0.006,279728.4156
1353,002908.SZ,德生科技,元器件,-0.181,0.01,154312.1011
2475,600420.SH,现代制药,化学制药,-0.181,0.008,516769.19
2342,600259.SH,广晟有色,小金属,-0.181,0.008,593445.6705
2755,600753.SH,东方银星,批发业,-0.181,0.017,195456.0
14,000018.SZ,神州长城,装修装饰,-0.181,0.013,238940.3311
3184,603101.SH,汇嘉时代,百货,-0.179,0.008,108864.0
594,002131.SZ,利欧股份,互联网,-0.179,0.007,586246.8466
3448,603738.SH,泰晶科技,元器件,-0.179,0.003,71457.9883
636,002173.SZ,创新医疗,医疗保健,-0.178,0.001,158701.8656
2761,600759.SH,洲际油气,石油开采,-0.178,0.004,584869.6607
708,002245.SZ,澳洋顺昌,仓储物流,-0.178,0.007,375820.4258
3211,603165.SH,荣晟环保,造纸,-0.177,0.001,69100.416
1375,002932.SZ,明德生物,医疗保健,-0.177,0.007,74825.0601
957,002495.SZ,佳隆股份,食品,-0.177,0.015,225759.3619
489,002026.SZ,山东威达,机械基件,-0.176,0.025,213212.3834
3487,603839.SH,安正时尚,服饰,-0.176,0.014,115854.6136
3162,603059.SH,倍加洁,家居用品,-0.176,0.012,66600.0
672,002209.SZ,达意隆,轻工机械,-0.175,0.045,113311.4749
671,002208.SZ,合肥城建,区域地产,-0.175,0.007,320869.1117
1207,002750.SZ,龙津药业,中成药,-0.175,0.02,224070.6159
1342,002896.SZ,中大力德,机械基件,-0.174,0.01,108332.75
3302,603367.SH,辰欣药业,化学制药,-0.174,0.01,457410.882
334,000820.SZ,神雾节能,环境保护,-0.174,0.036,183525.115
3124,603008.SH,喜临门,家居用品,-0.174,0.001,300705.96
2662,600652.SH,游久游戏,互联网,-0.173,0.023,331415.9922
941,002479.SZ,富春环保,火力发电,-0.173,0.005,345890.6628
2684,600679.SH,上海凤凰,文教休闲,-0.173,0.03,253658.8417
1324,002877.SZ,智能自控,电器仪表,-0.173,0.03,77979.952
3284,603331.SH,百达精工,专用机械,-0.172,0.003,46765.551
184,000607.SZ,华媒控股,广告包装,-0.172,0.012,376065.4868
557,002094.SZ,青岛金王,日用化工,-0.172,0.004,314404.622
2408,600335.SH,国机汽车,汽车配件,-0.172,0.003,691983.1545
3467,603801.SH,志邦家居,家居用品,-0.172,0.018,210476.6901
661,002198.SZ,嘉应制药,中成药,-0.172,0.015,255928.0141
2957,601068.SH,中铝国际,建筑施工,-0.172,0.022,166595.4535
2258,600163.SH,中闽能源,新型电力,-0.172,0.006,313832.0822
1042,002581.SZ,未名医药,生物制药,-0.171,0.012,275743.3384
1312,002864.SZ,盘龙药业,中成药,-0.171,0.019,161465.738
1178,002719.SZ,麦趣尔,乳制品,-0.171,0.001,168739.2895
3417,603685.SH,晨丰科技,电气设备,-0.171,0.011,62631.4
2170,600064.SH,南京高科,园区开发,-0.171,0.068,994945.2948
208,000636.SZ,风华高科,元器件,-0.171,0.012,991885.8731
409,000931.SZ,中关村,生物制药,-0.171,0.035,501994.7425
3161,603058.SH,永吉股份,广告包装,-0.171,0.037,242434.158
2138,600020.SH,中原高速,路桥,-0.17,0.016,865238.1553
2902,600960.SH,渤海汽车,汽车配件,-0.17,0.019,258448.8536
689,002226.SZ,江南化工,化工原料,-0.169,0.019,478384.6562
995,002534.SZ,杭锅股份,专用机械,-0.169,0.009,407073.1476
3190,603111.SH,康尼机电,运输设备,-0.169,0.005,304213.899
454,000993.SZ,闽东电力,水力发电,-0.169,0.023,180159.0
3332,603505.SH,金石资源,矿物制品,-0.169,0.004,151358.7176
845,002383.SZ,合众思壮,通信设备,-0.169,0.003,580424.209
270,000723.SZ,美锦能源,焦炭加工,-0.169,0.019,355728.4361
831,002369.SZ,卓翼科技,通信设备,-0.169,0.014,305909.1109
789,002327.SZ,富安娜,纺织,-0.169,0.016,361697.053
988,002527.SZ,新时达,电器仪表,-0.168,0.007,236051.5466
1145,002684.SZ,猛狮科技,电气设备,-0.168,0.015,236782.0369
146,000555.SZ,神州信息,软件服务,-0.168,0.016,890973.3574
3339,603518.SH,维格娜丝,服饰,-0.168,0.001,213461.3656
174,000595.SZ,宝塔实业,机械基件,-0.168,0.003,216480.6991
227,000670.SZ,盈方微,元器件,-0.168,0.015,201471.1561
3153,603040.SH,新坐标,机械基件,-0.168,0.021,80959.3906
460,001696.SZ,宗申动力,摩托车,-0.168,0.005,389449.4838
2700,600695.SH,绿庭投资,多元金融,-0.168,0.04,208886.2766
2850,600860.SH,京城股份,专用机械,-0.167,0.011,152950.0
7,000009.SZ,中国宝安,综合类,-0.167,0.009,975102.9704
1079,002618.SZ,丹邦科技,元器件,-0.167,0.032,781333.92
668,002205.SZ,国统股份,其他建材,-0.167,0.012,141589.3099
416,000939.SZ,*ST凯迪,新型电力,-0.167,0.017,364536.8491
859,002397.SZ,梦洁股份,纺织,-0.167,0.005,183018.6978
2795,600797.SH,浙大网新,软件服务,-0.167,0.008,705835.833
2607,600590.SH,泰豪科技,电气设备,-0.167,0.011,449831.7023
310,000790.SZ,泰合健康,中成药,-0.167,0.007,236783.5429
808,002346.SZ,柘中股份,电气设备,-0.167,0.003,509968.5721
2887,600898.SH,国美通讯,通信设备,-0.167,0.007,208332.1515
634,002171.SZ,楚江新材,铜,-0.166,0.01,499368.4404
987,002526.SZ,山东矿机,工程机械,-0.166,0.005,295971.9425
2432,600366.SH,宁波韵升,电器仪表,-0.166,0.024,512874.3556
1130,002669.SZ,康达新材,化工原料,-0.166,0.016,268530.055
3388,603626.SH,科森科技,专用机械,-0.166,0.005,125062.425
