,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600187.SH,600187,国中水务,水务,2.65,0.0,1.0,43.83,"上海方圆达创投资合伙企业(有限合伙)-方圆-东方11号私募投资基金
中央汇金资产管理有限责任公司",2.0
1,002610.SZ,002610,爱康科技,电气设备,2.66,2.0,2.0,116.68,中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金,1.0
2,600331.SH,600331,宏达股份,铅锌,2.8,2.0,2.0,56.9,,0.0
3,300185.SZ,300185,通裕重工,工程机械,2.97,0.0,1.0,86.67,中央汇金资产管理有限责任公司,1.0
4,002172.SZ,002172,澳洋健康,化纤,3.21,0.0,1.0,24.8,,0.0
5,601016.SH,601016,节能风电,新型电力,3.39,0.0,2.0,140.87,"华安基金-兴业银行-广西铁路发展投资基金(有限合伙)
华宝信托有限责任公司
香港中央结算有限公司(陆股通)
全国社会保障基金理事会转持二户
全国社会保障基金理事会
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",6.0
6,000573.SZ,000573,粤宏远A,区域地产,3.42,0.0,1.0,21.64,中国建设银行股份有限公司-长城量化小盘股票型证券投资基金,1.0
7,600077.SH,600077,宋都股份,全国地产,3.51,1.0,1.0,47.04,云南国际信托有限公司-苍穹1号单一资金信托,1.0
8,000791.SZ,000791,甘肃电投,水力发电,3.78,1.0,1.0,51.39,,0.0
9,000521.SZ,000521,长虹美菱,家用电器,3.84,1.0,1.0,33.51,"中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
财通基金-宁波银行-海通兴泰(安徽)新兴产业投资基金(有限合伙)
华泰证券股份有限公司-中庚价值领航混合型证券投资基金",3.0
10,601619.SH,601619,嘉泽新能,新型电力,3.87,0.0,2.0,74.81,"领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",3.0
11,002676.SZ,002676,顺威股份,塑料,3.92,3.0,1.0,28.22,"深圳市皓景资产管理有限公司
诺安基金-工商银行-诺安金狮66号资产管理计划
上海浦东发展银行股份有限公司-国泰中证全指家用电器交易型开放式指数证券投资基金
西部利得基金-建设银行-西部利得增盈1号资产管理计划",4.0
12,002285.SZ,002285,世联行,房产服务,4.03,2.0,2.0,81.19,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",3.0
13,600063.SH,600063,皖维高新,化纤,4.08,0.0,1.0,78.58,"易方达基金-工商银行-易方达基金臻选2号资产管理计划
基本养老保险基金九零二组合
全国社保基金四一二组合
安徽中安资本管理有限公司-中安定增利1号私募投资基金
中国农业银行股份有限公司-富国中证500指数增强型证券投资基金(LOF)",5.0
