,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300916.SZ,300916,N朗特,元器件,164.85,1.0,19.0,17.56,,0.0
1,688557.SH,688557,N兰剑,专用机械,65.75,1.0,14.0,10.87,,0.0
2,300915.SZ,300915,N海融,食品,143.5,1.0,10.0,21.52,,0.0
3,003004.SZ,003004,声迅股份,软件服务,42.71,3.0,8.0,8.74,,0.0
4,600121.SH,600121,郑州煤电,煤炭开采,4.51,3.0,8.0,54.95,中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金,1.0
5,688578.SH,688578,N艾力斯-U,化学制药,38.55,1.0,7.0,26.39,,0.0
6,600707.SH,600707,彩虹股份,元器件,7.82,3.0,6.0,193.54,"合肥芯屏产业投资基金(有限合伙)
北信瑞丰基金-浦发银行-北京国际信托-北京信托·轻盐丰收理财2015015号集合资金信托计划",2.0
7,002510.SZ,002510,天汽模,汽车配件,6.93,3.0,5.0,52.81,"中央汇金资产管理有限责任公司
招商证券股份有限公司-平安中证新能源汽车产业交易型开放式指数证券投资基金",2.0
8,605266.SH,605266,健之佳,医药商业,115.46,2.0,5.0,15.3,,0.0
9,002670.SZ,002670,国盛金控,证券,14.98,2.0,4.0,243.11,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,1.0
10,000798.SZ,000798,中水渔业,渔业,8.92,3.0,4.0,28.49,,0.0
11,300892.SZ,300892,品渥食品,乳制品,78.59,2.0,3.0,18.63,"萍乡皓熙汇达新能源产业投资基金(有限合伙)
嘉实基金-国新投资有限公司-嘉实基金-国新2号单一资产管理计划
上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金",3.0
12,600191.SH,600191,华资实业,食品,6.88,3.0,3.0,33.36,,0.0
13,600844.SH,600844,丹化科技,化工原料,3.85,3.0,3.0,31.68,财通基金-工商银行-富春定增1021号资产管理计划,1.0
14,601187.SH,601187,厦门银行,银行,14.15,2.0,3.0,37.34,,0.0
15,002765.SZ,002765,蓝黛科技,汽车配件,6.67,3.0,3.0,18.38,,0.0
16,300727.SZ,300727,润禾材料,化工原料,43.67,2.0,3.0,49.19,北京泰德圣投资有限公司-泰德圣-价值1期私募证券投资基金,1.0
17,002996.SZ,002996,顺博合金,铝,17.95,3.0,3.0,9.51,,0.0
18,300221.SZ,300221,银禧科技,塑料,8.26,1.0,2.0,34.69,,0.0
19,002652.SZ,002652,扬子新材,其他建材,4.32,2.0,2.0,19.34,,0.0
20,002948.SZ,002948,青岛银行,银行,6.55,2.0,2.0,39.63,"香港中央结算有限公司(陆股通)
中国工商银行-南方宝元债券型基金",2.0
21,600552.SH,600552,凯盛科技,玻璃,7.74,2.0,2.0,59.12,,0.0
22,300542.SZ,300542,新晨科技,软件服务,19.06,1.0,2.0,37.37,上海呈瑞投资管理有限公司-呈瑞和兴12号私募证券投资基金,1.0
23,300549.SZ,300549,优德精密,专用机械,32.35,1.0,2.0,32.21,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
24,600213.SH,600213,亚星客车,汽车整车,9.56,2.0,2.0,21.03,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
25,300752.SZ,300752,隆利科技,元器件,34.43,1.0,2.0,11.38,,0.0
26,002618.SZ,002618,丹邦科技,元器件,7.6,2.0,2.0,41.64,香港中央结算有限公司(陆股通),1.0
27,601127.SH,601127,小康股份,汽车配件,22.99,2.0,2.0,214.59,"小康控股-红塔证券-20康EB02担保及信托财产专户
华鑫国际信托有限公司-华鑫信托·396号证券投资集合资金信托计划
小康控股-红塔证券-19小康EB担保及信托财产专户
重庆两江股权投资基金管理有限公司-重庆两江新区战略性新兴产业股权投资基金合伙企业(有限合伙)",4.0
28,300717.SZ,300717,华信新材,塑料,24.91,1.0,2.0,25.28,"中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0
29,300720.SZ,300720,海川智能,电器仪表,30.82,1.0,2.0,17.45,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
30,000157.SZ,000157,中联重科,工程机械,10.36,2.0,2.0,668.48,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中航信托股份有限公司-中航信托·天顺【2018】220号中联单一资金信托",3.0
31,002196.SZ,002196,方正电机,纺织机械,8.07,2.0,2.0,33.44,"上海长风汇信股权投资基金管理有限公司-上海长风汇信股权投资中心(有限合伙)
红塔资产-浙商银行-红塔资产鑫瑞1号资产管理计划",2.0
32,002429.SZ,002429,兆驰股份,家用电器,6.46,1.0,1.0,290.46,"香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金",2.0
33,000609.SZ,000609,中迪投资,区域地产,5.6,1.0,1.0,16.35,,0.0
