,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
1382,002941.SZ,新疆交建,建筑施工,6.0,9.0,7.647,10.0054,263705.0
173,000595.SZ,宝塔实业,机械基件,5.0,9.0,6.693,10.0503,330378.2097
3240,603220.SH,贝通信,通信设备,3.0,3.0,10.016,10.0078,236685.32
1686,300304.SZ,云意电气,汽车配件,2.0,7.0,3.915,9.901,375610.5619
2713,600710.SH,苏美达,工程机械,2.0,6.0,4.13,10.0233,302214.048
1701,300319.SZ,麦捷科技,元器件,2.0,2.0,10.001,9.9853,478143.6315
2121,300753.SZ,爱朋医疗,医疗保健,2.0,5.0,5.192,10.0047,95505.6
1494,300111.SZ,向日葵,半导体,2.0,7.0,4.083,10.084,292716.7739
1463,300080.SZ,易成新能,半导体,2.0,6.0,4.606,10.0209,264546.9487
1402,300018.SZ,中元股份,电气设备,2.0,3.0,6.759,10.0365,219951.3931
1318,002871.SZ,伟隆股份,机械基件,2.0,3.0,7.151,10.0048,66094.3
2309,600220.SH,江苏阳光,纺织,2.0,7.0,3.545,10.0,470801.8461
1190,002733.SZ,雄韬股份,电气设备,2.0,10.0,4.488,10.0366,491511.9236
580,002118.SZ,紫鑫药业,中成药,2.0,7.0,3.815,10.0604,560801.5583
3393,603628.SH,清源股份,电气设备,2.0,2.0,9.985,10.0244,79920.0
3047,601619.SH,嘉泽新能,新型电力,2.0,2.0,10.019,10.0823,269508.7581
2896,600929.SH,湖南盐业,食品,1.0,1.0,10.024,10.0244,135000.0
2067,300694.SZ,蠡湖股份,汽车配件,1.0,1.0,10.01,10.0101,117134.08
3394,603629.SH,利通电子,元器件,1.0,1.0,10.0,10.0,101750.0
2114,300746.SZ,汉嘉设计,建筑施工,1.0,1.0,10.02,10.0197,117245.4
2116,300748.SZ,金力永磁,元器件,1.0,2.0,6.793,10.0162,112860.8
2117,300749.SZ,顶固集创,家居用品,1.0,1.0,10.004,10.0043,73330.5
3245,603227.SH,雪峰科技,化工原料,1.0,6.0,3.311,10.0251,289169.3
2122,300756.SZ,中山金马,专用机械,1.0,1.0,9.999,9.9989,97470.0
2208,600105.SH,永鼎股份,通信设备,1.0,3.0,6.086,10.0213,638949.8071
2957,601068.SH,中铝国际,建筑施工,1.0,1.0,10.071,10.0707,184349.8535
3199,603126.SH,中材节能,环境保护,1.0,2.0,5.066,9.9437,357753.0
2285,600192.SH,长城电工,电气设备,1.0,3.0,5.013,9.9593,238985.668
3041,601606.SH,长城军工,专用机械,1.0,2.0,5.19,10.0074,219632.0
3023,601388.SH,怡球资源,铝,1.0,2.0,4.975,9.9502,447613.4
2405,600331.SH,宏达股份,铅锌,1.0,1.0,9.901,9.901,451104.0
2009,300635.SZ,达安股份,建筑施工,1.0,2.0,6.388,10.0,83679.8886
2509,600478.SH,科力远,元器件,1.0,2.0,5.684,9.9291,683404.3062
2611,600595.SH,中孚实业,铝,1.0,1.0,10.096,10.0962,398812.7523
2047,300674.SZ,宇信科技,软件服务,1.0,6.0,4.59,10.0035,124511.12
8,000010.SZ,美丽生态,建筑施工,1.0,3.0,3.63,10.0,195292.0842
1975,300600.SZ,瑞特股份,电气设备,1.0,7.0,4.049,10.0209,139212.32
1916,300537.SZ,广信材料,染料涂料,1.0,6.0,2.955,10.0,97361.4409
128,000536.SZ,华映科技,元器件,1.0,1.0,9.896,9.8958,422705.4918
389,000909.SZ,数源科技,综合类,1.0,3.0,3.649,9.9432,240715.5681
423,000957.SZ,中通客车,汽车整车,1.0,1.0,9.937,9.9366,308304.2061
610,002148.SZ,北纬科技,互联网,1.0,1.0,10.047,10.0471,310493.8571
654,002192.SZ,融捷股份,专用机械,1.0,1.0,10.012,10.0116,447914.3962
711,002249.SZ,大洋电机,电气设备,1.0,7.0,3.151,10.0817,551658.2715
735,002274.SZ,华昌化工,农药化肥,1.0,7.0,3.156,10.0885,388956.9724
745,002284.SZ,亚太股份,汽车配件,1.0,1.0,10.022,10.0223,338883.8701
908,002447.SZ,晨鑫科技,互联网,1.0,1.0,10.135,10.1351,432747.9828
938,002477.SZ,雏鹰农牧,农业综合,1.0,2.0,5.281,9.9379,348809.7586
1050,002590.SZ,万安科技,汽车配件,1.0,1.0,10.0,10.0,320208.7
1099,002639.SZ,雪人股份,专用机械,1.0,2.0,6.698,10.0511,333468.4203
1129,002669.SZ,康达新材,化工原料,1.0,1.0,10.0,10.0,263959.3306
1220,002766.SZ,索菱股份,汽车配件,1.0,1.0,9.948,9.9476,156959.3233
1243,002790.SZ,瑞尔特,家居用品,1.0,1.0,9.961,9.9613,72768.0
1369,002927.SZ,泰永长征,电气设备,1.0,2.0,5.845,9.9918,122488.73
1429,300045.SZ,华力创通,电脑设备,1.0,1.0,10.025,10.0248,326386.1407
1479,300096.SZ,易联众,软件服务,1.0,2.0,6.549,10.0239,347153.3568
1499,300116.SZ,坚瑞沃能,电气设备,1.0,1.0,10.0,10.0,199294.9415
1591,300209.SZ,天泽信息,软件服务,1.0,1.0,9.992,9.9915,339723.6116
1641,300259.SZ,新天科技,电器仪表,1.0,1.0,9.868,9.8684,241942.4277
14,000018.SZ,神州长城,装修装饰,1.0,3.0,3.494,10.0437,250887.3477
1735,300353.SZ,东土科技,通信设备,1.0,1.0,10.054,10.0535,361275.052
3439,603713.SH,密尔克卫,仓储物流,1.0,3.0,5.125,10.0067,125300.44
