,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300883.SZ,300883,N龙利得,造纸,22.47,1.0,1.0,39.0,18.43,,0.0
1,300882.SZ,300882,N万胜,电器仪表,37.83,1.0,1.0,27.0,14.11,,0.0
2,300313.SZ,300313,天山生物,农业综合,34.66,11.0,2.0,19.0,63.83,"北京泽盈投资有限公司-泽盈顺势3号私募证券投资基金
北京泽盈投资有限公司-泽盈顺势8号私募证券投资基金",2.0
3,300885.SZ,300885,N海昌,机械基件,52.38,1.0,1.0,17.0,10.48,,0.0
4,688559.SH,688559,海目星,专用机械,24.0,1.0,1.0,12.0,10.92,,0.0
5,300301.SZ,300301,长方集团,半导体,8.3,6.0,3.0,10.0,51.78,,0.0
6,605006.SH,605006,山东玻纤,玻璃,8.91,6.0,3.0,9.0,8.91,,0.0
7,002997.SZ,002997,瑞鹄模具,汽车配件,28.95,6.0,3.0,9.0,13.29,,0.0
8,002999.SZ,002999,天禾股份,批发业,15.35,6.0,3.0,9.0,9.53,,0.0
9,601702.SH,601702,华峰铝业,铝,7.06,4.0,3.0,7.0,17.62,,0.0
10,300064.SZ,300064,豫金刚石,矿物制品,6.64,4.0,3.0,6.0,42.41,,0.0
11,300185.SZ,300185,通裕重工,工程机械,4.83,6.0,2.0,5.0,145.02,中央汇金资产管理有限责任公司,1.0
12,300239.SZ,300239,东宝生物,生物制药,7.7,2.0,2.0,4.0,38.88,"中央汇金资产管理有限责任公司
内蒙古金融资产管理有限公司
中科先行(北京)资产管理有限公司
中国华融资产管理股份有限公司",4.0
13,002617.SZ,002617,露笑科技,电气设备,8.59,5.0,2.0,4.0,102.65,中央汇金资产管理有限责任公司,1.0
14,300399.SZ,300399,京天利,互联网,25.55,3.0,2.0,3.0,38.31,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
15,688551.SH,688551,N科威尔,专用机械,50.5,1.0,1.0,3.0,9.19,,0.0
16,000633.SZ,000633,合金投资,综合类,5.42,3.0,2.0,3.0,20.87,华润深国投信托有限公司-华润信托·泽乾一号集合资金信托计划,1.0
17,300540.SZ,300540,深冷股份,专用机械,17.81,1.0,1.0,2.0,15.44,,0.0
18,600291.SH,600291,西水股份,保险,6.88,2.0,2.0,2.0,75.2,雪松国际信托股份有限公司,1.0
19,600121.SH,600121,郑州煤电,煤炭开采,2.19,2.0,2.0,2.0,26.68,中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金,1.0
20,300478.SZ,300478,杭州高新,橡胶,13.44,1.0,1.0,2.0,16.29,中央汇金资产管理有限责任公司,1.0
21,300475.SZ,300475,聚隆科技,专用机械,12.33,2.0,1.0,2.0,33.41,"深圳市领信基石股权投资基金管理合伙企业(有限合伙)-深圳市领泰基石投资合伙企业(有限合伙)
深圳市领信基石股权投资基金管理合伙企业(有限合伙)-深圳市领驰基石股权投资基金合伙企业(有限合伙)
深圳市领信基石股权投资基金管理合伙企业(有限合伙)-深圳市领汇基石股权投资基金合伙企业(有限合伙)
芜湖弘唯基石投资基金管理合伙企业(有限合伙)-弘唯基石华盈私募投资基金",4.0
22,300179.SZ,300179,四方达,矿物制品,7.31,2.0,1.0,2.0,24.78,"中央汇金资产管理有限责任公司
交通银行股份有限公司-长信量化先锋混合型证券投资基金
基本养老保险基金九零三组合",3.0
23,300658.SZ,300658,延江股份,纺织,36.13,1.0,1.0,2.0,32.17,,0.0
