,ts_code,symbol,name,industry,COL_CONTINUOUS_POSITIVE_COUNT,COL_ALL_POSITIVE,COL_CONTINUOUS_POSITIVE_AVERAGE_CHG,COL_MAX_RETRACEMENT,COL_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300910.SZ,300910,瑞丰新材,化工原料,1.0,True,246.96,4.64,240.9931463039947,25.04,,0.0
1,605358.SH,605358,立昂微,半导体,3.0,True,188.85,12.4,178.50885568371737,53.97,"方正证券-方正中期量化强势进取FOF1号集合资产管理计划-方正证券量化强势进取10号单一资产管理计划
福建平潭唐龙资产管理有限公司-唐龙量化阿尔法3号私募证券投资基金",2.0
2,605007.SH,605007,五洲特纸,造纸,1.0,True,167.59,4.63,162.96433476318225,12.25,,0.0
3,605111.SH,605111,新洁能,半导体,3.0,True,132.98,7.32,126.95580037428435,53.32,上海量宇资产管理有限公司-冠一一号私募基金,1.0
4,601995.SH,601995,中金公司,证券,1.0,True,126.51,5.86,120.64865041156234,164.89,,0.0
5,689009.SH,689009,九号公司-UWD,专用机械,2.0,True,100.61,19.28,85.74371008439375,41.51,,0.0
6,003004.SZ,003004,声迅股份,软件服务,1.0,True,74.23,0.0,74.23494570582425,7.53,,0.0
7,605177.SH,605177,东亚药业,化学制药,1.0,True,67.01,9.19,57.821542846802465,11.39,,0.0
8,605068.SH,605068,明新旭腾,汽车配件,1.0,True,68.84,17.78,51.05843589326328,14.01,,0.0
9,601168.SH,601168,西部矿业,铜,3.0,False,22.24,12.5,50.758341759352874,324.56,"中国对外经济贸易信托有限公司-外贸信托-高毅晓峰鸿远集合资金信托计划
海通资管-民生-海通海汇系列-星石1号集合资产管理计划
上海高毅资产管理合伙企业(有限合伙)-高毅-晓峰1号睿远证券投资基金
中央汇金资产管理有限责任公司
上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金",5.0
10,000301.SZ,000301,东方盛虹,化纤,8.0,False,11.15,13.46,49.895169653722604,130.87,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
国开发展基金有限公司
陕西省国际信托股份有限公司-陕国投·东方盛虹第一期2号员工持股集合资金信托计划
陕西省国际信托股份有限公司-陕国投·东方盛虹控股股东及其关联企业第一期员工持股集合资金信托计划
上海迎水投资管理有限公司-迎水征东2号私募证券投资基金
陕西省国际信托股份有限公司-陕国投·东方盛虹第一期员工持股集合资金信托计划
香港中央结算有限公司(陆股通)",7.0
11,000995.SZ,000995,皇台酒业,白酒,3.0,False,29.19,15.11,49.63137472283812,64.58,甘肃西部资产管理股份有限公司,1.0
12,002096.SZ,002096,南岭民爆,化工原料,7.0,False,15.93,15.23,45.09439707725913,39.83,中央汇金资产管理有限责任公司,1.0
13,601187.SH,601187,厦门银行,银行,2.0,True,33.51,16.67,44.09936543708975,32.91,,0.0
14,002245.SZ,002245,蔚蓝锂芯,仓储物流,7.0,False,16.76,9.13,43.04143958364017,94.86,,0.0
15,300999.SZ,300999,金龙鱼,食品,2.0,True,65.33,21.85,42.24118708718619,297.13,,0.0
16,003019.SZ,003019,宸展光电,元器件,1.0,True,58.61,17.27,41.334051497309986,10.46,,0.0
17,003018.SZ,003018,金富科技,塑料,1.0,True,63.72,29.44,34.27765071102136,8.39,,0.0
18,003002.SZ,003002,壶化股份,化工原料,3.0,True,33.0,17.4,29.92736473187987,7.45,"上海明汯投资管理有限公司-明汯中性添利13号私募证券投资基金
上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金",2.0
19,300769.SZ,300769,德方纳米,化工原料,3.0,False,24.07,21.55,26.37916216665258,76.31,"中国工商银行股份有限公司-嘉实智能汽车股票型证券投资基金
中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金",2.0
20,601919.SH,601919,中远海控,水运,6.0,False,21.9,9.49,22.997162484089472,871.79,香港中央结算有限公司(陆股通),1.0
21,000625.SZ,000625,长安汽车,汽车整车,7.0,False,15.75,18.6,20.51353943347851,925.23,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",2.0
22,003017.SZ,003017,大洋生物,化工原料,2.0,True,35.64,16.87,20.370988389033588,8.54,,0.0
23,601633.SH,601633,长城汽车,汽车整车,5.0,False,31.22,11.37,19.47969145751041,1746.23,"交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
全国社保基金一零三组合
中国银行股份有限公司-嘉实3年封闭运作战略配售灵活配置混合型证券投资基金(LOF)
中国工商银行股份有限公司-万家自主创新混合型证券投资基金
中央汇金资产管理有限责任公司
保定创新长城资产管理有限公司
中国银行股份有限公司-富国创新趋势股票型证券投资基金
香港中央结算有限公司(陆股通)",8.0
24,601100.SH,601100,恒立液压,工程机械,16.0,False,9.97,18.51,17.506214941772413,1300.92,"招商银行股份有限公司-泓德睿泽混合型证券投资基金
全国社保基金四零六组合
中国工商银行股份有限公司-融通中国风1号灵活配置混合型证券投资基金
交通银行-融通行业景气证券投资基金
全国社保基金一零一组合
香港中央结算有限公司(陆股通)",6.0
25,002709.SZ,002709,天赐材料,化工原料,8.0,False,19.6,14.49,16.803734992745596,366.37,"中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
中央汇金资产管理有限责任公司
全国社保基金一零八组合",5.0
26,300274.SZ,300274,阳光电源,电气设备,8.0,False,23.31,13.56,15.460621564965146,665.48,"挪威中央银行-自有资金
上海浦东发展银行股份有限公司-易方达裕祥回报债券型证券投资基金
上海浦东发展银行股份有限公司-广发高端制造股票型发起式证券投资基金
交通银行股份有限公司-工银瑞信互联网加股票型证券投资基金
中央汇金资产管理有限责任公司
全国社保基金四一三组合
香港中央结算有限公司(陆股通)",7.0
27,300713.SZ,300713,英可瑞,电气设备,5.0,False,22.16,29.91,13.65909604080669,21.28,"中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0
28,603223.SH,603223,恒通股份,供气供热,10.0,False,14.11,19.61,13.362330198777533,59.38,"深圳能敬投资控股有限公司-能敬安颐二号私募证券投资基金
山东一圈一带产业投资基金有限公司-山高-圈带私募基金",2.0
29,605099.SH,605099,共创草坪,文教休闲,3.0,True,27.58,18.09,10.397985321706448,11.33,,0.0
30,605128.SH,605128,上海沿浦,汽车配件,3.0,True,9.96,24.26,8.865264642940463,5.81,,0.0
31,601908.SH,601908,京运通,新型电力,8.0,False,9.89,16.18,8.251826759413794,161.43,"上海甄投资产管理有限公司-甄投创鑫28号私募证券投资基金
中央汇金资产管理有限责任公司
安徽中安资本投资基金有限公司
安徽省铁路发展基金股份有限公司",4.0
32,300124.SZ,300124,汇川技术,电器仪表,8.0,False,15.01,11.37,5.896442101061555,1240.36,"招商银行股份有限公司-泓德丰润三年持有期混合型证券投资基金
中央汇金资产管理有限责任公司
交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)",4.0
33,003012.SZ,003012,东鹏控股,陶瓷,2.0,True,19.71,22.09,5.242613667920826,20.88,,0.0
34,300708.SZ,300708,聚灿光电,半导体,8.0,False,14.91,38.99,4.5391250304450566,52.22,,0.0
35,300825.SZ,300825,阿尔特,汽车服务,9.0,True,21.04,24.98,4.388446793744382,21.59,"招商银行股份有限公司-东方阿尔法精选灵活配置混合型发起式证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
招商银行股份有限公司-东方阿尔法优选混合型发起式证券投资基金",3.0
36,605336.SH,605336,帅丰电器,家用电器,2.0,True,17.95,22.38,3.6947025688815245,10.84,,0.0
37,002027.SZ,002027,分众传媒,影视音像,8.0,False,10.52,12.9,0.0,1510.35,"中国工商银行股份有限公司-富国创新科技混合型证券投资基金
招商银行股份有限公司-鹏华新兴产业混合型证券投资基金
全国社保基金四一六组合
中金公司-阿里网络-祥瑞1号定向资产管理计划
香港中央结算有限公司(陆股通)",5.0
38,002594.SZ,002594,比亚迪,汽车整车,3.0,False,27.32,13.43,0.0,2016.37,"建信基金-农业银行-华鑫信托-华鑫信托·华融金融小镇-九智1号集合资金信托计划
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",3.0
39,605003.SH,605003,众望布艺,纺织,3.0,True,8.91,9.12,0.0,6.86,"中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金
中国工商银行股份有限公司-交银施罗德趋势优先混合型证券投资基金
招商银行股份有限公司-交银施罗德创新领航混合型证券投资基金",3.0
40,603896.SH,603896,寿仙谷,中成药,7.0,False,8.82,9.41,0.0,63.81,"嘉兴银宏兆泉资产管理有限公司-银宏天盈1号私募证券投资基金
浙江晖鸿投资管理有限公司-晖鸿掘金10号私募证券投资基金",2.0
41,605198.SH,605198,德利股份,软饮料,3.0,True,74.39,12.76,0.0,5.02,上海量宇资产管理有限公司-量宇红番茄二号私募证券投资基金,1.0
42,603678.SH,603678,火炬电子,元器件,8.0,False,10.88,14.56,0.0,245.98,"中国工商银行股份有限公司-富国军工主题混合型证券投资基金
光大永明资管-兴业银行-光大永明资产聚财121号定向资产管理产品
中国银行股份有限公司-海富通股票混合型证券投资基金
广发证券股份有限公司-中庚小盘价值股票型证券投资基金
中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金
全国社保基金四一三组合
香港中央结算有限公司(陆股通)",7.0
