code,name,pe,past_p_change,past_average_turnover,stop_mark
002188,ST巴士,15.67,-45.061,4.25,
002729,好利来,89.97,-34.98,12.677,
002069,獐子岛,31.52,-34.055,2.803,
300157,恒泰艾普,48.0,-29.164,5.223,
300566,激智科技,61.97,-28.394,4.297,
601600,中国铝业,44.2,-28.225,2.697,
002054,德美化工,69.72,-25.264,10.393,
002508,老板电器,29.44,-23.781,1.82,
600188,兖州煤业,11.54,-23.406,1.227,
600048,保利地产,15.67,-22.319,1.1,
600383,金地集团,18.33,-21.678,0.727,
002517,恺英网络,21.56,-21.362,7.663,
601636,旗滨集团,16.22,-20.556,2.633,
601225,陕西煤业,7.74,-20.405,0.6,
600804,鹏博士,24.42,-20.306,1.793,
002146,荣盛发展,12.75,-19.668,2.19,
001979,招商蛇口,35.14,-19.514,2.353,
600782,新钢股份,12.02,-19.148,2.477,
600340,华夏幸福,12.85,-19.082,1.183,
002606,大连电瓷,46.29,-18.797,10.907,
000830,鲁西化工,20.73,-18.775,5.917,
601666,平煤股份,10.68,-18.361,1.373,
000983,西山煤电,15.99,-18.292,0.907,
601699,潞安环能,13.65,-18.113,2.183,
300042,朗科科技,70.52,-18.057,0.873,
600019,宝钢股份,13.18,-17.815,0.59,
002684,猛狮科技,66.06,-17.636,1.84,
000001,平安银行,8.09,-17.317,0.573,
002086,东方海洋,48.3,-17.234,2.72,
601001,大同煤业,11.64,-17.133,0.693,
000929,兰州黄河,58.37,-16.544,1.74,
600074,ST保千里,10.24,-16.483,3.91,
002128,露天煤业,10.69,-16.448,1.187,
000898,鞍钢股份,11.0,-16.329,0.843,
601939,建设银行,7.59,-16.28,1.56,
601155,新城控股,29.71,-16.144,3.417,
000060,中金岭南,20.99,-16.118,1.657,
600362,江西铜业,30.46,-15.893,2.083,
002132,恒星科技,38.41,-15.336,1.03,
300143,星普医科,42.7,-14.974,2.333,
000069,华侨城Ａ,11.35,-14.973,1.02,
300435,中泰股份,45.48,-14.584,1.9,
300256,星星科技,55.96,-14.509,2.513,
600497,驰宏锌锗,30.46,-14.458,0.973,
000688,建新矿业,23.29,-14.458,0.573,
600569,安阳钢铁,8.92,-14.051,1.84,
601336,新华保险,24.88,-14.027,0.513,
002251,步 步 高,55.78,-14.024,1.447,
002673,西部证券,38.84,-13.664,0.767,
600808,马钢股份,8.62,-13.61,0.797,
600606,绿地控股,10.72,-13.435,3.183,
600971,恒源煤电,8.09,-13.276,1.32,
002865,钧达股份,43.39,-13.144,11.533,
601009,南京银行,7.62,-13.045,0.603,
601003,柳钢股份,11.01,-12.886,0.873,
601101,昊华能源,11.2,-12.792,0.907,
002110,三钢闽光,8.9,-12.672,2.21,
000036,华联控股,7.21,-12.26,1.29,
600395,盘江股份,13.06,-12.075,0.563,
000671,阳 光 城,41.68,-12.026,1.567,
600325,华发股份,15.1,-11.685,2.003,
600282,南钢股份,7.09,-11.646,2.41,
600585,海螺水泥,13.16,-11.628,0.933,
600829,人民同泰,25.69,-11.614,0.84,
000717,韶钢松山,7.1,-11.506,1.643,
600985,雷鸣科化,39.51,-11.451,2.483,
600970,中材国际,18.34,-11.376,1.48,
002092,中泰化学,11.63,-11.369,1.227,
000878,云南铜业,59.78,-11.347,1.133,
601015,陕西黑猫,47.39,-11.208,0.873,
600030,中信证券,22.13,-11.092,1.49,
600801,华新水泥,15.11,-10.731,1.707,
002081,金 螳 螂,19.04,-10.493,0.65,
600997,开滦股份,21.9,-10.356,0.78,
000638,万方发展,88.84,-10.328,3.017,
601899,紫金矿业,37.52,-10.312,2.93,
600123,兰花科创,9.9,-10.224,1.05,
600708,光明地产,15.48,-10.138,1.113,
002596,海南瑞泽,83.72,-10.037,2.257,
600231,凌钢股份,8.8,-9.939,1.123,
600115,东方航空,10.54,-9.929,0.7,
002669,康达新材,79.88,-9.865,0.603,
600875,东方电气,40.33,-9.823,0.637,
000426,兴业矿业,37.87,-9.619,1.907,
002500,山西证券,45.48,-9.57,1.203,
000761,本钢板材,11.17,-9.386,0.537,
300072,三聚环保,23.27,-9.361,1.013,
600126,杭钢股份,10.98,-9.282,0.51,
600664,哈药股份,33.33,-9.202,0.797,
600031,三一重工,27.37,-9.136,1.21,
000937,冀中能源,17.89,-9.134,0.67,
600547,山东黄金,44.38,-9.072,1.277,
002776,柏堡龙,29.35,-9.044,2.537,
600466,蓝光发展,29.98,-9.034,3.087,
600720,祁连山,11.66,-9.018,4.347,
000723,美锦能源,21.14,-8.864,3.933,
600508,上海能源,10.77,-8.73,0.587,
600657,信达地产,21.11,-8.664,0.707,
601881,中国银河,23.71,-8.492,2.733,
002445,中南文化,45.98,-8.466,0.72,
002663,普邦股份,53.53,-8.46,2.48,
000407,胜利股份,50.78,-8.423,0.8,
600409,三友化工,10.39,-8.394,1.497,
000910,大亚圣象,18.53,-8.299,1.087,
002018,华信国际,23.75,-8.285,2.633,
000951,中国重汽,11.48,-8.258,0.58,
600449,宁夏建材,15.51,-8.254,2.04,
000758,中色股份,43.07,-8.158,0.79,
000776,广发证券,15.47,-8.135,0.533,
601233,桐昆股份,20.71,-8.132,1.727,
002142,宁波银行,10.29,-7.807,0.583,
002035,华帝股份,41.84,-7.713,0.803,
600823,世茂股份,10.56,-7.64,0.663,
600926,杭州银行,8.93,-7.58,0.953,
000662,天夏智慧,40.6,-7.464,2.613,
600803,新奥股份,29.54,-7.414,0.73,
000728,国元证券,27.78,-7.366,0.777,
601229,上海银行,7.7,-7.366,0.51,
601555,东吴证券,24.58,-7.339,0.553,
600029,南方航空,12.7,-7.055,1.48,
000603,盛达矿业,36.97,-7.02,1.047,
600531,豫光金铅,36.04,-6.948,1.95,
000926,福星股份,9.56,-6.918,0.783,
000960,锡业股份,36.02,-6.905,3.67,
601878,浙商证券,43.27,-6.873,5.053,
002114,罗平锌电,83.9,-6.872,1.233,
600959,江苏有线,32.45,-6.847,0.56,
002714,牧原股份,24.41,-6.751,0.927,
000786,北新建材,21.44,-6.437,2.217,
000709,河钢股份,14.0,-6.313,0.63,
002071,长城影视,31.78,-6.301,1.81,
600887,伊利股份,28.53,-6.291,1.823,
600185,格力地产,21.15,-6.268,0.6,
002385,大北农,23.88,-6.242,0.693,
000059,华锦股份,9.56,-6.223,1.08,
002053,云南能投,36.87,-6.168,0.513,
000659,*ST中富,85.12,-6.147,0.52,
601318,中国平安,14.7,-6.138,0.54,
600153,建发股份,16.64,-6.112,0.663,
000552,靖远煤电,17.23,-6.046,1.25,
002129,中环股份,43.03,-6.03,3.943,
600598,北大荒,18.99,-6.028,0.987,
600348,阳泉煤业,13.55,-5.975,1.937,
601128,常熟银行,14.07,-5.968,1.767,
600939,重庆建工,49.34,-5.967,1.233,
000016,深康佳Ａ,88.72,-5.955,1.073,
002847,盐津铺子,50.52,-5.953,17.88,
601919,中远海控,18.12,-5.898,0.633,
600581,八一钢铁,10.06,-5.846,5.027,
000789,万年青,22.31,-5.809,6.103,
600109,国金证券,22.59,-5.782,0.6,
000672,上峰水泥,17.01,-5.656,5.29,
002244,滨江集团,15.9,-5.543,0.587,
002295,精艺股份,36.72,-5.508,1.173,
600308,华泰股份,12.49,-5.497,0.9,
002124,天邦股份,24.91,-5.486,1.243,
000732,泰禾集团,20.18,-5.412,2.997,
002037,久联发展,48.08,-5.384,1.24,
002521,齐峰新材,26.42,-5.258,1.887,
000425,徐工机械,29.32,-5.251,1.063,
300237,美晨生态,24.77,-5.246,0.69,
000039,中集集团,33.06,-5.186,1.24,
601688,华泰证券,20.89,-5.186,0.88,
300382,斯莱克,54.83,-5.133,0.833,
000338,潍柴动力,11.13,-5.122,1.143,
002160,常铝股份,33.29,-5.07,2.277,
600200,江苏吴中,56.85,-5.063,0.993,
600426,华鲁恒升,26.25,-5.003,1.157,
300580,贝斯特,31.45,-4.982,4.653,
002556,辉隆股份,31.42,-4.976,1.447,
600054,黄山旅游,21.76,-4.95,0.71,
600025,华能水电,35.8,-4.839,4.73,
000975,银泰资源,66.94,-4.746,0.68,
601168,西部矿业,42.36,-4.571,0.94,
000686,东北证券,22.62,-4.514,0.527,
600809,山西汾酒,45.24,-4.493,0.68,
600173,卧龙地产,13.55,-4.428,0.933,
300262,巴安水务,20.42,-4.394,2.137,
300737,科顺股份,44.8,-4.382,14.103,
