code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,next_day_to_ma5,close_to_ma5,stop_mark
002860,星帅尔,2.249,-23.47,4.427,0.034,36.452,★,
000151,中成股份,0.13,-23.235,8.967,0.021,15.362,,
601116,三江购物,3.657,-21.984,2.203,0.033,18.615,★,
300618,寒锐钴业,4.855,-20.086,3.663,0.046,163.04,,
300657,弘信电子,4.817,-18.828,26.677,0.039,41.76,,
000935,四川双马,8.391,-18.31,2.897,0.054,19.89,★,
300128,锦富技术,0.707,-17.997,1.053,0.016,8.772,,
601238,广汽集团,2.096,-17.525,0.157,0.024,17.985,★,
002651,利君股份,2.621,-16.457,4.803,0.04,7.232,,
300265,通光线缆,0.42,-16.446,0.483,0.019,6.98,★,
300571,平治信息,3.562,-15.753,3.61,0.025,78.6,,
300459,金科文化,2.179,-15.592,1.073,0.009,10.748,★,
002200,云投生态,4.644,-15.326,2.157,0.025,8.518,,
000695,滨海能源,0.539,-14.834,0.337,0.014,9.138,★,
002543,万和电气,7.605,-14.133,0.533,0.032,20.455,★,
000550,江铃汽车,0.883,-14.005,0.547,0.017,13.988,★,
300612,宣亚国际,0.565,-13.913,15.553,0.037,47.088,,
300656,民德电子,0.811,-13.848,7.623,0.011,50.465,,
002458,益生股份,15.021,-13.755,5.453,0.052,13.45,,
300234,开尔新材,4.156,-13.713,1.773,0.024,7.995,,
002234,民和股份,14.999,-13.435,3.493,0.057,10.378,,
002861,瀛通通讯,0.125,-13.372,2.427,0.021,23.735,,
300542,新晨科技,5.947,-13.135,10.007,0.031,36.56,,
600622,光大嘉宝,2.923,-13.078,0.787,0.019,11.628,,
600833,第一医药,7.193,-12.998,1.043,0.023,12.168,,
600819,耀皮玻璃,0.867,-12.817,0.42,0.016,4.625,★,
000032,深桑达Ａ,0.995,-12.391,1.21,0.024,8.955,,
300025,华星创业,6.287,-12.324,3.433,0.036,4.873,,
002285,世联行,3.838,-12.225,2.657,0.035,8.172,,
600260,凯乐科技,1.55,-11.658,1.27,0.031,29.675,★,
600297,广汇汽车,0.307,-11.638,0.473,0.019,6.688,★,
000555,神州信息,0.913,-11.461,3.997,0.054,14.855,,
600422,昆药集团,0.649,-11.424,1.607,0.018,9.348,,
002723,金莱特,1.058,-11.353,0.46,0.011,15.938,,
