,ts_code,symbol,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_LASTPRICE,concept
0,300768.SZ,300768,迪普科技,软件服务,16.73,8.0,0.0,34.68,
1,300771.SZ,300771,智莱科技,电脑设备,16.01,2.0,0.0,52.7,
2,300769.SZ,300769,德方纳米,化工原料,15.53,7.0,0.0,117.25,
3,300770.SZ,300770,新媒股份,影视音像,15.07,3.0,0.0,69.32,
4,300573.SZ,300573,兴齐眼药,化学制药,14.8,9.0,0.0,53.6,"医药, 化学药, 眼科, "
5,603317.SH,603317,天味食品,食品,14.5,6.0,0.0,34.34,
6,603068.SH,603068,博通集成,半导体,13.55,7.0,0.0,52.28,
7,002054.SZ,002054,德美化工,化工原料,11.25,3.0,0.0,9.63,"半导体, 国资入股, 壳公司, 创投, "
8,002547.SZ,002547,春兴精工,通信设备,10.43,8.0,1.0,13.97,"5G, 特斯拉, 华为产业链, 3D玻璃, "
9,600175.SH,600175,美都能源,综合类,9.3,6.0,0.0,4.57,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
10,300152.SZ,300152,科融环境,环境保护,9.13,6.0,0.0,4.71,"固废处理, 雄安-园林环保, 大气治理, 环保, 雄安新区, 污水处理, "
11,600213.SH,600213,亚星客车,汽车整车,8.83,6.0,0.0,13.04,"新能源整车, 汽车整车, 山东国企改革, 新能源汽车, "
12,600759.SH,600759,洲际油气,石油开采,6.94,8.0,1.0,4.98,"油服, 油气改革, 海南自由贸易港, 互联网金融, 自贸区, 自由贸易港, 资产重组, 海南, "
13,603079.SH,603079,圣达生物,食品,6.91,2.0,0.0,28.22,"维生素, "
14,300145.SZ,300145,中金环境,专用机械,6.61,8.0,0.0,6.4,"固废处理, 回购, 环保, 污水处理, 股权转让, 国资入股, "
15,002255.SZ,002255,海陆重工,专用机械,6.46,1.0,0.0,5.34,"核电, 业绩预增, 光伏, "
16,000766.SZ,000766,通化金马,中成药,6.44,1.0,0.0,10.9,"民营医院, 高质押率, 医药, 中药, 资产重组, 工业大麻, "
17,300492.SZ,300492,山鼎设计,建筑施工,6.24,8.0,1.0,31.06,"新零售, 跨境电商, 复牌股, 年报季报, 装修装饰, 体育产业, "
18,000650.SZ,000650,仁和药业,中成药,6.16,6.0,1.0,8.56,"医药, 中药, 互联网金融, 互联网医疗, 眼科, "
19,603399.SH,603399,吉翔股份,小金属,6.11,2.0,0.0,13.22,"有色金属, 有色-钼, 百度概念股, 游戏, 手游, 影视, "
20,002385.SZ,002385,大北农,饲料,6.08,6.0,0.0,8.1,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, "
21,601865.SH,601865,福莱特,玻璃,6.06,3.0,1.0,13.24,"次新股, 光伏, "
22,300023.SZ,300023,宝德股份,专用机械,5.62,6.0,1.0,7.61,"油服, 页岩气, 工业自动化, 智能制造, 强势人气股, "
23,000702.SZ,000702,正虹科技,饲料,5.56,6.0,0.0,9.17,"饲料, 业绩预增, 湖南国企改革, 农垦, "
24,300461.SZ,300461,田中精机,专用机械,5.41,2.0,1.0,28.39,"工业自动化, 智能制造, 无线充电, 3D玻璃, "
25,300022.SZ,300022,吉峰科技,农用机械,5.35,7.0,0.0,6.95,"乡村振兴, 农机, "
26,300138.SZ,300138,晨光生物,食品,5.24,6.0,1.0,8.75,"海底捞概念股, 回购, 独角兽, "
27,000504.SZ,000504,南华生物,环境保护,5.23,2.0,1.0,14.55,"湖南国企改革, 智慧城市, "
28,000070.SZ,000070,特发信息,通信设备,5.21,8.0,1.0,18.76,"5G, 光通信, 军工, 军民融合, 深圳本地股/深汕合作, 创投, "
29,002274.SZ,002274,华昌化工,农药化肥,5.02,6.0,0.0,16.47,"甲醇, 纯碱, 业绩预增, 化肥, 燃料电池, 科创板概念股, "
30,002100.SZ,002100,天康生物,饲料,4.98,6.0,0.0,12.49,"转基因, 饲料, 养猪, 新疆, 新疆国企改革, 动物保健, "
31,600829.SH,600829,人民同泰,医药商业,4.94,1.0,0.0,8.87,"医药商业, 民营医院, 医药, 举牌股, "
32,002828.SZ,002828,贝肯能源,石油开采,4.91,6.0,1.0,14.68,"油服, 油气改革, 可燃冰, 页岩气, 天然气, 新疆, "
33,300238.SZ,300238,冠昊生物,医疗保健,4.89,6.0,0.0,21.89,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, "
34,001896.SZ,001896,豫能控股,火力发电,4.83,6.0,0.0,5.25,"火电, 电改, 破净股, 风电, 定增破发, "
35,002600.SZ,002600,领益智造,元器件,4.74,6.0,0.0,7.63,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
36,002631.SZ,002631,德尔未来,家居用品,4.64,6.0,0.0,11.57,"石墨烯, 家具家居, "
37,600073.SH,600073,上海梅林,食品,4.63,6.0,0.0,11.62,"食品, 休闲食品, 万达系, 上海国企改革, 进口博览会, "
38,002952.SZ,002952,亚世光电,元器件,4.61,2.0,1.0,63.78,"次新股, "
39,300198.SZ,300198,纳川股份,塑料,4.6,8.0,0.0,4.94,"核电, 地下管廊, 海绵城市, 锂电池, PPP, 新能源汽车, 共享经济, "
40,603519.SH,603519,立霸股份,家用电器,4.55,6.0,0.0,15.53,"白色家电, 家电, "
41,300430.SZ,300430,诚益通,电器仪表,4.53,8.0,0.0,13.4,"社保重仓, 定增破发, 工业自动化, 智能制造, 医疗器械, "
42,300116.SZ,300116,坚瑞沃能,电气设备,4.44,6.0,1.0,2.24,"锂电池, 新能源汽车, 低价股, "
43,600393.SH,600393,粤泰股份,全国地产,4.36,8.0,0.0,4.27,"粤港澳大湾区, 高质押率, 房地产, 低价股, "
44,002347.SZ,002347,泰尔股份,机械基件,4.29,1.0,0.0,6.08,"回购, 锂电池, 新能源汽车, 透明工厂, "
45,300266.SZ,300266,兴源环境,环境保护,4.29,6.0,0.0,6.73,"固废处理, 定增破发, 环保, 污水处理, 股权转让, 国资入股, 资产重组, "
