,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,688365.SH,N光云,软件服务,252.13,38.03,252.13,
3,002980.SZ,华盛昌,电器仪表,10.0,34.43,113.95,
4,300827.SZ,上能电气,电气设备,9.993,47.22,104.01,
7,300828.SZ,锐新科技,铝,10.0164,26.8,94.02,
12,603109.SH,神驰机电,电气设备,10.0,39.05,79.67,
14,002982.SZ,湘佳股份,农业综合,9.9942,56.79,74.0,
18,603682.SH,锦和商业,房产服务,10.0213,10.32,64.03,
20,603533.SH,掌阅科技,互联网,10.0061,35.95,60.7,"易方达基金-工商银行-易方达基金臻选2号资产管理计划
香港中央结算有限公司(陆股通)
深圳市瑞丰汇邦资产管理有限公司-瑞丰汇邦三号私募证券投资基金"
24,002983.SZ,芯瑞达,元器件,10.0107,20.55,54.04,
25,603439.SH,贵州三力,化学制药,10.0189,11.64,53.96,
37,300485.SZ,赛升药业,生物制药,10.0198,16.69,48.95,
40,002498.SZ,汉缆股份,电气设备,9.9119,4.99,46.75,
47,603392.SH,N万泰,医疗保健,44.0,12.6,44.0,
49,002985.SZ,N北摩,航空,43.9858,32.44,43.99,
60,603577.SH,汇金通,钢加工,9.9915,12.88,37.89,"吉林省现代农业和新兴产业投资基金有限公司
深圳唯瀚成长股权投资基金合伙企业(有限合伙)"
66,300364.SZ,中文在线,出版业,10.0251,4.39,35.62,
70,600255.SH,梦舟股份,铜,9.7087,1.13,35.23,
79,002866.SZ,传艺科技,IT设备,10.0155,14.17,33.39,
80,600724.SH,宁波富达,水泥,9.8985,4.33,33.27,
87,300332.SZ,天壕环境,环境保护,9.9537,4.75,31.93,
101,600051.SH,宁波联合,综合类,10.0295,7.46,30.03,ACADIAN资产管理有限责任公司-ACADIAN中国A股股票主基金(交易所)
108,300793.SZ,佳禾智能,IT设备,9.9918,40.4,29.99,
110,000609.SZ,中迪投资,区域地产,9.9448,5.97,29.89,
114,002623.SZ,亚玛顿,玻璃,9.3492,33.1,29.37,
116,603920.SH,世运电路,元器件,9.9902,22.46,28.39,"中国工商银行股份有限公司-南方大数据100指数证券投资基金
北京汐合精英投资有限公司-汐合量化1号私募证券投资基金"
126,603530.SH,神马电力,电气设备,9.9954,23.88,27.1,
161,600350.SH,山东高速,路桥,9.9415,5.64,24.67,"山东高速集团-中金公司-17山高EB担保及信托财产专户
香港中央结算有限公司(陆股通)
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国银行股份有限公司-广发优企精选灵活配置混合型证券投资基金
中国工商银行股份有限公司-广发行业领先混合型证券投资基金
中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金
山东高速集团-中金公司-17山高EB担保及信托财产专户
香港中央结算有限公司(陆股通)
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中信银行股份有限公司-建信中证500指数增强型证券投资基金"
176,002469.SZ,三维工程,建筑工程,10.0917,4.8,22.91,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
181,603596.SH,伯特利,汽车配件,10.0122,27.14,22.43,"安徽高新同华创业投资基金(有限合伙)
安徽高新金通安益二期创业投资基金(有限合伙)
安徽高新毅达皖江产业发展创业投资基金(有限合伙)"
