,ts_code,name,industry,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,300160.SZ,秀强股份,玻璃,11.32,49.98,中央汇金资产管理有限责任公司
1,300390.SZ,天华超净,元器件,14.66,45.51,
2,300671.SZ,富满电子,半导体,41.93,40.01,
3,002623.SZ,亚玛顿,玻璃,46.85,31.94,中央汇金资产管理有限责任公司
4,300655.SZ,晶瑞股份,化工原料,52.02,30.01,上海聚源聚芯集成电路产业股权投资基金中心(有限合伙)
5,300235.SZ,方直科技,软件服务,26.95,30.0,前海开源基金-浦发银行-中融国际信托-中融-融珲60号单一资金信托
6,300724.SZ,捷佳伟创,专用机械,78.54,30.0,"天津架桥富凯股权投资基金合伙企业(有限合伙)
中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金
深圳市麦瑞股权投资基金合伙企业(有限合伙)
深圳市麦瑞世纪股权投资基金(有限合伙)
国泰君安证券资管-光大银行-国泰君安君得明混合型集合资产管理计划"
7,300087.SZ,荃银高科,种植业,15.07,27.08,
8,300123.SZ,亚光科技,半导体,17.22,25.26,"湖南省资产管理有限公司
华泰瑞联基金管理有限公司-江苏华泰瑞联并购基金(有限合伙)
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金"
9,002837.SZ,英维克,专用机械,32.54,25.19,"中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
统一证券投资信托股份有限公司-统一强汉基金
中国工商银行股份有限公司-泓德远见回报混合型证券投资基金
广州农村商业银行股份有限公司-金鹰信息产业股票型证券投资基金"
10,002239.SZ,奥特佳,汽车配件,3.82,25.04,
11,603993.SH,洛阳钼业,小金属,5.25,24.6,"建信基金-工商银行-陕西省国际信托-陕国投·金玉6号定向投资集合资金信托计划
中国国有企业结构调整基金股份有限公司
民生加银基金-宁波银行-嘉兴民琉投资合伙企业(有限合伙)
泰达宏利基金-民生银行-长安国际信托-长安信托-民生定增1号单一资金信托
香港中央结算有限公司(陆股通)
全国社保基金一零二组合"
12,603688.SH,石英股份,矿物制品,30.94,23.0,"中国工商银行股份有限公司-嘉实周期优选混合型证券投资基金
上海趣时资产管理有限公司-趣时分红增长1号证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
招商银行股份有限公司-中银稳健双利债券型证券投资基金"
13,601698.SH,中国卫通,电信运营,21.32,21.5,"深圳市君如资产管理顾问有限公司-君如木兰1号私募证券投资基金
深圳市君如资产管理顾问有限公司-君如木兰2号私募证券投资基金
深圳市君如资产管理顾问有限公司-君如木兰3号私募证券投资基金"
14,300499.SZ,高澜股份,专用机械,19.01,20.04,
15,600546.SH,山煤国际,煤炭开采,11.84,20.04,"全国社保基金一一二组合
中央汇金资产管理有限责任公司
国泰君安证券资管-光大银行-国泰君安君得明混合型集合资产管理计划
中国农业银行股份有限公司-交银施罗德先进制造混合型证券投资基金"
16,603726.SH,朗迪集团,机械基件,19.95,20.03,
17,300603.SZ,立昂技术,通信设备,40.78,20.01,
18,300397.SZ,天和防务,通信设备,47.6,20.0,"陕西金达投资基金合伙企业(有限合伙)
上海申九资产管理有限公司-申九积极进取3号证券私募投资基金
上海申九资产管理有限公司-申九股票精选1号私募证券投资基金"
19,603005.SH,晶方科技,半导体,114.95,20.0,"国家集成电路产业投资基金股份有限公司
中央汇金资产管理有限责任公司"
