,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept
0,600300.SH,600300,维维股份,软饮料,1.0,3.64,"回购, 饮料, 食品, "
1,000677.SZ,000677,恒天海龙,化纤,1.0,3.85,"轮胎, 石墨烯, 粘胶短纤, 强势人气股, 工业大麻, "
2,600127.SH,600127,金健米业,农业综合,2.0,3.97,"乡村振兴, 食品, 湖南国企改革, 乳业（奶粉）, "
3,300152.SZ,300152,科融环境,环境保护,1.0,4.15,"固废处理, 雄安-园林环保, 大气治理, 环保, 雄安新区, 污水处理, "
4,002481.SZ,002481,双塔食品,食品,1.0,4.29,"海底捞概念股, 业绩预增, 保健品, 食品, 山东国企改革, 燃料乙醇, "
5,002164.SZ,002164,宁波东力,电气设备,3.0,4.51,"风电, 定增破发, "
6,600095.SH,600095,哈高科,区域地产,1.0,4.95,"雄安-园林环保, 雄安新区, 壳公司, "
7,600530.SH,600530,交大昂立,医疗保健,1.0,5.61,"回购, 保健品, 食品, 举牌股, 高校系, "
8,603299.SH,603299,苏盐井神,化工原料,1.0,6.91,"调味品, 食品, 定增破发, 资产重组, "
9,000713.SZ,000713,丰乐种业,种植业,1.0,7.72,"农药, 安徽国企改革, 转基因, 乡村振兴, 业绩预增, 农业种植, "
10,002958.SZ,002958,青农商行,银行,1.0,8.54,"银行, 次新股, "
11,002417.SZ,002417,深南股份,多元金融,1.0,9.66,"供应链金融, 互联网金融, 大数据, 云计算, "
12,000043.SZ,000043,中航善达,房产服务,1.0,11.59,"央企改革, 军工研究所, 业绩预增, 军工, 房地产, "
13,300772.SZ,300772,运达股份,电气设备,3.0,12.5,
14,300123.SZ,300123,亚光科技,船舶,2.0,14.44,"5G, 回购, 业绩预增, 军工, 军民融合, 半导体, 股权转让, 国产芯片, 智慧安防, "
15,603777.SH,603777,来伊份,食品,1.0,14.84,"大消费, 回购, 新零售, 食品, 休闲食品, 进口博览会, "
16,300405.SZ,300405,科隆股份,化工原料,5.0,15.6,"石油化工, "
17,601116.SH,601116,三江购物,超市连锁,1.0,16.92,"阿里巴巴概念股, 新零售, "
18,600587.SH,600587,新华医疗,医疗保健,2.0,17.14,"民营医院, 山东国企改革, 医疗器械, "
19,603336.SH,603336,宏辉果蔬,农业综合,1.0,17.72,"农业种植, 苹果期货, "
20,002893.SZ,002893,华通热力,供气供热,2.0,19.02,"高送转-预期, "
21,002793.SZ,002793,东音股份,专用机械,5.0,19.82,
22,603967.SH,603967,中创物流,仓储物流,2.0,26.7,
23,300773.SZ,300773,拉卡拉,软件服务,4.0,70.16,
