,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688571.SH,688571,N杭华,染料涂料,11.67,1.0,17.0,8.48,,0.0
1,688136.SH,688136,科兴制药,生物制药,41.01,1.0,8.0,16.78,,0.0
2,605376.SH,605376,博迁新材,小金属,24.64,3.0,8.0,16.11,,0.0
3,002612.SZ,002612,朗姿股份,服饰,23.4,3.0,6.0,61.16,"广东逸信基金管理有限公司-逸信汇富1号朗姿股份私募投资基金
中原信托有限公司-金融产品投资20160303号单一资金信托
江苏中韩晨晖朗姿股权投资基金(有限合伙)",3.0
4,603025.SH,603025,大豪科技,IT设备,14.0,3.0,6.0,128.57,香港中央结算有限公司(陆股通),1.0
5,003025.SZ,003025,N思进,机械基件,33.8,2.0,5.0,6.79,,0.0
6,003023.SZ,003023,N彩虹,家用电器,37.84,2.0,5.0,7.68,,0.0
7,605358.SH,605358,立昂微,半导体,132.61,3.0,3.0,53.81,"福建平潭唐龙资产管理有限公司-唐龙量化阿尔法3号私募证券投资基金
方正证券-方正中期量化强势进取FOF1号集合资产管理计划-方正证券量化强势进取10号单一资产管理计划",2.0
8,601015.SH,601015,陕西黑猫,焦炭加工,4.37,1.0,3.0,71.22,长城(天津)股权投资基金管理有限责任公司-长城国泰-高端装备并购契约型私募投资基金,1.0
9,000521.SZ,000521,长虹美菱,家用电器,4.17,2.0,3.0,36.38,"中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
财通基金-宁波银行-海通兴泰(安徽)新兴产业投资基金(有限合伙)",2.0
10,000615.SZ,000615,奥园美谷,化纤,6.84,2.0,2.0,52.93,海通证券资管-中信银行-证券行业支持民企发展系列之海通证券资管7号集合资产管理计划,1.0
11,600382.SH,600382,广东明珠,商贸代理,6.7,2.0,2.0,52.86,,0.0
12,002316.SZ,002316,亚联发展,软件服务,5.25,2.0,2.0,15.4,上海创奥投资管理合伙企业(有限合伙)-奥凯盛鑫7号私募证券投资基金,1.0
13,600791.SH,600791,京能置业,全国地产,5.39,2.0,2.0,24.38,哈尔滨市道里区慈善基金会,1.0
14,002162.SZ,002162,悦心健康,医疗保健,4.35,2.0,2.0,37.09,中央汇金资产管理有限责任公司,1.0
15,600586.SH,600586,金晶科技,玻璃,5.73,2.0,2.0,81.87,"中国建设银行股份有限公司-广发中证全指建筑材料指数型发起式证券投资基金
嘉实基金-农业银行-嘉实中证金融资产管理计划
中央汇金资产管理有限责任公司",3.0
16,603396.SH,603396,金辰股份,专用机械,45.08,2.0,2.0,47.69,"交通银行股份有限公司-汇丰晋信智造先锋股票型证券投资基金
宁波辽海华商创业投资基金(有限合伙)
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合
交通银行股份有限公司-汇丰晋信低碳先锋股票型证券投资基金
三和创赢资产管理(深圳)有限公司-三和创赢战略投资1期私募证券投资基金
招商银行股份有限公司-富国清洁能源产业灵活配置混合型证券投资基金",6.0
17,002397.SZ,002397,梦洁股份,纺织,4.9,1.0,1.0,23.67,"中央汇金资产管理有限责任公司
金鹰基金-浦发银行-厦门信托-厦门信托-财富共赢24号单一资金信托
泰达宏利基金-工商银行-天津信托-天津信托·优选定增21号单一资金信托",3.0
18,001896.SZ,001896,豫能控股,火力发电,4.14,1.0,1.0,47.63,,0.0
19,002435.SZ,002435,长江健康,化学制药,4.31,1.0,1.0,51.7,"华安资产管理(香港)有限公司-客户资金专户1号(交易所)
西藏信托有限公司-西藏信托-莱沃50号集合资金信托计划",2.0
20,600819.SH,600819,耀皮玻璃,玻璃,5.36,1.0,1.0,40.06,,0.0
21,600822.SH,600822,上海物贸,商贸代理,11.06,1.0,1.0,43.81,"上海泾溪投资管理合伙企业(有限合伙)-泾溪佳盈3号基金
上海泾溪投资管理合伙企业(有限合伙)-泾溪中国优质成长5号私募证券投资基金",2.0
22,600859.SH,600859,王府井,百货,33.97,1.0,1.0,193.21,"香港中央结算有限公司(陆股通)
深圳永冠基金管理有限公司-永冠新瑞1号私募证券投资基金
北京京国瑞国企改革发展基金(有限合伙)
中央汇金资产管理有限责任公司",4.0
23,600882.SH,600882,妙可蓝多,乳制品,43.09,1.0,1.0,176.14,"中国建设银行股份有限公司-汇添富消费行业混合型证券投资基金
中国建设银行股份有限公司-兴全社会责任混合型证券投资基金
兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金
兴业银行股份有限公司-兴全趋势投资混合型证券投资基金",4.0
24,600956.SH,600956,新天绿能,供气供热,9.3,1.0,1.0,12.53,香港中央结算有限公司(陆股通),1.0
25,601127.SH,601127,小康股份,汽车配件,17.81,1.0,1.0,166.24,"小康控股-红塔证券-20康EB02担保及信托财产专户
小康控股-红塔证券-19小康EB担保及信托财产专户
重庆两江股权投资基金管理有限公司-重庆两江新区战略性新兴产业股权投资基金合伙企业(有限合伙)
华鑫国际信托有限公司-华鑫信托·396号证券投资集合资金信托计划",4.0
26,603439.SH,603439,贵州三力,中成药,22.61,1.0,1.0,9.21,,0.0
27,603200.SH,603200,上海洗霸,环境保护,27.62,1.0,1.0,27.69,,0.0
28,603608.SH,603608,天创时尚,服饰,7.69,1.0,1.0,32.66,富荣基金-王伟军-富荣王伟军单一资产管理计划,1.0
29,603655.SH,603655,朗博科技,汽车配件,27.85,1.0,1.0,9.47,"益家资本管理有限公司-益家聚美1号私募证券投资基金
益家资本管理有限公司-益家聚美3号私募证券投资基金",2.0
30,603690.SH,603690,至纯科技,专用机械,39.31,1.0,1.0,95.25,"上海阿杏投资管理有限公司-阿杏延安7号私募证券投资基金
上海国盛资本管理有限公司-上海国企改革发展股权投资基金合伙企业(有限合伙)
中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金",3.0
31,603708.SH,603708,家家悦,超市连锁,25.36,1.0,1.0,154.29,"中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
中国建设银行股份有限公司-东方红启东三年持有期混合型证券投资基金
兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
基本养老保险基金一零零三组合
全国社保基金四零六组合
中国工商银行股份有限公司-中欧消费主题股票型证券投资基金",7.0
32,603985.SH,603985,恒润股份,机械基件,35.72,1.0,1.0,72.81,"中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金",2.0
33,605009.SH,605009,豪悦护理,造纸,221.0,1.0,1.0,58.94,"国泰基金-上海银行-国泰基金格物2号集合资产管理计划
中国国际金融香港资产管理有限公司-客户资金2
全国社保基金五零四组合
中国建设银行股份有限公司-嘉实泰和混合型证券投资基金
上海绿山投资中心(有限合伙)-绿山投资中国优势私募证券投资基金
全国社保基金一一二组合
国泰基金-浦发银行-国泰-禾盈1号资产管理计划",7.0
34,605111.SH,605111,新洁能,半导体,242.0,1.0,1.0,61.23,上海量宇资产管理有限公司-冠一一号私募基金,1.0
35,000779.SZ,000779,甘咨询,建筑工程,11.26,1.0,1.0,19.71,,0.0
36,605388.SH,605388,均瑶健康,软饮料,23.31,1.0,1.0,16.32,"东吴证券-南京银行-东吴星阳6号集合资产管理计划
中儒资产管理(杭州)有限公司-中儒吉兔1号私募证券投资基金",2.0
37,688368.SH,688368,晶丰明源,半导体,178.5,1.0,1.0,27.41,"招商银行股份有限公司-睿远成长价值混合型证券投资基金
中国建设银行股份有限公司-摩根士丹利华鑫卓越成长混合型证券投资基金
招商银行股份有限公司-嘉实科技创新混合型证券投资基金
中国银行股份有限公司-泰信中小盘精选股票型证券投资基金
中国银行股份有限公司-嘉实先进制造股票型证券投资基金
中国建设银行股份有限公司-嘉实泰和混合型证券投资基金
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金
中国工商银行股份有限公司-东方红睿玺三年定期开放灵活配置混合型证券投资基金",9.0
38,600616.SH,600616,金枫酒业,红黄酒,8.19,1.0,1.0,54.79,,0.0
39,600773.SH,600773,西藏城投,区域地产,6.56,1.0,1.0,48.94,"中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",2.0
40,002245.SZ,002245,澳洋顺昌,仓储物流,9.9,1.0,1.0,90.47,,0.0
41,600163.SH,600163,中闽能源,新型电力,3.73,1.0,1.0,37.28,海峡产业投资基金(福建)有限合伙企业,1.0
42,002617.SZ,002617,露笑科技,电气设备,7.73,1.0,1.0,92.37,中央汇金资产管理有限责任公司,1.0
43,002696.SZ,002696,百洋股份,渔业,6.99,1.0,1.0,24.18,"北信瑞丰基金-工商银行-富立天瑞华商投资管理有限公司-富立天瑞华商凤凰山六号私募投资基金
青岛海洋创新产业投资基金有限公司
青岛国信创新股权投资管理有限公司-青岛市海洋新动能产业投资基金(有限合伙)",3.0
44,002709.SZ,002709,天赐材料,化工原料,94.06,1.0,1.0,344.71,"全国社保基金一零八组合
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金",5.0
45,002900.SZ,002900,哈三联,化学制药,11.32,1.0,1.0,19.33,"中瑞国信资产管理有限公司
中合供销一期(上海)股权投资基金合伙企业(有限合伙)",2.0
46,002906.SZ,002906,华阳集团,汽车配件,28.94,1.0,1.0,136.05,"华润深国投信托有限公司-朱雀合伙专项证券投资信托
中国工商银行股份有限公司-宝盈人工智能主题股票型证券投资基金
上海少薮派投资管理有限公司-称心如意8号证券投资基金
广州农村商业银行股份有限公司-金鹰信息产业股票型证券投资基金
中国工商银行-宝盈泛沿海区域增长混合型证券投资基金
交通银行股份有限公司-宝盈创新驱动股票型证券投资基金
中国建设银行股份有限公司-博时产业新趋势灵活配置混合型证券投资基金
珠海横琴中科白云股权投资基金合伙企业(有限合伙)",8.0
47,002286.SZ,002286,保龄宝,食品,10.33,1.0,1.0,38.14,"中国建设银行股份有限公司-交银施罗德内核驱动混合型证券投资基金
中信银行股份有限公司-交银施罗德新生活力灵活配置混合型证券投资基金
宁波趵朴富通资产管理中心(有限合伙)
中国农业银行股份有限公司-交银施罗德定期支付双息平衡混合型证券投资基金
中央汇金资产管理有限责任公司",5.0
48,000558.SZ,000558,莱茵体育,文教休闲,3.17,1.0,1.0,40.84,,0.0
49,600006.SH,600006,东风汽车,汽车整车,6.34,1.0,1.0,126.8,"平安资产-工商银行-平安资产创赢18号资产管理产品
基本养老保险基金一三零一组合
平安资管-农业银行-平安资产如意35号资产管理产品
中央汇金资产管理有限责任公司
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",6.0
50,600097.SH,600097,开创国际,渔业,11.36,1.0,1.0,27.37,"北方国际信托股份有限公司-北方信托元宝34号单一资金信托
北京纳木纳尼资产管理有限公司",2.0
51,600559.SH,600559,老白干酒,白酒,24.96,1.0,1.0,218.83,"中国银行股份有限公司-招商中证白酒指数分级证券投资基金
北京航天产业投资基金(有限合伙)
香港中央结算有限公司(陆股通)
汇添富基金-工商银行-汇添富-定增盛世添富牛37号资产管理计划
鹏华基金-工商银行-鹏华基金增发精选1号资产管理计划",5.0
52,600381.SH,600381,青海春天,医疗保健,6.79,1.0,1.0,39.86,,0.0
53,600199.SH,600199,金种子酒,白酒,11.98,1.0,1.0,72.66,"中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央汇金资产管理有限责任公司",2.0
54,600509.SH,600509,天富能源,火力发电,5.42,1.0,1.0,62.41,"博时基金-农业银行-博时中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
中央汇金资产管理有限责任公司",4.0
55,600418.SH,600418,江淮汽车,汽车整车,13.08,1.0,1.0,247.65,"安徽省铁路发展基金股份有限公司
华润深国投信托有限公司-华润信托·昀沣9号集合资金信托计划
申万菱信基金-招商银行-华润深国投信托-华润信托·博荟13号集合资金信托计划",3.0
56,600189.SH,600189,泉阳泉,软饮料,9.71,1.0,1.0,54.65,"中国华融资产管理股份有限公司
吉林省吉盛资产管理有限责任公司",2.0
57,002799.SZ,002799,环球印务,广告包装,19.37,1.0,0.0,34.87,,0.0
58,002524.SZ,002524,光正眼科,医疗保健,15.04,1.0,0.0,73.34,"中国邮政储蓄银行股份有限公司-创金合信医疗保健行业股票型证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",2.0
