code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
002098,浔兴股份,3.1,-49.875,0.277,-16.211,0.148,
002630,华西能源,9.7,-47.007,0.241,-25.404,0.088,
002723,金莱特,1.74,-42.657,0.219,-12.665,0.092,
002699,美盛文化,7.91,-42.599,0.234,-32.528,0.137,
002664,长鹰信质,3.5,-41.739,0.228,-8.547,0.068,
600701,*ST工新,7.76,-41.314,0.176,18.39,0.193,
002086,东方海洋,4.76,-38.985,0.217,-4.557,0.103,
002333,罗普斯金,4.85,-38.224,0.126,-32.524,0.076,
000007,全新好,3.09,-37.507,0.126,-8.667,0.131,
002656,摩登大道,4.72,-34.186,0.168,-5.309,0.248,
600678,四川金顶,3.49,-33.071,0.175,-2.688,0.073,
600766,园城黄金,2.24,-32.394,0.153,43.505,0.136,
002028,思源电气,5.8,-29.663,0.126,-15.728,0.051,
002819,东方中科,0.44,-27.471,0.122,-4.437,0.026,
002359,北讯集团,7.08,-25.985,0.121,-10.998,0.071,
601330,绿色动力,1.16,-23.517,0.096,-11.952,0.055,
002094,青岛金王,6.01,-22.719,0.075,-0.687,0.091,
601606,长城军工,1.48,-22.468,0.063,-28.458,0.063,
600733,北汽蓝谷,3.97,-21.02,0.306,-5.426,0.088,
002072,凯瑞德,1.69,-20.651,0.073,20.805,0.138,
002113,天润数娱,8.05,-20.592,0.168,6.968,0.083,
000418,小天鹅Ａ,4.39,-19.939,0.061,0.236,0.035,
000953,ST河化,2.94,-19.899,0.087,17.577,0.122,
600232,金鹰股份,3.65,-19.325,0.095,9.545,0.134,
002100,天康生物,9.63,-19.226,0.048,1.581,0.067,
002746,仙坛股份,2.42,-19.125,0.055,6.921,0.071,
002771,真视通,0.92,-18.143,0.055,-2.899,0.043,
002458,益生股份,1.79,-18.09,0.06,12.02,0.114,
002899,英派斯,0.79,-17.87,0.081,-17.205,0.049,
002262,恩华药业,8.84,-17.835,0.107,-16.049,0.065,
600318,新力金融,4.84,-17.833,0.049,-22.227,0.101,
002059,云南旅游,7.31,-17.184,0.065,-10.202,0.06,
002417,深南股份,2.23,-16.167,0.044,10.927,0.159,
002049,紫光国微,6.05,-16.157,0.068,-14.248,0.069,
