,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600317.SH,600317,营口港,港口,2.94,True,True,"嘉实基金-农业银行-嘉实中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中央汇金资产管理有限责任公司
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中欧基金-农业银行-中欧中证金融资产管理计划",12.0
1,002968.SZ,002968,新大正,房产服务,69.41,True,True,"交通银行股份有限公司-工银瑞信双利债券型证券投资基金
中国农业银行股份有限公司-工银瑞信消费行业股票型证券投资基金
中国光大银行股份有限公司-国投瑞银创新动力混合型证券投资基金
中国建设银行-宝康消费品证券投资基金
中国建设银行股份有限公司-华宝事件驱动混合型证券投资基金
易方达资产-工商银行-易方达资产华瑞8号资产管理计划
中国建设银行股份有限公司-南方品质优选灵活配置混合型证券投资基金
中国银行股份有限公司-华宝先进成长混合型证券投资基金
中国工商银行股份有限公司-汇添富多策略定期开放灵活配置混合型发起式证券投资基金",9.0
2,688002.SH,688002,睿创微纳,通信设备,72.63,True,True,"平安基金-中国平安人寿保险股份有限公司-分红-个险分红-平安人寿-平安基金权益委托投资2号单一资产管理计划
全国社保基金一一八组合
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划
中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
中国工商银行股份有限公司-嘉实企业变革股票型证券投资基金
中国银行股份有限公司-泰信中小盘精选股票型证券投资基金
中国银行股份有限公司-景顺长城优选混合型证券投资基金
招商银行股份有限公司-睿远成长价值混合型证券投资基金",9.0
3,688368.SH,688368,晶丰明源,半导体,106.78,True,True,"中国银行股份有限公司-嘉实先进制造股票型证券投资基金
中国工商银行股份有限公司-博时科创主题3年封闭运作灵活配置混合型证券投资基金
中国建设银行股份有限公司-摩根士丹利华鑫卓越成长混合型证券投资基金
中国银行-嘉实增长开放式证券投资基金
交通银行股份有限公司-博时新兴成长混合型证券投资基金
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金
中国建设银行股份有限公司-嘉实泰和混合型证券投资基金
招商银行股份有限公司-嘉实科技创新混合型证券投资基金
中国银行股份有限公司-中金科创主题3年封闭运作灵活配置混合型证券投资基金",9.0
4,601698.SH,601698,中国卫通,电信运营,23.97,True,True,"中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金",9.0
5,002920.SZ,002920,德赛西威,汽车配件,74.07,True,True,"中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
宁波梅山保税港区智石资产管理有限公司-智石私募证券投资基金
基本养老保险基金一二零七组合
招商银行股份有限公司-兴全轻资产投资混合型证券投资基金(LOF)
广发基金管理有限公司-社保基金四二零组合
招商银行股份有限公司-兴全合润分级混合型证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
大家资产-民生银行-大家资产-盛世精选2号集合资产管理产品(第二期)",9.0
6,688058.SH,688058,宝兰德,软件服务,183.34,True,True,"中国建设银行股份有限公司-南方信息创新混合型证券投资基金
中国银行股份有限公司-海富通股票混合型证券投资基金
中国工商银行股份有限公司-南方3年封闭运作战略配售灵活配置混合型证券投资基金(LOF)
中国工商银行股份有限公司-金鹰核心资源混合型证券投资基金
中国银行股份有限公司-海富通先进制造股票型证券投资基金
兴业银行股份有限公司-金鹰转型动力灵活配置混合型证券投资基金
中国工商银行股份有限公司-汇添富移动互联股票型证券投资基金
中国工商银行股份有限公司-海富通科技创新混合型证券投资基金
中国建设银行股份有限公司-博时回报灵活配置混合型证券投资基金",9.0
7,688258.SH,688258,卓易信息,软件服务,120.1,True,True,"中国建设银行股份有限公司-华润元大信息传媒科技混合型证券投资基金
中国对外经济贸易信托有限公司-外贸信托-宽星9号证券投资集合资金信托计划
中国银行股份有限公司-海富通股票混合型证券投资基金
兴业银行股份有限公司-兴全精选混合型证券投资基金
中国建设银行股份有限公司-南方现代教育股票型证券投资基金
华润深国投信托有限公司-华润信托·昀沣9号集合资金信托计划
中国对外经济贸易信托有限公司-外贸信托·昀沣6号证券投资集合资金信托计划
交通银行股份有限公司-诺安和鑫保本混合型证券投资基金
中国对外经济贸易信托有限公司-外贸信托·昀沣3号证券投资集合资金信托计划",9.0
8,600415.SH,600415,小商品城,商品城,7.41,True,True,"嘉实基金-农业银行-嘉实中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中央汇金资产管理有限责任公司
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划",9.0
9,600760.SH,600760,中航沈飞,航空,56.72,True,True,"香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-富国中证军工龙头交易型开放式指数证券投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金
中国银行股份有限公司-国投瑞银国家安全灵活配置混合型证券投资基金
中国华融资产管理股份有限公司
中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金
中国建设银行股份有限公司-易方达国防军工混合型证券投资基金",8.0
