,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600166.SH,600166,福田汽车,汽车整车,2.31,0.0,1.0,151.89,中央汇金资产管理有限责任公司,1.0
1,002471.SZ,002471,中超控股,电气设备,2.53,0.0,1.0,32.0,深圳市鑫腾华资产管理有限公司,1.0
2,000683.SZ,000683,远兴能源,化工原料,2.54,0.0,1.0,90.29,"上海塔彧毅股权投资基金(上海)中心(有限合伙)
中国信达资产管理股份有限公司
北京中稷弘立资产管理有限公司
中信建投基金-广州农商银行-华鑫国际信托-华鑫信托·153号证券投资集合资金信托计划
香港中央结算有限公司(陆股通)",5.0
3,002505.SZ,002505,大康农业,农业综合,2.78,2.0,1.0,152.49,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中信银行股份有限公司-建信中证500指数增强型证券投资基金",3.0
4,600187.SH,600187,国中水务,水务,2.86,2.0,1.0,47.3,"上海方圆达创投资合伙企业(有限合伙)-方圆-东方11号私募投资基金
中央汇金资产管理有限责任公司",2.0
5,600331.SH,600331,宏达股份,铅锌,2.87,1.0,1.0,58.32,,0.0
6,300370.SZ,300370,安控科技,电器仪表,2.9,1.0,1.0,20.95,,0.0
7,600339.SH,600339,中油工程,石油加工,2.97,0.0,1.0,165.82,"九泰基金-广发银行-中兵投资管理有限责任公司
中国光大银行股份有限公司-招商瑞阳股债配置混合型证券投资基金
北信瑞丰基金-工商银行-北京恒宇天泽投资管理有限公司-恒宇天泽盈-赢二号私募投资基金
北信瑞丰基金-浦发银行-北京国际信托-北京信托·轻盐丰收理财2015015号集合资金信托计划",4.0
8,000506.SZ,000506,中润资源,黄金,3.45,0.0,1.0,32.04,共青城蕴沣资产管理有限公司-蕴沣创世3号证券投资私募基金,1.0
9,600537.SH,600537,亿晶光电,半导体,3.58,2.0,1.0,42.11,中央汇金资产管理有限责任公司,1.0
10,600981.SH,600981,汇鸿集团,商贸代理,3.74,1.0,1.0,27.33,"上海赛领并购投资基金合伙企业(有限合伙)
兴证证券资管-工商银行-兴证资管鑫成71号双红利轮动集合资产管理计划
上海国药圣礼股权投资基金合伙企业(有限合伙)
上海赛领博达股权投资基金合伙企业(有限合伙)
兴证证券资管-工商银行-兴证资管鑫成63号集合资产管理计划
全国社保基金五零一组合
兴证证券资管-工商银行-兴证资管鑫成61号集合资产管理计划",7.0
11,300157.SZ,300157,恒泰艾普,石油开采,3.83,2.0,1.0,27.08,,0.0
12,002506.SZ,002506,协鑫集成,电气设备,3.92,0.0,2.0,198.9,"长城(德阳)超日项目基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
天津融境股权投资基金中心(有限合伙)",3.0
13,002206.SZ,002206,海利得,化纤,3.95,0.0,1.0,37.94,"基本养老保险基金一零零三组合
上海齐银股权投资基金管理有限公司-上海同煤齐银投资管理中心(有限合伙)
中国建设银行股份有限公司-中欧价值发现股票型证券投资基金
西藏山南硅谷天堂昌吉投资管理有限公司-硅谷天堂恒昌私募基金
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金",5.0
14,600664.SH,600664,哈药股份,化学制药,3.96,0.0,1.0,99.28,"中国证券投资者保护基金有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",3.0
15,600279.SH,600279,重庆港九,港口,4.07,1.0,1.0,28.2,,0.0
16,002689.SZ,002689,远大智能,运输设备,4.33,0.0,1.0,45.07,,0.0
17,300278.SZ,300278,华昌达,专用机械,4.56,0.0,1.0,13.76,"陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划
厦门国际信托有限公司-厦门信托-汇金1615号集合资金信托",2.0
18,600683.SH,600683,京投发展,区域地产,4.59,1.0,1.0,34.0,泰康资产管理有限责任公司-泰康资产-积极配置投资产品,1.0
19,002285.SZ,002285,世联行,房产服务,4.71,1.0,2.0,94.89,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",3.0
20,300067.SZ,300067,安诺其,染料涂料,4.72,0.0,1.0,30.63,"鹏华资产-浦发银行-粤财信托-粤财信托-菁英163期单一资金信托计划
中央汇金资产管理有限责任公司",2.0
21,600139.SH,600139,西部资源,综合类,4.86,0.0,3.0,32.17,,0.0
22,600490.SH,600490,鹏欣资源,铜,4.88,1.0,1.0,81.92,,0.0
23,600477.SH,600477,杭萧钢构,钢加工,5.07,1.0,1.0,109.19,,0.0
24,002478.SZ,002478,常宝股份,钢加工,5.54,1.0,1.0,33.17,"基本养老保险基金一零零三组合
中央汇金资产管理有限责任公司",2.0
25,600381.SH,600381,青海春天,医疗保健,5.56,1.0,1.0,32.64,,0.0
26,600617.SH,600617,国新能源,供气供热,5.57,2.0,1.0,54.3,中央汇金资产管理有限责任公司,1.0
27,002164.SZ,002164,宁波东力,电气设备,5.7,1.0,1.0,24.86,富国基金-中国人寿保险股份有限公司-分红险-富国基金国寿股份成长股票型组合单一资产管理计划,1.0
28,600601.SH,600601,方正科技,IT设备,5.84,0.0,1.0,128.18,"华夏基金-中央汇金资产管理有限责任公司-华夏基金-汇金资管单一资产管理计划
广东伍文资产管理有限公司-伍文稳盈3号私募证券投资基金
大成基金-农业银行-大成中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划",4.0
29,600496.SH,600496,精工钢构,钢加工,6.04,1.0,1.0,91.23,"中国建设银行-上投摩根阿尔法股票型证券投资基金
交通银行-中海优质成长证券投资基金
中国银行股份有限公司-华泰紫金泰盈混合型证券投资基金
全国社保基金六零三组合
长安国际信托股份有限公司-银帆3期(长安投资78号)集合资金信托计划
中央汇金资产管理有限责任公司",6.0
30,002550.SZ,002550,千红制药,生物制药,6.15,0.0,2.0,56.02,香港中央结算有限公司(陆股通),1.0
31,600526.SH,600526,菲达环保,环境保护,6.23,1.0,1.0,34.1,,0.0
32,600151.SH,600151,航天机电,汽车配件,6.25,0.0,1.0,89.64,"中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",3.0
33,600770.SH,600770,综艺股份,综合类,6.45,0.0,1.0,83.85,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划",3.0
34,002165.SZ,002165,红宝丽,化工原料,6.48,0.0,1.0,38.5,"博时基金管理有限公司-社保基金四一九组合
中央汇金资产管理有限责任公司
兴全睿众资产-招商银行-兴全睿众-兴全睿众定增9号特定多客户资产管理计划",3.0
35,002357.SZ,002357,富临运业,公路,6.62,1.0,1.0,20.74,,0.0
36,601969.SH,601969,海南矿业,普钢,7.12,0.0,2.0,139.18,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
上海并购股权投资基金合伙企业(有限合伙)
中信银行股份有限公司-建信中证500指数增强型证券投资基金
易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划",4.0
37,002517.SZ,002517,恺英网络,互联网,7.2,0.0,1.0,115.2,深圳市华泰瑞麟一号股权投资基金合伙企业(有限合伙),1.0
38,000639.SZ,000639,西王食品,食品,7.26,2.0,1.0,78.14,"深圳市九派资本管理有限公司-九派定增1号私募股权投资基金
巨能资本管理有限公司-山东聚赢产业基金合伙企业(有限合伙)
泰达宏利基金-工商银行-泰达宏利价值成长定向增发726号
山东高速嵩信(天津)投资管理有限公司-山高嵩成私募股权投资基金",4.0
39,603828.SH,603828,柯利达,装修装饰,7.43,0.0,1.0,40.68,中泰证券资管-证券行业支持民企发展中泰资管1号FOF集合资管计划-证券行业支持民企发展系列之中泰资管15号单一资产管理计划,1.0
40,000601.SZ,000601,韶能股份,水力发电,7.46,2.0,1.0,80.56,深圳日昇创沅资产管理有限公司,1.0
41,000908.SZ,000908,景峰医药,化学制药,7.5,1.0,2.0,53.77,"中国长城资产管理股份有限公司
平江县国有资产管理局
华菱津杉(天津)产业投资管理有限公司-华菱津杉-融创未来资产管理计划",3.0
42,002742.SZ,002742,三圣股份,其他建材,7.9,1.0,1.0,15.31,中央汇金资产管理有限责任公司,1.0
43,300255.SZ,300255,常山药业,生物制药,7.99,0.0,2.0,54.45,"珠海保联资产管理有限公司
中国建设银行股份有限公司-长城量化小盘股票型证券投资基金",2.0
44,002209.SZ,002209,达意隆,轻工机械,8.46,0.0,2.0,13.07,,0.0
45,600351.SH,600351,亚宝药业,中成药,8.58,0.0,2.0,66.07,"山西省科技基金发展有限公司
中央汇金资产管理有限责任公司",2.0
46,002787.SZ,002787,华源控股,广告包装,8.61,0.0,1.0,15.64,"金库骐楷(杭州)投资管理有限公司-金库成长五号私募证券投资基金
大成基金-工商银行-易方达资产管理有限公司",2.0
