,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LAST_PCT_CHG,COL_LASTPRICE,concept
0,000815.SZ,000815,美利云,造纸,4.0,9.9825,12.56,"大数据, 云计算, 造纸, 宁夏, "
1,002793.SZ,002793,东音股份,专用机械,3.0,10.0067,16.38,
2,300405.SZ,300405,科隆股份,化工原料,3.0,9.9829,12.89,"石油化工, "
3,300773.SZ,300773,拉卡拉,软件服务,2.0,9.9981,57.98,
4,601789.SH,601789,宁波建工,建筑施工,2.0,9.9593,5.41,"装配式建筑, 环杭州湾大湾区, 云计算, "
5,300292.SZ,300292,吴通控股,软件服务,2.0,10.045,7.34,"5G, 光通信, 华为产业链, 物联网, 滴滴出行概念股, 独角兽, "
6,600368.SH,600368,五洲交通,路桥,2.0,10.0985,4.47,"高速公路, 一带一路, 东盟博览会, 广西, "
7,300042.SZ,300042,朗科科技,电脑设备,2.0,10.0289,15.25,"高质押率, 高送转, 知识产权, "
8,300510.SZ,300510,金冠股份,电气设备,1.0,9.9634,12.03,"智能仪表, 锂电池, 新能源汽车, 股权转让, 国资入股, 资产重组, 充电桩, "
9,300772.SZ,300772,N运达,电气设备,1.0,10.0106,10.33,
10,000043.SZ,000043,中航善达,房产服务,1.0,9.9602,11.04,"央企改革, 军工研究所, 业绩预增, 军工, 房地产, "
11,600099.SH,600099,林海股份,摩托车,1.0,9.9631,8.94,"央企改革, 乡村振兴, "
12,600287.SH,600287,江苏舜天,商贸代理,1.0,10.0639,6.89,"参股券商, 期货概念, "
13,600332.SH,600332,白云山,中成药,1.0,10.0,44.77,"MSCI, 阿里巴巴概念股, 高送转-预期, 业绩预增, 饮料, 保健品, 食品, 医药, 中药, 创新药, 化学药, 疫苗, 流感, "
14,600512.SH,600512,腾达建设,建筑施工,1.0,10.0,3.08,"大基建, 低价股, 举牌股, "
15,603383.SH,603383,顶点软件,软件服务,1.0,10.0,99.88,"高价股, 数字中国, 互联网金融, 国产软件, 知识产权, 强势人气股, "
16,300475.SZ,300475,聚隆科技,专用机械,1.0,9.902,11.21,"智能制造, 机器人, "
17,300338.SZ,300338,开元股份,文教休闲,1.0,10.0,12.65,"教育, 社保重仓, 智能仪表, "
18,300404.SZ,300404,博济医药,医疗保健,1.0,9.9554,22.2,"医药, 创新药, "
19,300242.SZ,300242,佳云科技,互联网,1.0,9.9792,5.29,"百度概念股, 小米概念股, "
20,300238.SZ,300238,冠昊生物,医疗保健,1.0,9.9799,21.93,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, "
21,300119.SZ,300119,瑞普生物,生物制药,1.0,10.0,18.15,"动物保健, "
22,300069.SZ,300069,金利华电,电气设备,1.0,10.0075,14.62,"特高压, 燃料电池, 影视, "
23,002708.SZ,002708,光洋股份,汽车配件,1.0,10.0,9.02,"汽车零部件, 股权转让, 壳公司, 创投, "
24,002417.SZ,002417,深南股份,多元金融,1.0,10.0228,9.66,"供应链金融, 互联网金融, 大数据, 云计算, "
25,002164.SZ,002164,宁波东力,电气设备,1.0,10.0295,3.73,"风电, 定增破发, "
26,002127.SZ,002127,南极电商,互联网,1.0,10.0,12.1,"MSCI, 回购, 新零售, 业绩预增, "
27,002020.SZ,002020,京新药业,化学制药,1.0,9.9813,11.79,"回购, 参股券商, 医药, 化学药, 迈瑞医疗概念股, "
28,000999.SZ,000999,华润三九,中成药,1.0,9.9853,29.85,"高股息, MSCI, 央企改革, 社保重仓, 业绩预增, 保健品, 食品, 医药, 中药, 流感, "
29,603508.SH,603508,思维列控,软件服务,1.0,9.9935,50.74,"回购, 无人机, 高铁轨交, 资产重组, "
