,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,605358.SH,605358,立昂微,半导体,35.82,15.0,3.0,21.0,14.54,,0.0
1,003010.SZ,003010,若羽臣,互联网,42.67,8.0,3.0,11.0,12.98,,0.0
2,003009.SZ,003009,中天火箭,航空,36.3,8.0,3.0,11.0,14.1,,0.0
3,605111.SH,605111,新洁能,半导体,50.8,7.0,3.0,10.0,12.85,,0.0
4,605136.SH,605136,丽人丽妆,其他商业,28.36,6.0,3.0,9.0,11.35,,0.0
5,300722.SZ,300722,新余国科,专用机械,90.02,7.0,3.0,9.0,32.77,"中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金
中国国际金融香港资产管理有限公司-客户资金2
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",4.0
6,605018.SH,605018,长华股份,汽车配件,22.54,6.0,3.0,9.0,9.39,,0.0
7,605099.SH,605099,共创草坪,文教休闲,27.41,4.0,2.0,7.0,10.99,,0.0
8,300062.SZ,300062,中能电气,电气设备,12.76,3.0,3.0,6.0,24.75,,0.0
9,002132.SZ,002132,恒星科技,钢加工,5.28,6.0,2.0,6.0,66.18,"河南克瑞德资产管理有限公司-恒盈1号私募证券投资基金
上海融儒资产管理有限公司-融儒价值2号私募证券投资基金
上海般胜投资管理有限公司-般胜进取1号私募证券投资基金",3.0
10,605338.SH,605338,巴比食品,食品,22.17,3.0,3.0,6.0,13.75,,0.0
11,003001.SZ,003001,中岩大地,建筑工程,47.77,2.0,2.0,5.0,11.61,,0.0
12,300018.SZ,300018,中元股份,电气设备,10.85,3.0,2.0,5.0,42.48,中央汇金资产管理有限责任公司,1.0
13,300675.SZ,300675,建科院,建筑工程,30.21,4.0,2.0,4.0,44.31,,0.0
14,300064.SZ,300064,豫金刚石,矿物制品,6.6,6.0,1.0,4.0,42.16,,0.0
15,300713.SZ,300713,英可瑞,电气设备,28.1,2.0,2.0,4.0,18.07,深圳科乐投资管理企业(有限合伙)-科乐长虹私募证券投资基金,1.0
16,002759.SZ,002759,天际股份,家用电器,14.97,5.0,2.0,3.0,60.2,,0.0
