,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,circ_mv
3072,601700.SH,风范股份,电气设备,5.0,-23.96,9.88,1119633.216
819,002358.SZ,森源电气,电气设备,2.0,-23.08,15.64,1423905.1379
705,002243.SZ,通产丽星,塑料,5.0,-22.23,20.91,763108.267
2785,600776.SH,东方通信,通信设备,5.0,-20.82,36.44,3483664.2332
1317,002870.SZ,香山股份,电器仪表,5.0,-20.72,25.64,102867.68
1968,300587.SZ,天铁股份,橡胶,5.0,-19.81,23.45,98874.2892
2201,600086.SH,东方金钰,服饰,5.0,-19.42,6.39,675323.9652
1877,300492.SZ,山鼎设计,建筑施工,5.0,-18.95,24.75,72634.7531
2638,600614.SH,鹏起科技,综合类,5.0,-16.32,6.45,974909.5394
3534,603888.SH,新华网,互联网,5.0,-15.95,21.65,382057.5067
1598,300211.SZ,亿通科技,通信设备,5.0,-15.11,6.97,129435.7438
195,000622.SZ,恒立实业,汽车配件,5.0,-14.56,8.02,341031.252
1506,300118.SZ,东方日升,半导体,5.0,-13.15,9.23,629984.9692
1809,300424.SZ,航新科技,航空,0.0,-12.89,19.32,304750.4825
1967,300586.SZ,美联新材,化工原料,5.0,-12.58,14.28,87286.5
375,000890.SZ,法尔胜,钢加工,5.0,-12.12,6.03,228913.1828
1169,002711.SZ,欧浦智网,仓储物流,5.0,-11.87,4.76,499879.4815
1963,300582.SZ,英飞特,半导体,5.0,-11.87,14.91,178000.1171
1711,300324.SZ,旋极信息,软件服务,5.0,-11.28,8.2,850242.8669
3060,601619.SH,嘉泽新能,新型电力,5.0,-11.15,5.57,280591.3612
2629,600604.SH,市北高新,园区开发,5.0,-11.11,15.57,2077325.5904
2820,600816.SH,安信信托,多元金融,5.0,-10.58,7.97,3723989.7902
3566,603959.SH,百利科技,建筑施工,0.0,-10.47,19.56,291365.76
2893,600895.SH,张江高科,园区开发,5.0,-10.42,19.18,2970386.5569
3198,603099.SH,长白山,旅游景点,5.0,-10.39,10.0,266670.0
749,002288.SZ,超华科技,元器件,5.0,-10.36,6.25,500181.1763
2122,300749.SZ,顶固集创,家居用品,5.0,-10.11,37.03,105535.5
1321,002875.SZ,安奈儿,服饰,0.0,-10.08,21.96,85372.794
907,002446.SZ,盛路通信,通信设备,5.0,-10.06,9.38,507054.539
51,000068.SZ,华控赛格,元器件,5.0,-10.01,6.52,656349.7945
938,002477.SZ,雏鹰农牧,农业综合,5.0,-9.96,2.73,537994.7123
1065,002605.SZ,姚记扑克,文教休闲,0.0,-9.95,9.63,257469.8227
2610,600584.SH,长电科技,半导体,5.0,-9.91,15.9,1647104.5495
1190,002733.SZ,雄韬股份,电气设备,0.0,-9.9,22.52,736940.6471
1637,300250.SZ,初灵信息,软件服务,5.0,-9.9,15.71,218360.0987
1960,300579.SZ,数字认证,软件服务,5.0,-9.85,34.1,163768.377
2422,600340.SH,华夏幸福,区域地产,0.0,-9.56,28.74,8492516.8417
823,002362.SZ,汉王科技,电脑设备,5.0,-9.36,18.92,336582.6395
1123,002663.SZ,普邦股份,建筑施工,5.0,-9.34,3.28,409951.0985
166,000586.SZ,汇源通信,通信设备,5.0,-9.32,11.57,223810.08
2012,300633.SZ,开立医疗,医疗保健,0.0,-9.19,28.51,346832.589
1484,300096.SZ,易联众,软件服务,5.0,-9.18,11.45,431117.7805
1068,002608.SZ,江苏国信,火力发电,0.0,-9.18,9.0,485056.8873
2695,600681.SH,百川能源,供气供热,0.0,-9.18,13.26,461000.8343
1778,300393.SZ,中来股份,塑料,5.0,-9.14,22.1,266476.6397
3386,603589.SH,口子窖,白酒,0.0,-9.05,43.57,2614200.0
2389,600303.SH,曙光股份,汽车整车,5.0,-8.92,4.39,272322.3659
2169,600053.SH,九鼎投资,多元金融,5.0,-8.9,25.32,1097725.3056
2829,600825.SH,新华传媒,出版业,5.0,-8.82,6.86,716793.0651
2704,600690.SH,青岛海尔,家用电器,0.0,-8.79,15.72,9585117.0868
1468,300080.SZ,易成新能,半导体,5.0,-8.78,6.78,340346.9284
1925,300541.SZ,先进数通,软件服务,5.0,-8.74,16.97,128402.9942
2224,600112.SH,天成控股,电气设备,5.0,-8.71,4.66,237289.4582
452,000993.SZ,闽东电力,水力发电,5.0,-8.7,5.5,205150.0
1233,002779.SZ,中坚科技,农用机械,0.0,-8.66,17.9,236280.0
1448,300059.SZ,东方财富,证券,0.0,-8.64,19.3,8016282.9271
3401,603611.SH,诺力股份,运输设备,0.0,-8.62,16.2,366652.818
2792,600783.SH,鲁信创投,矿物制品,5.0,-8.57,21.98,1636101.7282
884,002423.SZ,中原特钢,特种钢,0.0,-8.52,11.94,600565.9729
2709,600695.SH,绿庭投资,多元金融,5.0,-8.47,5.82,213283.8825
790,002329.SZ,皇氏集团,乳制品,5.0,-8.45,4.29,222491.8933
1994,300615.SZ,欣天科技,元器件,5.0,-8.37,22.17,89389.44
2057,300679.SZ,电连技术,元器件,5.0,-8.36,35.4,357607.6034
102,000503.SZ,国新健康,医疗保健,0.0,-8.33,18.95,1703268.0766
1710,300323.SZ,华灿光电,半导体,5.0,-8.32,10.15,712949.8202
2294,600192.SH,长城电工,电气设备,0.0,-8.29,6.21,274325.508
