,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002550.SZ,002550,千红制药,生物制药,True,5.59,0.0,1.0,50.92,香港中央结算有限公司(陆股通),1.0
1,000518.SZ,000518,四环生物,生物制药,True,5.95,2.0,1.0,61.26,,0.0
2,000790.SZ,000790,华神科技,中成药,True,6.03,3.0,2.0,37.14,,0.0
3,600381.SH,600381,青海春天,医疗保健,True,6.09,0.0,1.0,35.75,,0.0
4,000908.SZ,000908,景峰医药,化学制药,True,7.69,0.0,3.0,55.13,"华菱津杉(天津)产业投资管理有限公司-华菱津杉-融创未来资产管理计划
中国长城资产管理股份有限公司
平江县国有资产管理局",3.0
5,300006.SZ,300006,莱美药业,化学制药,True,7.76,1.0,2.0,52.1,中国对外经济贸易信托有限公司-外贸信托-汇沣8号结构化证券投资集合资金信托计划,1.0
6,600613.SH,600613,神奇制药,中成药,True,7.88,3.0,1.0,37.77,,0.0
7,300255.SZ,300255,常山药业,生物制药,True,7.96,0.0,2.0,54.25,"珠海保联资产管理有限公司
中国建设银行股份有限公司-长城量化小盘股票型证券投资基金",2.0
8,002173.SZ,002173,创新医疗,医疗保健,True,8.0,2.0,3.0,29.67,,0.0
9,600351.SH,600351,亚宝药业,中成药,True,8.38,0.0,4.0,64.53,"山西省科技基金发展有限公司
中央汇金资产管理有限责任公司",2.0
10,002788.SZ,002788,鹭燕医药,医药商业,True,10.5,3.0,1.0,33.37,"华泰证券股份有限公司-中庚价值领航混合型证券投资基金
广发证券股份有限公司-中庚小盘价值股票型证券投资基金
中信期货-招商银行-中信期货广发择时对冲2号集合资产管理计划
中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
平安银行股份有限公司-中庚价值灵动灵活配置混合型证券投资基金",5.0
11,000534.SZ,000534,万泽股份,生物制药,True,12.16,0.0,1.0,59.77,"九泰基金-浦发银行-九泰基金-恒胜新动力分级1号资产管理计划
云南国际信托有限公司-聚信5号集合资金信托计划
华润深国投信托有限公司-润之信13期集合资金信托计划",3.0
12,603676.SH,603676,卫信康,化学制药,True,12.3,2.0,1.0,52.03,银河资本-郭旭-银河资本-新兴一号单一资产管理计划,1.0
13,300318.SZ,300318,博晖创新,医疗保健,True,13.9,0.0,4.0,100.71,中央汇金资产管理有限责任公司,1.0
14,002826.SZ,002826,易明医药,中成药,True,14.25,3.0,2.0,19.05,,0.0
15,300030.SZ,300030,阳普医疗,医疗保健,True,14.99,3.0,1.0,38.13,"长安基金-光大银行-长安睿享2号分级资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
中央汇金资产管理有限责任公司",3.0
16,300358.SZ,300358,楚天科技,医疗保健,True,15.49,2.0,1.0,70.85,"湖南省资产管理有限公司
中投天琪期货-浙商金汇信托股份有限公司-浙金·浦发-津杉-国泰定增1号集合资金信托计划
西藏德传投资管理有限公司-德传附子证券投资基金
鹏华资产-兴业银行-鹏华资产德传医疗资产管理计划
中央汇金资产管理有限责任公司",5.0
17,600299.SH,600299,安迪苏,化学制药,True,15.9,1.0,1.0,426.42,"江苏聚合创意新兴产业投资基金(有限合伙)
中国银行股份有限公司-富国中证国企一带一路交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-易方达中证国企一带一路交易型开放式指数证券投资基金
蓝星集团-国泰君安-19蓝星EB担保及信托财产专户
易方达基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托
易方达基金-工商银行-易方达基金臻选2号资产管理计划",7.0
18,002793.SZ,002793,罗欣药业,化学制药,True,16.65,1.0,1.0,41.45,,0.0
19,603108.SH,603108,润达医疗,医药商业,True,17.13,1.0,1.0,99.27,"香港中央结算有限公司(陆股通)
西藏博恩资产管理有限公司-博恩添富7号私募证券投资基金",2.0
