,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,601388.SH,601388,怡球资源,铝,2.4,0.0,1.0,48.61,,0.0
1,600162.SH,600162,香江控股,全国地产,2.41,0.0,1.0,81.84,"前海开源基金-浦发银行-中融国际信托-中融-融珲62号单一资金信托
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
深圳市香江股权投资管理有限公司-香江汇通一期证券投资基金
香港中央结算有限公司(陆股通)",4.0
2,002610.SZ,002610,爱康科技,电气设备,2.49,3.0,2.0,109.22,中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金,1.0
3,600331.SH,600331,宏达股份,铅锌,2.64,3.0,1.0,53.64,,0.0
4,300185.SZ,300185,通裕重工,工程机械,2.87,1.0,1.0,83.75,中央汇金资产管理有限责任公司,1.0
5,600187.SH,600187,国中水务,水务,2.92,0.0,2.0,48.29,"中央汇金资产管理有限责任公司
上海方圆达创投资合伙企业(有限合伙)-方圆-东方11号私募投资基金",2.0
6,002172.SZ,002172,澳洋健康,化纤,3.01,1.0,1.0,23.25,,0.0
7,600077.SH,600077,宋都股份,全国地产,3.48,2.0,1.0,46.64,云南国际信托有限公司-苍穹1号单一资金信托,1.0
8,601016.SH,601016,节能风电,新型电力,3.49,0.0,2.0,145.03,"全国社会保障基金理事会
华宝信托有限责任公司
全国社会保障基金理事会转持二户
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
华安基金-兴业银行-广西铁路发展投资基金(有限合伙)
香港中央结算有限公司(陆股通)",6.0
9,601619.SH,601619,嘉泽新能,新型电力,3.55,1.0,2.0,68.62,"领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",3.0
10,000521.SZ,000521,长虹美菱,家用电器,3.58,2.0,1.0,31.24,"财通基金-宁波银行-海通兴泰(安徽)新兴产业投资基金(有限合伙)
中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
华泰证券股份有限公司-中庚价值领航混合型证券投资基金",3.0
11,000791.SZ,000791,甘肃电投,水力发电,3.62,2.0,1.0,49.22,,0.0
12,600139.SH,600139,西部资源,综合类,3.65,0.0,1.0,24.16,,0.0
13,000573.SZ,000573,粤宏远A,区域地产,3.76,0.0,2.0,23.79,中国建设银行股份有限公司-长城量化小盘股票型证券投资基金,1.0
14,600063.SH,600063,皖维高新,化纤,3.96,1.0,1.0,76.27,"中国农业银行股份有限公司-富国中证500指数增强型证券投资基金(LOF)
安徽中安资本管理有限公司-中安定增利1号私募投资基金
易方达基金-工商银行-易方达基金臻选2号资产管理计划
全国社保基金四一二组合
基本养老保险基金九零二组合",5.0
15,002285.SZ,002285,世联行,房产服务,4.03,2.0,2.0,81.19,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",3.0
16,600386.SH,600386,北巴传媒,汽车服务,4.18,0.0,1.0,33.71,,0.0
17,600163.SH,600163,中闽能源,新型电力,4.19,0.0,1.0,41.88,海峡产业投资基金(福建)有限合伙企业,1.0
18,300337.SZ,300337,银邦股份,铝,4.2,1.0,1.0,29.75,,0.0
19,600490.SH,600490,鹏欣资源,铜,4.33,1.0,1.0,72.69,,0.0
