code,name,outstanding,p_change_range0,p_change_range1,normalizing_std1,stop_mark
002708,光洋股份,2.4,2.36,122.972,0.235,
601319,中国人保,10.11,0.72,108.066,0.141,
600604,市北高新,13.34,-4.15,82.294,0.224,
600825,新华传媒,10.45,-9.91,65.636,0.204,
002549,凯美特气,6.2,9.97,59.745,0.138,
002337,赛象科技,5.88,-6.04,55.512,0.171,
000068,华控赛格,10.07,-4.18,52.331,0.174,
002288,超华科技,8.0,10.08,48.951,0.096,
600783,鲁信创投,7.44,-0.62,47.443,0.148,
002865,钧达股份,0.38,9.99,44.109,0.121,
002941,N新交建,0.65,44.01,44.01,0.0,
600634,*ST富控,5.76,-0.59,43.182,0.115,
002591,恒大高新,1.82,2.83,42.273,0.116,
002575,群兴玩具,5.89,-9.98,41.714,0.086,
002761,多喜爱,2.03,8.36,40.695,0.105,
000917,电广传媒,12.95,-6.85,38.772,0.122,
000856,冀东装备,2.27,-1.99,36.023,0.134,
601177,杭齿前进,4.0,3.43,34.99,0.097,
600807,*ST天业,7.87,2.31,34.783,0.104,
600776,东方通信,9.56,10.0,34.074,0.08,
600082,海泰发展,6.34,-8.39,33.827,0.09,
000058,深 赛 格,5.38,-9.83,33.397,0.149,
000521,长虹美菱,8.03,3.65,32.68,0.077,
002509,天广中茂,19.48,6.91,32.463,0.079,
002755,东方新星,1.72,6.05,32.297,0.081,
002194,*ST凡谷,5.3,4.99,31.961,0.102,
002504,弘高创意,4.15,0.52,31.744,0.083,
000503,国新健康,8.99,1.21,31.482,0.091,
000571,新大洲Ａ,8.06,9.97,31.422,0.088,
600635,大众公用,24.19,-10.05,30.575,0.148,
002181,粤 传 媒,11.34,-3.79,30.514,0.092,
600235,民丰特纸,3.51,-3.8,30.311,0.134,
002837,英维克,0.68,4.25,29.182,0.087,
000610,西安旅游,2.35,-4.4,28.109,0.167,
600538,国发股份,4.64,-10.02,27.947,0.118,
600316,洪都航空,7.17,-0.28,27.221,0.119,
600715,文投控股,12.84,-2.65,27.217,0.085,
600080,金花股份,3.05,0.54,27.143,0.12,
600831,广电网络,5.63,10.05,27.063,0.056,
002796,世嘉科技,0.3,3.83,26.896,0.095,
600172,黄河旋风,11.69,1.5,26.463,0.065,
002346,柘中股份,3.92,-3.27,26.344,0.144,
002812,恩捷股份,1.27,8.38,25.986,0.05,
600898,国美通讯,2.53,-3.43,25.628,0.086,
002231,奥维通信,3.06,2.21,24.579,0.057,
002184,海得控制,1.36,10.03,24.364,0.056,
002925,盈趣科技,0.75,4.03,24.348,0.064,
002071,长城影视,5.18,3.39,24.2,0.074,
600817,ST宏盛,1.56,5.0,23.718,0.045,
000061,农 产 品,16.95,1.62,23.717,0.086,
002606,大连电瓷,4.04,-1.34,23.54,0.073,
000592,平潭发展,19.14,-4.91,23.491,0.073,
002488,金固股份,7.68,0.77,22.997,0.08,
600130,波导股份,7.68,10.06,22.762,0.052,
002407,多氟多,5.44,1.62,22.726,0.101,
002495,佳隆股份,6.82,-2.98,22.548,0.097,
000038,深大通,1.8,-4.4,22.54,0.079,
002686,亿利达,3.28,-2.32,22.35,0.077,
002594,比亚迪,11.42,0.7,22.029,0.047,
002605,姚记扑克,2.67,2.18,22.02,0.058,
600310,桂东电力,8.28,1.15,21.538,0.062,
600864,哈投股份,15.78,2.65,21.506,0.088,
002513,蓝丰生化,2.54,2.72,21.505,0.073,
002113,天润数娱,8.05,6.64,21.265,0.063,
002531,天顺风能,17.69,4.26,21.19,0.056,
600128,弘业股份,2.47,-9.09,21.128,0.11,
000652,泰达股份,14.74,-5.29,20.983,0.108,
002011,盾安环境,8.41,1.46,20.829,0.061,
002580,圣阳股份,2.98,-0.17,20.772,0.064,
002741,光华科技,3.21,2.33,20.705,0.063,
002055,得润电子,4.26,-0.41,20.676,0.072,
000605,渤海股份,2.73,-3.37,20.599,0.066,
002547,春兴精工,7.98,-1.47,20.372,0.056,
000533,万 家 乐,6.85,-1.18,19.993,0.108,
002856,美芝股份,0.3,2.5,19.925,0.054,
600874,创业环保,10.87,-0.46,19.913,0.076,
600463,空港股份,3.0,-1.76,19.671,0.107,
000018,神州长城,13.35,-2.34,19.619,0.093,
600733,北汽蓝谷,3.97,0.79,19.612,0.065,
600895,张江高科,15.49,-4.7,19.52,0.098,
000409,*ST地矿,4.06,4.92,19.46,0.032,
600742,一汽富维,5.08,-3.6,19.455,0.075,
000806,银河生物,6.98,1.07,19.452,0.051,
002446,盛路通信,4.22,2.73,19.389,0.049,
600624,复旦复华,6.85,-1.49,19.343,0.074,
000156,华数传媒,12.8,9.98,19.337,0.052,
600171,上海贝岭,6.74,-6.0,19.068,0.075,
000793,华闻传媒,19.18,3.0,18.914,0.065,
002168,深圳惠程,7.84,0.0,18.775,0.049,
002679,福建金森,2.36,-3.12,18.753,0.075,
002619,艾格拉斯,13.97,1.7,18.695,0.085,
002527,新时达,4.22,-2.67,18.679,0.06,
600386,北巴传媒,8.06,-7.37,18.532,0.08,
002226,江南化工,9.11,0.0,18.477,0.073,
000897,津滨发展,16.17,-3.5,18.459,0.057,
002175,东方网络,5.24,3.05,18.366,0.047,
002570,*ST因美,10.22,-0.37,18.363,0.057,
002441,众业达,3.93,2.17,18.362,0.05,
000811,冰轮环境,6.53,3.42,18.327,0.054,
002886,沃特股份,0.5,-7.44,18.195,0.09,
002072,凯瑞德,1.69,1.38,18.176,0.066,
002670,国盛金控,6.28,0.73,18.103,0.095,
600446,金证股份,8.35,3.07,18.038,0.076,
002102,ST冠福,19.92,-3.12,17.941,0.053,
002094,青岛金王,6.01,-3.26,17.897,0.059,
002562,兄弟科技,4.98,-1.66,17.618,0.076,
002571,德力股份,2.53,-2.64,17.56,0.086,
000936,华西股份,8.85,-5.58,17.554,0.071,
600701,*ST工新,7.76,0.0,17.527,0.048,
002767,先锋电子,1.24,-1.48,17.525,0.042,
000668,荣丰控股,1.47,-2.06,17.516,0.074,
000905,厦门港务,5.31,-0.55,17.514,0.054,
600530,交大昂立,7.8,5.89,17.426,0.033,
002592,八菱科技,2.09,3.69,17.425,0.065,
000839,中信国安,39.19,10.06,17.253,0.044,
002061,浙江交科,5.59,1.35,17.249,0.04,
002711,欧浦智网,10.5,3.64,17.225,0.137,
000779,三毛派神,1.86,3.13,17.224,0.058,
002141,贤丰控股,6.37,-2.17,17.221,0.13,
002089,新 海 宜,9.8,2.55,17.19,0.067,
600088,中视传媒,3.98,7.55,17.176,0.043,
002801,微光股份,0.29,2.41,17.174,0.05,
002370,亚太药业,4.07,-1.29,17.165,0.072,
002105,信隆健康,3.69,2.2,17.164,0.039,
002602,世纪华通,12.77,0.6,17.061,0.043,
002012,凯恩股份,4.67,3.61,17.025,0.053,
600505,西昌电力,3.65,-1.48,16.953,0.052,
600551,时代出版,5.06,-0.11,16.814,0.053,
002786,银宝山新,1.37,-0.43,16.746,0.093,
000023,深天地Ａ,1.39,1.99,16.73,0.047,
601113,华鼎股份,8.33,-2.06,16.727,0.069,
600289,*ST信通,5.66,0.75,16.451,0.038,
000722,湖南发展,4.64,10.02,16.373,0.048,
002467,二六三,6.46,5.44,16.367,0.034,
600070,浙江富润,4.02,2.44,16.308,0.06,
002355,兴民智通,3.9,-0.13,16.28,0.063,
002472,双环传动,5.5,-6.24,16.153,0.087,
600729,重庆百货,4.06,1.21,16.132,0.054,
600368,五洲交通,11.26,1.1,16.13,0.04,
600209,*ST罗顿,4.39,2.27,16.116,0.042,
000691,亚太实业,2.9,0.67,16.059,0.084,
600800,天津磁卡,6.11,-2.62,15.974,0.039,
000665,湖北广电,6.36,9.97,15.922,0.037,
600743,华远地产,23.46,0.76,15.774,0.049,
002143,印纪传媒,9.74,1.7,15.767,0.062,
002238,天威视讯,6.17,9.97,15.751,0.04,
600730,中国高科,5.87,0.0,15.731,0.054,
002423,中原特钢,5.03,3.3,15.664,0.059,
600247,*ST成城,3.36,-4.23,15.544,0.101,
002616,长青集团,4.59,-1.05,15.51,0.061,
002649,博彦科技,4.17,-0.6,15.437,0.049,
002042,华孚时尚,15.18,0.52,15.394,0.048,
600212,江泉实业,5.12,0.0,15.378,0.078,
002517,恺英网络,8.74,-1.06,15.355,0.06,
000007,全新好,3.09,-1.82,15.228,0.087,
002177,御银股份,6.45,-2.73,15.226,0.104,
002103,广博股份,3.74,2.4,15.212,0.037,
600200,江苏吴中,7.15,1.32,15.21,0.05,
002457,青龙管业,3.34,-1.92,15.204,0.058,
600557,康缘药业,5.99,3.1,15.203,0.041,
002219,恒康医疗,18.65,2.09,15.184,0.027,
002034,旺能环境,1.43,4.7,15.094,0.058,
002403,爱仕达,2.93,-2.69,15.014,0.066,
002162,悦心健康,8.54,0.58,15.011,0.043,
002342,巨力索具,8.81,-2.84,14.984,0.08,
002192,融捷股份,2.37,-1.85,14.98,0.05,
002037,久联发展,3.27,0.12,14.979,0.037,
002124,天邦股份,10.58,1.21,14.933,0.055,
002518,科士达,5.58,3.75,14.89,0.037,
002451,摩恩电气,4.16,0.96,14.866,0.127,
002897,意华股份,0.67,3.43,14.806,0.04,
