,ts_code,symbol,name,industry,COL_MAX_CONTINUOUS_LIMIT_COUNT,COL_LAST_IF_LIMIT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,000820.SZ,000820,*ST节能,环境保护,5.0,False,12.97,"陕西省国际信托股份有限公司-陕国投·持盈88号证券投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·聚宝盆30号证券投资集合资金信托计划",2.0
1,600078.SH,600078,*ST澄星,化工原料,5.0,False,15.64,,0.0
2,000980.SZ,000980,*ST众泰,汽车配件,4.0,False,72.64,"中意资产-招商银行-中意资产-招商银行-定增精选6号资产管理产品
烟台速源股权投资基金合伙企业(有限合伙)
长城(德阳)长富投资基金合伙企业(有限合伙)",3.0
3,600122.SH,600122,ST宏图,其他商业,4.0,False,20.39,云南国际信托有限公司-聚利19号单一资金信托,1.0
4,600816.SH,600816,ST安信,多元金融,4.0,False,135.82,"上海方圆达创投资合伙企业(有限合伙)-方圆-东方8号私募投资基金
上海方圆达创投资合伙企业(有限合伙)-方圆-东方43号私募投资基金",2.0
5,002256.SZ,002256,*ST兆新,新型电力,3.0,False,33.11,"上海隆升资产管理有限公司
中融国际信托有限公司
深圳市汇通正源股权投资基金合伙企业(有限合伙)",3.0
6,002684.SZ,002684,*ST猛狮,电气设备,3.0,False,14.86,"深圳前海易德资本优势股权投资基金合伙企业(有限合伙)
宁波致云股权投资基金管理有限公司
深圳前海易德顺升股权投资基金合伙企业(有限合伙)",3.0
7,600615.SH,600615,*ST丰华,小金属,3.0,False,13.45,"重庆国际信托股份有限公司-兴国1号集合资金信托计划
重庆国际信托股份有限公司-鸿睿一号集合资金信托计划",2.0
8,601020.SH,601020,ST华钰,铅锌,3.0,False,38.32,"海通证券资管-海通证券股份有限公司-证券行业支持民企发展系列之海通证券资管1号FOF单一资产管理计划
交通银行股份有限公司-前海开源沪港深核心资源灵活配置混合型证券投资基金",2.0
9,603157.SH,603157,*ST拉夏,服饰,3.0,False,4.02,,0.0
