,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_FLOAT_HOLDERS
0,002496.SZ,002496,*ST辉丰,农药化肥,True,2.88,True,False,
1,600488.SH,600488,天药股份,化学制药,True,5.23,True,True,"中央汇金资产管理有限责任公司
广州德福投资咨询合伙企业(有限合伙)-广州德福股权投资基金合伙企业(有限合伙)
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)"
2,300261.SZ,300261,雅本化学,农药化肥,True,5.93,True,True,"金元顺安基金-中信银行-中诚信托-2017年中信银行组合投资单一资金信托
金鹰基金-中信银行-华宝信托-华宝-中信1号单一资金信托
华商基金-浙商银行-上海爱建信托-爱建信托欣欣14号定向增发事务管理类单一资金信托
中央汇金资产管理有限责任公司
金元顺安基金-中信银行-中诚信托-2017年中信银行组合投资单一资金信托
金鹰基金-中信银行-华宝信托-华宝-中信1号单一资金信托
华商基金-浙商银行-上海爱建信托-爱建信托欣欣14号定向增发事务管理类单一资金信托
中央汇金资产管理有限责任公司"
3,000813.SZ,000813,德展健康,化学制药,True,6.38,True,True,"北京凯世富乐资产管理股份有限公司-凯世富乐稳健9号私募证券投资基金
北京凯世富乐资产管理股份有限公司-凯世富乐稳健11号私募证券投资基金"
4,002539.SZ,002539,云图控股,农药化肥,True,6.88,True,False,"全国社保基金六零四组合
全国社保基金四零一组合"
5,603669.SH,603669,灵康药业,化学制药,True,8.16,True,True,香港中央结算有限公司(陆股通)
6,300412.SZ,300412,迦南科技,医疗保健,True,8.42,True,True,"北信瑞丰基金-平安银行-北信瑞丰基金浙商汇融5号资产管理计划
中央汇金资产管理有限责任公司"
7,000989.SZ,000989,九芝堂,中成药,True,9.49,True,True,"绵阳科技城产业投资基金(有限合伙)
鹏华资产管理-浦发银行-鹏华资产金润18号资产管理计划
香港中央结算有限公司(陆股通)
鹏华资产-浦发银行-鹏华资产金润28号资产管理计划
鹏华资产-浦发银行-鹏华资产金润25号资产管理计划
鹏华资产-浦发银行-鹏华资产金润21号资产管理计划"
8,002524.SZ,002524,光正集团,医疗保健,True,9.57,True,True,稷定资产管理(嘉兴)有限公司-稷定健康私募证券投资基金
9,000534.SZ,000534,万泽股份,生物制药,True,9.71,True,True,"九泰基金-浦发银行-九泰基金-恒胜新动力分级1号资产管理计划
云南国际信托有限公司-聚信5号集合资金信托计划
华润深国投信托有限公司-润之信13期集合资金信托计划"
10,600624.SH,600624,复旦复华,化学制药,True,9.76,True,False,
11,600833.SH,600833,第一医药,医药商业,True,10.96,True,True,
12,000931.SZ,000931,中关村,生物制药,True,11.05,True,True,"北京天鑫财富投资管理有限公司-天鑫医药价值成长1号私募证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)"
13,002749.SZ,002749,国光股份,农药化肥,True,13.22,True,True,"中国工商银行-广发稳健增长证券投资基金
基本养老保险基金八零五组合"
14,002044.SZ,002044,美年健康,医疗保健,True,13.6,True,False,"上海天亿资产管理有限公司
云南国际信托有限公司-云南信托-云起3号集合资金信托计划
香港中央结算有限公司(陆股通)
全国社保基金一一七组合
上海国盛资本管理有限公司-上海国盛海通股权投资基金合伙企业(有限合伙)"
15,002734.SZ,002734,利民股份,农药化肥,True,14.35,True,True,"全国社保基金五零二组合
深圳中盛长宏投资管理有限公司-中盛永成私募证券投资基金"
16,603880.SH,603880,南卫股份,医疗保健,True,15.52,True,True,
17,300171.SZ,300171,东富龙,医疗保健,True,16.16,True,True,汇添富基金管理股份有限公司-社保基金一五零二组合
18,600380.SH,600380,健康元,化学制药,True,16.34,True,True,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金
基本养老保险基金一六零一一组合
全国社保基金一零八组合
博时基金管理有限公司-社保基金四一九组合
全国社保基金五零二组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金一零八组合
全国社保基金五零二组合
博时基金管理有限公司-社保基金四一九组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实医疗保健股票型证券投资基金
基本养老保险基金一六零一一组合"
19,300149.SZ,300149,量子生物,生物制药,True,18.28,True,True,香港中央结算有限公司(陆股通)
20,300562.SZ,300562,乐心医疗,医疗保健,True,19.71,True,True,"中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
中国银行股份有限公司-景顺长城优选混合型证券投资基金"
21,600216.SH,600216,浙江医药,化学制药,True,20.43,True,True,"中国工商银行股份有限公司-融通中国风1号灵活配置混合型证券投资基金
寻常(上海)投资管理有限公司-汇玖3号私募证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国银行股份有限公司-易方达医疗保健行业混合型证券投资基金"
22,300146.SZ,300146,汤臣倍健,医疗保健,True,21.2,True,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
前海开源再融资主题精选股票型证券投资基金
易方达创业板交易型开放式指数证券投资基金"
