,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT_5,COL_LOCAL_LIMIT_COUNT_10,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300108.SZ,300108,吉药控股,中成药,True,3.15,6.0,0.0,2.0,13.97,"上海国药股权投资基金合伙企业(有限合伙)
吉林省现代农业和新兴产业投资基金有限公司
汇安基金-浦发银行-江海证券有限公司",3.0
1,002162.SZ,002162,悦心健康,医疗保健,True,3.48,4.0,1.0,1.0,29.68,中央汇金资产管理有限责任公司,1.0
2,300239.SZ,300239,东宝生物,生物制药,True,5.28,5.0,0.0,1.0,26.66,"中央汇金资产管理有限责任公司
内蒙古金融资产管理有限公司
中科先行(北京)资产管理有限公司
中国华融资产管理股份有限公司",4.0
3,000518.SZ,000518,四环生物,生物制药,True,5.81,0.0,2.0,2.0,59.82,,0.0
4,002349.SZ,002349,精华制药,中成药,True,5.98,5.0,0.0,1.0,49.11,,0.0
5,002198.SZ,002198,嘉应制药,中成药,True,6.04,7.0,1.0,1.0,30.65,深圳市老虎汇资产管理有限公司,1.0
6,000950.SZ,000950,重药控股,医药商业,True,6.28,0.0,2.0,2.0,54.52,"重庆国际信托股份有限公司-兴国1号集合资金信托计划
重庆国际信托股份有限公司-渝信创新优势拾贰号集合资金信托
重庆渝富资本股权投资基金管理有限公司-重庆战略性新兴产业医药专项股权投资基金合伙企业(有限合伙)",3.0
7,300181.SZ,300181,佐力药业,中成药,True,6.92,0.0,1.0,1.0,32.1,长信基金-工商银行-长信-朗程-工行定增1号资产管理计划,1.0
8,300086.SZ,300086,康芝药业,化学制药,True,8.26,0.0,3.0,3.0,35.98,云南国际信托有限公司-聚鑫2026号集合资金信托计划,1.0
9,300199.SZ,300199,翰宇药业,化学制药,True,8.75,0.0,3.0,4.0,51.41,"红土创新基金-广发证券-中国华融资产管理股份有限公司
中央汇金资产管理有限责任公司
深圳市投控资本有限公司-深圳投控共赢股权投资基金合伙企业(有限合伙)
中国华融资产管理股份有限公司",4.0
10,300318.SZ,300318,博晖创新,医疗保健,True,9.09,0.0,3.0,3.0,65.86,中央汇金资产管理有限责任公司,1.0
11,603669.SH,603669,灵康药业,化学制药,True,10.58,0.0,1.0,1.0,75.48,香港中央结算有限公司(陆股通),1.0
12,600285.SH,600285,羚锐制药,中成药,True,10.76,3.0,0.0,1.0,61.1,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
方正证券-宁波银行-民族-羚锐小羚羊资产管理计划
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-诺安先锋混合型证券投资基金
中国建设银行股份有限公司-华夏医疗健康混合型发起式证券投资基金",5.0
