,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
2,002537.SZ,海联金汇,汽车整车,10.0443,7.45,40.18,
4,300002.SZ,神州泰岳,软件服务,9.9792,5.29,40.1,
6,000889.SZ,中嘉博创,通信设备,10.0076,14.4,39.95,
8,000615.SZ,京汉股份,全国地产,10.0239,4.61,33.36,
10,600303.SH,曙光股份,汽车整车,9.9196,4.1,30.13,
14,300540.SZ,深冷股份,专用机械,10.0186,17.79,30.05,
17,603991.SH,至正股份,塑料,10.0043,25.51,30.03,
18,002581.SZ,未名医药,生物制药,9.993,15.74,30.02,
20,603676.SH,卫信康,化学制药,10.0083,13.19,30.01,
23,000633.SZ,合金投资,综合类,10.0515,4.27,29.99,
25,600527.SH,江南高纤,化纤,9.8684,3.34,29.97,
29,002400.SZ,省广集团,广告包装,9.9432,3.87,29.91,
51,000678.SZ,襄阳轴承,机械基件,10.0787,6.99,20.1,
66,300792.SZ,壹网壹创,互联网,10.0008,278.28,20.0,
67,002370.SZ,亚太药业,化学制药,9.9631,5.96,19.98,上海华富利得资产-民生银行-富鼎6号专项资产管理计划
74,002553.SZ,南方轴承,汽车配件,9.9638,6.07,19.92,华泰证券资管-南京银行-华泰家园10号集合资产管理计划
110,600530.SH,交大昂立,医疗保健,9.915,3.88,16.01,
111,300334.SZ,津膜科技,专用机械,10.0396,8.33,15.89,
123,300432.SZ,富临精工,汽车配件,10.0,10.12,15.29,
177,000663.SZ,永安林业,林业,10.1176,4.68,10.12,
183,600683.SH,京投发展,区域地产,10.0756,4.37,10.08,泰康资产管理有限责任公司-泰康资产-积极配置投资产品
195,002412.SZ,汉森制药,中成药,10.0592,9.3,10.06,
234,300338.SZ,开元股份,文教休闲,10.0248,8.89,10.02,
241,002444.SZ,巨星科技,轻工机械,10.0101,10.88,10.01,
244,600829.SH,人民同泰,医药商业,10.0137,8.02,10.01,
252,300693.SZ,盛弘股份,电气设备,10.0,16.83,10.0,
254,600126.SH,杭钢股份,普钢,10.0,7.92,10.0,上海浦东发展银行股份有限公司-中证长三角一体化发展主题交易型开放式指数证券投资基金
277,300165.SZ,天瑞仪器,电器仪表,10.0,4.84,10.0,
282,300452.SZ,山河药辅,化学制药,9.9942,19.04,9.99,
284,300049.SZ,福瑞股份,医疗保健,9.9872,8.59,9.99,
299,603121.SH,华培动力,汽车配件,9.9751,17.64,9.98,香港中央结算有限公司(陆股通)
307,000757.SZ,浩物股份,汽车配件,9.9778,4.96,9.98,
316,600168.SH,武汉控股,水务,9.9602,8.28,9.96,
350,300558.SZ,贝达药业,化学制药,9.1523,88.97,9.15,
