,ts_code,symbol,name,industry,COL_MA,COL_LASTPRICE,COL_MA_CLOSE_GAP,COL_MA_10,COL_MA_20,COL_MA_GAP,concept
0,600741.SH,600741,华域汽车,汽车配件,23.61,23.62,0.04,24.43,23.61,3.47,"安邦系, 高股息, 白马股, MSCI, 蔚来汽车概念股, 参股券商, 汽车零部件, 无人驾驶, 上海国企改革, 工业互联网, 科创板概念股, "
1,603839.SH,603839,安正时尚,服饰,13.03,13.04,0.08,13.05,13.03,0.15,"二胎, 回购, 纺织服装, "
2,603186.SH,603186,华正新材,元器件,31.26,31.3,0.13,31.82,31.26,1.79,"5G, 锂电池, 新能源汽车, "
3,600241.SH,600241,时代万恒,商贸代理,7.49,7.5,0.13,7.72,7.49,3.07,"中韩自贸区, 定增破发, 锂电池, 新能源汽车, 自贸区, 资产重组, "
4,000627.SZ,000627,天茂集团,保险,7.33,7.34,0.14,7.59,7.33,3.55,"保险, MSCI, "
5,000550.SZ,000550,江铃汽车,汽车整车,27.3,27.34,0.15,28.06,27.3,2.78,"高股息, 新能源整车, 汽车整车, 军工研究所, 重卡, 军工, 新能源汽车, "
6,300142.SZ,300142,沃森生物,生物制药,27.18,27.22,0.15,27.29,27.18,0.4,"MSCI, 新进指数成份股, 医药, 创新药, 疫苗, 创业板人气股, "
7,002045.SZ,002045,国光电器,元器件,6.23,6.24,0.16,6.27,6.23,0.64,"定增破发, 家电, 锂电池, 新能源汽车, 智能音箱, 苹果产业链, 黑色家电, "
8,601229.SH,601229,上海银行,银行,12.48,12.5,0.16,12.69,12.48,1.68,"银行, MSCI, 破净股, "
9,000632.SZ,000632,三木集团,综合类,5.27,5.28,0.19,5.57,5.27,5.69,"福建自贸区, 房地产, 举牌股, 自贸区, "
10,600566.SH,600566,济川药业,中成药,36.75,36.83,0.22,37.17,36.75,1.14,"MSCI, 新进指数成份股, 二胎, 社保重仓, 医药, 中药, 流感, "
11,300153.SZ,300153,科泰电源,电气设备,9.13,9.15,0.22,9.28,9.13,1.64,"新能源整车, 华为产业链, 新能源汽车, "
12,002374.SZ,002374,丽鹏股份,建筑施工,3.79,3.8,0.26,3.83,3.79,1.06,"园林, PPP, 股权转让, 包装印刷, "
13,002200.SZ,002200,*ST云投,环境保护,7.64,7.66,0.26,7.95,7.64,4.06,"园林, 中科院系, PPP, 林业, "
14,002301.SZ,002301,齐心集团,文教休闲,10.93,10.96,0.27,11.24,10.93,2.84,"二胎, 回购, 新零售, 云计算, 京东金融概念股, 腾讯概念股, 国资入股, 独角兽, "
15,600660.SH,600660,福耀玻璃,汽车配件,25.83,25.9,0.27,26.52,25.83,2.67,"高股息, 白马股, MSCI, 蔚来汽车概念股, 社保重仓, 汽车零部件, 玻璃, "
16,601918.SH,601918,新集能源,煤炭开采,3.58,3.59,0.28,3.63,3.58,1.4,"火电, 煤炭, 央企改革, 业绩预增, 煤化工, "
17,600522.SH,600522,中天科技,通信设备,10.44,10.47,0.29,10.68,10.44,2.3,"5G, 光通信, MSCI, 风电, 储能, 量子通信, 新能源汽车, 石墨烯, 工业互联网, 充电桩, "
18,603010.SH,603010,万盛股份,化工原料,16.92,16.97,0.3,17.0,16.92,0.47,"国产芯片, 资产重组, "
19,002316.SZ,002316,亚联发展,软件服务,9.56,9.59,0.31,9.81,9.56,2.62,"华为产业链, 新零售, 互联网金融, 移动支付, 大数据, 智慧城市, 独角兽, 电子车牌, "
20,000498.SZ,000498,山东路桥,建筑施工,6.3,6.32,0.32,6.37,6.3,1.11,"宝能系, 大基建, 债转股-AMC, 山东国企改革, "
21,600418.SH,600418,江淮汽车,汽车整车,6.31,6.33,0.32,6.86,6.31,8.72,"新能源整车, 汽车整车, 安徽国企改革, 蔚来汽车概念股, 破净股, 百度概念股, 无人驾驶, 新能源汽车, 工业互联网, 富勒烯, "
22,603721.SH,603721,中广天择,影视音像,26.41,26.5,0.34,27.11,26.41,2.65,"直播/短视频, 广电, 影视, "
23,002479.SZ,002479,富春环保,火力发电,5.92,5.94,0.34,6.17,5.92,4.22,"固废处理, 回购, 定增破发, 环保, "
24,300448.SZ,300448,浩云科技,软件服务,14.74,14.79,0.34,15.26,14.74,3.53,"回购, 物联网, 大数据, 国产软件, 股权转让, 智慧安防, "
25,000790.SZ,000790,泰合健康,中成药,5.88,5.9,0.34,5.95,5.88,1.19,"医药, 中药, 眼科, "
26,000510.SZ,000510,金路集团,化工原料,5.68,5.7,0.35,5.79,5.68,1.94,"烧碱, PVC, 教育, 石墨烯, 年报季报, "
27,002594.SZ,002594,比亚迪,汽车整车,55.95,56.16,0.38,57.52,55.95,2.81,"MSCI, 新能源整车, 大消费, 汽车整车, 华为产业链, 业绩预增, 百度概念股, 光伏, 储能, 无人驾驶, 锂电池, 新能源汽车, 3D玻璃, 共享经济, 充电桩, "
28,600686.SH,600686,金龙汽车,汽车整车,10.49,10.53,0.38,10.73,10.49,2.29,"新能源整车, 汽车整车, 百度概念股, 无人驾驶, 燃料电池, 数字中国, 新能源汽车, "
29,000686.SZ,000686,东北证券,证券,10.5,10.54,0.38,10.54,10.5,0.38,"MSCI, 券商, "
30,000403.SZ,000403,振兴生化,生物制药,28.46,28.57,0.39,28.61,28.46,0.53,"血制品, 业绩预增, 股权争夺, ST摘帽, "
31,600640.SH,600640,号百控股,影视音像,17.54,17.61,0.4,18.35,17.54,4.62,"阿里巴巴概念股, 央企改革, 旅游, 彩票, 游戏, 手游, 广电, "
32,603878.SH,603878,武进不锈,钢加工,14.96,15.02,0.4,15.06,14.96,0.67,"钢铁, 业绩预增, "
33,300086.SZ,300086,康芝药业,化学制药,7.33,7.36,0.41,7.65,7.33,4.37,"二胎, 民营医院, 医药, 化学药, 海南自由贸易港, 基因测序, 自贸区, 自由贸易港, 海南, "
34,300698.SZ,300698,万马科技,通信设备,19.44,19.52,0.41,21.08,19.44,8.44,"5G, 光通信, 物联网, 量子通信, 医疗器械, 互联网医疗, "
35,300366.SZ,300366,创意信息,软件服务,9.24,9.28,0.43,9.32,9.24,0.87,"5G, 华为产业链, 大数据, 智慧城市, 国产软件, "
36,601997.SH,601997,贵阳银行,银行,13.83,13.89,0.43,14.27,13.83,3.18,"银行, MSCI, "
37,002099.SZ,002099,海翔药业,化学制药,8.97,9.01,0.45,9.56,8.97,6.58,"回购, 业绩预增, 染料, 医药, 化学药, "
38,002196.SZ,002196,方正电机,纺织机械,6.73,6.76,0.45,7.0,6.73,4.01,"特斯拉, "
39,600265.SH,600265,ST景谷,林业,27.37,27.5,0.47,27.77,27.37,1.46,"林业, 股权转让, ST股, "
