,ts_code,symbol,name,industry,COL_AGGRESSIVE_COUNT_LONG,COL_AGGRESSIVE_COUNT_SHORT,COL_CIRC_MV
0,600696.SH,600696,岩石股份,区域地产,1.0,1.0,139.41
1,300184.SZ,300184,力源信息,元器件,1.0,1.0,62.88
2,600327.SH,600327,大东方,汽车服务,1.0,1.0,71.93
3,300037.SZ,300037,新宙邦,化工原料,1.0,1.0,402.79
4,600338.SH,600338,西藏珠峰,铅锌,1.0,1.0,168.49
5,300017.SZ,300017,网宿科技,电信运营,1.0,1.0,140.09
6,600348.SH,600348,华阳股份,煤炭开采,1.0,1.0,182.54
7,300005.SZ,300005,探路者,服饰,1.0,1.0,80.87
8,600410.SH,600410,华胜天成,软件服务,1.0,1.0,87.24
9,002960.SZ,002960,青鸟消防,专用机械,1.0,1.0,47.44
10,002932.SZ,002932,明德生物,医疗保健,1.0,1.0,41.98
11,002912.SZ,002912,中新赛克,软件服务,1.0,1.0,50.14
12,002902.SZ,002902,铭普光磁,元器件,1.0,1.0,18.12
13,600480.SH,600480,凌云股份,汽车配件,1.0,1.0,83.06
14,600498.SH,600498,烽火通信,通信设备,1.0,1.0,214.65
15,002858.SZ,002858,力盛赛车,文教休闲,1.0,1.0,17.01
16,600610.SH,600610,中毅达,化工原料,1.0,1.0,61.6
17,002847.SZ,002847,盐津铺子,食品,1.0,1.0,113.26
18,300615.SZ,300615,欣天科技,元器件,1.0,1.0,14.99
19,600727.SH,600727,鲁北化工,农药化肥,1.0,1.0,42.2
20,300188.SZ,300188,美亚柏科,软件服务,1.0,1.0,129.37
21,300211.SZ,300211,亿通科技,通信设备,1.0,1.0,36.32
22,300229.SZ,300229,拓尔思,软件服务,1.0,1.0,66.74
23,300250.SZ,300250,初灵信息,软件服务,1.0,1.0,20.04
24,300502.SZ,300502,新易盛,通信设备,1.0,1.0,135.57
25,300659.SZ,300659,中孚信息,软件服务,1.0,1.0,61.49
26,300473.SZ,300473,德尔股份,汽车配件,1.0,1.0,27.74
27,300472.SZ,300472,新元科技,专用机械,1.0,1.0,19.98
28,300679.SZ,300679,电连技术,元器件,1.0,1.0,109.95
29,300453.SZ,300453,三鑫医疗,医疗保健,1.0,1.0,45.24
30,300421.SZ,300421,力星股份,机械基件,1.0,1.0,31.67
31,300394.SZ,300394,天孚通信,通信设备,1.0,1.0,87.53
32,300759.SZ,300759,康龙化成,化学制药,1.0,1.0,638.96
33,002810.SZ,002810,山东赫达,化工原料,1.0,1.0,143.33
34,300369.SZ,300369,绿盟科技,软件服务,1.0,1.0,132.18
35,300768.SZ,300768,迪普科技,软件服务,1.0,1.0,62.12
36,300352.SZ,300352,北信源,软件服务,1.0,1.0,81.8
37,300776.SZ,300776,帝尔激光,专用机械,1.0,1.0,74.93
38,300333.SZ,300333,兆日科技,软件服务,1.0,1.0,32.92
39,300324.SZ,300324,旋极信息,软件服务,1.0,1.0,55.79
40,300799.SZ,300799,左江科技,软件服务,1.0,1.0,22.06
41,300310.SZ,300310,宜通世纪,通信设备,1.0,1.0,35.63
42,300302.SZ,300302,同有科技,软件服务,1.0,1.0,38.06
43,600096.SH,600096,云天化,农药化肥,1.0,1.0,204.72
44,300363.SZ,300363,博腾股份,化学制药,1.0,1.0,396.91
45,002732.SZ,002732,燕塘乳业,乳制品,1.0,1.0,39.21
46,300597.SZ,300597,吉大通信,通信设备,1.0,1.0,21.68
47,600869.SH,600869,远东股份,电气设备,1.0,1.0,128.72
48,002140.SZ,002140,东华科技,建筑工程,1.0,1.0,44.1
49,603232.SH,603232,格尔软件,软件服务,1.0,1.0,43.08
50,000012.SZ,000012,南玻A,玻璃,1.0,1.0,211.07
51,000063.SZ,000063,中兴通讯,通信设备,1.0,1.0,1326.93
52,000155.SZ,000155,川能动力,新型电力,1.0,1.0,218.57
53,603628.SH,603628,清源股份,电气设备,1.0,1.0,29.98
54,002036.SZ,002036,联创电子,元器件,1.0,1.0,174.4
55,002010.SZ,002010,传化智联,仓储物流,1.0,1.0,258.55
56,603889.SH,603889,新澳股份,纺织,1.0,1.0,31.37
57,000938.SZ,000938,紫光股份,软件服务,1.0,1.0,723.89
58,000906.SZ,000906,浙商中拓,批发业,1.0,1.0,84.64
59,000504.SZ,000504,南华生物,生物制药,1.0,1.0,68.66
60,000848.SZ,000848,承德露露,软饮料,1.0,1.0,124.11
61,000818.SZ,000818,航锦科技,化工原料,1.0,1.0,216.71
62,603855.SH,603855,华荣股份,专用机械,1.0,1.0,55.63
63,603867.SH,603867,新化股份,化工原料,1.0,1.0,26.44
64,000636.SZ,000636,风华高科,元器件,1.0,1.0,327.83
65,000596.SZ,000596,古井贡酒,白酒,1.0,1.0,928.62
66,002184.SZ,002184,海得控制,软件服务,1.0,1.0,29.59
67,000590.SZ,000590,启迪药业,中成药,1.0,1.0,22.72
68,002212.SZ,002212,天融信,软件服务,1.0,1.0,233.87
69,600876.SH,600876,洛阳玻璃,玻璃,1.0,1.0,62.92
70,002622.SZ,002622,融钰集团,综合类,1.0,1.0,43.01
71,600958.SH,600958,东方证券,证券,1.0,1.0,604.06
72,002571.SZ,002571,德力股份,玻璃,1.0,1.0,21.32
73,601127.SH,601127,小康股份,汽车配件,1.0,1.0,717.56
74,002518.SZ,002518,科士达,电气设备,1.0,1.0,98.82
75,002485.SZ,002485,希努尔,服饰,1.0,1.0,27.09
76,601877.SH,601877,正泰电器,电气设备,1.0,1.0,722.39
77,603223.SH,603223,恒通股份,供气供热,1.0,1.0,91.81
78,002457.SZ,002457,青龙管业,塑料,1.0,1.0,33.38
79,603029.SH,603029,天鹅股份,农用机械,1.0,1.0,13.75
80,605028.SH,605028,N世茂,供气供热,1.0,1.0,8.17
81,603038.SH,603038,华立股份,装修装饰,1.0,1.0,27.16
82,002269.SZ,002269,美邦服饰,服饰,1.0,1.0,87.94
83,002268.SZ,002268,卫士通,软件服务,1.0,1.0,175.46
84,603127.SH,603127,昭衍新药,医疗保健,1.0,1.0,398.85
85,002214.SZ,002214,大立科技,电器仪表,1.0,1.0,85.93
86,002439.SZ,002439,启明星辰,软件服务,1.0,1.0,229.73
87,605020.SH,605020,永和股份,化工原料,2.0,1.0,7.32
88,300718.SZ,300718,长盛轴承,机械基件,2.0,1.0,29.65
89,300620.SZ,300620,光库科技,元器件,2.0,1.0,64.6
90,603613.SH,603613,国联股份,互联网,2.0,1.0,260.56
