,ts_code,symbol,name,industry,COL_LASTPRICE,COL_PCT_CHG,COL_RECENT_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300857.SZ,300857,协创数据,IT设备,45.58,20.0105,9.0,23.54,,0.0
1,002993.SZ,002993,奥海科技,元器件,68.57,9.9936,7.0,30.99,,0.0
2,605388.SH,605388,均瑶健康,软饮料,31.14,9.9965,6.0,21.8,,0.0
3,605333.SH,605333,沪光股份,汽车配件,12.29,10.0269,6.0,4.93,,0.0
4,300368.SZ,300368,汇金股份,IT设备,18.61,19.9871,6.0,94.86,中央汇金资产管理有限责任公司,1.0
5,600158.SH,600158,中体产业,文教休闲,16.09,9.9795,6.0,105.79,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",2.0
6,603931.SH,603931,格林达,化工原料,45.09,10.0024,5.0,11.48,,0.0
7,300313.SZ,300313,天山生物,农业综合,11.17,19.9785,5.0,20.57,,0.0
8,000897.SZ,000897,津滨发展,区域地产,3.53,9.9688,4.0,57.09,"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划",7.0
9,300116.SZ,300116,坚瑞沃能,电气设备,3.01,19.9203,4.0,113.71,"上海国泰君安君彤投资管理有限公司-君彤二期投资基金
兴业财富资产-兴业银行-兴业财富-兴利190号特定多客户资产管理计划",2.0
10,300350.SZ,300350,华鹏飞,仓储物流,6.41,13.2509,4.0,19.73,"珠海安赐互联柒号股权投资基金企业(有限合伙)
珠海安赐互联捌号股权投资基金企业(有限合伙)",2.0
11,603161.SH,603161,科华控股,汽车配件,18.98,10.029,4.0,13.17,"上海翎巧资产管理有限公司-速赢二号私募证券投资基金
扬州尚颀股权投资基金中心(有限合伙)
上海尚颀股权投资基金一期合伙企业(有限合伙)
上海翎巧资产管理有限公司-翎巧2号私募证券投资基金",4.0
12,603787.SH,603787,新日股份,摩托车,27.21,9.9838,4.0,55.51,"中国银行股份有限公司-长盛生态环境主题灵活配置混合型证券投资基金
中国农业银行股份有限公司-长盛动态精选证券投资基金",2.0
13,600823.SH,600823,世茂股份,全国地产,6.12,10.0719,3.0,229.57,"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
华夏基金-农业银行-华夏中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
银华基金-农业银行-银华中证金融资产管理计划",13.0
14,300343.SZ,300343,联创股份,互联网,3.33,13.2653,3.0,26.4,,0.0
15,605008.SH,605008,长鸿高科,塑料,18.37,10.0,3.0,8.45,,0.0
16,600976.SH,600976,健民集团,中成药,30.2,10.0182,3.0,46.3,"兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)
招商银行股份有限公司-东方红京东大数据灵活配置混合型证券投资基金
中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
泰康资管-交通银行-泰康资产管理有限责任公司优势精选资产管理产品
深圳市南方鑫泰投资发展有限公司-南方鑫泰-私募学院菁英145号基金",6.0
17,300866.SZ,300866,C安克,元器件,163.41,11.2692,2.0,58.14,,0.0
18,300867.SZ,300867,C圣元,环境保护,71.45,56.0725,2.0,42.4,,0.0
19,300862.SZ,300862,C蓝盾,电器仪表,79.37,22.7118,2.0,24.86,,0.0
20,300865.SZ,300865,C大宏立,专用机械,84.0,27.2727,2.0,19.05,,0.0
21,300869.SZ,300869,C康泰,医疗保健,138.99,17.7881,2.0,53.56,,0.0
22,300861.SZ,300861,C美畅,矿物制品,79.0,12.7605,2.0,29.68,,0.0
23,300868.SZ,300868,C杰美特,通信设备,86.08,14.3616,2.0,26.13,,0.0
24,300798.SZ,300798,锦鸡股份,染料涂料,16.8,12.9792,2.0,7.02,深圳前海南方天赋资产管理有限公司-天赋一号证券投资私募基金,1.0
25,300870.SZ,300870,C欧陆通,元器件,99.5,17.0588,2.0,23.88,,0.0
26,300871.SZ,300871,C回盛,生物制药,78.11,26.2894,2.0,20.52,,0.0
27,300873.SZ,300873,C海晨,仓储物流,79.85,37.6962,2.0,25.24,,0.0
28,300875.SZ,300875,C捷强,专用机械,163.79,12.9586,2.0,31.45,,0.0
29,300876.SZ,300876,C蒙泰,化纤,82.69,36.5648,2.0,18.82,,0.0
30,300801.SZ,300801,泰和科技,化工原料,33.2,18.4868,2.0,17.93,"深圳齐兴资产管理有限公司-齐兴汇盈全兴债券私募投资基金
深圳齐兴资产管理有限公司
深圳齐兴资产管理有限公司-齐兴汇泽长盈债券投资私募基金",3.0
31,300878.SZ,300878,C维康,中成药,99.99,23.3835,2.0,19.07,,0.0
32,600189.SH,600189,吉林森工,软饮料,5.81,10.0379,2.0,28.61,"中国华融资产管理股份有限公司
吉林省吉盛资产管理有限责任公司",2.0
33,600321.SH,600321,正源股份,其他建材,2.41,10.0457,2.0,36.4,,0.0
34,603595.SH,603595,东尼电子,元器件,38.72,10.0,2.0,56.98,中国农业银行-华夏平稳增长混合型证券投资基金,1.0
35,300877.SZ,300877,C金春,纺织,104.0,76.8707,2.0,29.59,,0.0
36,688393.SH,688393,安必平,医疗保健,57.3,13.4653,2.0,12.15,,0.0
37,300248.SZ,300248,新开普,软件服务,14.74,10.9105,2.0,48.84,"全国社保基金一零一组合
基本养老保险基金八零八组合
中国建设银行股份有限公司-鹏华价值优势混合型证券投资基金(LOF)",3.0
38,300185.SZ,300185,通裕重工,工程机械,3.26,13.986,2.0,97.88,中央汇金资产管理有限责任公司,1.0
39,002677.SZ,002677,浙江美大,家用电器,19.69,10.0,2.0,55.02,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
上海浦东发展银行股份有限公司-易方达裕祥回报债券型证券投资基金
招商银行股份有限公司-光大保德信优势配置混合型证券投资基金
杭州纯阳资产管理有限公司-纯阳十号私募证券投资基金",5.0
40,300526.SZ,300526,中潜股份,专用机械,102.6,12.303,2.0,209.55,"北京泽盈投资有限公司-顺势2号私募证券投资基金
北京泽盈投资有限公司-顺势1号私募证券投资基金",2.0
41,300106.SZ,300106,西部牧业,农业综合,11.21,20.0214,2.0,23.69,"中海信托股份有限公司-中海-浦江之星177号集合资金信托
中海信托股份有限公司-中海-浦江之星165号集合资金信托",2.0
42,300269.SZ,300269,联建光电,半导体,4.46,19.8925,2.0,18.79,申万菱信基金-工商银行-华融国际信托-盛世景定增基金权益投资集合资金信托计划,1.0
43,002537.SZ,002537,海联金汇,汽车整车,8.86,10.0621,2.0,109.67,西部利得基金-民生银行-云南国际信托-晟昱6号集合资金信托计划,1.0
44,603226.SH,603226,菲林格尔,家居用品,12.54,10.0,1.0,26.04,,0.0
45,603663.SH,603663,三祥新材,矿物制品,20.75,10.0212,1.0,39.28,,0.0
46,603683.SH,603683,晶华新材,化工原料,16.67,10.033,1.0,8.41,,0.0
47,603688.SH,603688,石英股份,矿物制品,25.92,10.017,1.0,89.88,"中国工商银行股份有限公司-汇添富价值精选混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金
中国银行股份有限公司-国泰鑫利一年持有期混合型证券投资基金",4.0
48,603709.SH,603709,中源家居,家居用品,33.62,10.0131,1.0,6.72,,0.0
49,300654.SZ,300654,世纪天鸿,出版业,10.88,10.0101,1.0,9.32,,0.0
