code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
002427,*ST尤夫,3.85,-53.739,0.221,40.586,0.309,
002604,*ST龙力,5.08,-53.593,0.221,-47.722,0.217,
600634,*ST富控,5.76,-43.852,0.135,-37.911,0.277,
600202,*ST哈空,3.83,-43.428,0.191,-27.315,0.133,
600209,*ST罗顿,4.39,-36.992,0.125,-49.083,0.266,
002103,广博股份,3.74,-36.506,0.106,-28.477,0.144,
600666,奥瑞德,7.95,-35.477,0.266,-70.933,0.281,
002552,*ST宝鼎,2.0,-33.998,0.146,-21.708,0.113,
600749,*ST藏旅,1.89,-32.875,0.119,-8.738,0.088,
002163,中航三鑫,8.03,-32.874,0.164,-18.796,0.107,
000509,华塑控股,8.25,-32.704,0.128,-27.407,0.121,
002729,好利来,0.67,-31.801,0.099,-42.571,0.188,
600870,*ST厦华,5.23,-31.649,0.132,-34.944,0.31,
600238,*ST椰岛,4.45,-31.379,0.184,0.136,0.137,
002320,海峡股份,5.58,-30.907,0.093,-31.964,0.26,
002194,*ST凡谷,5.3,-29.014,0.109,1.857,0.204,
600539,*ST狮头,2.3,-27.428,0.096,-11.566,0.105,
002622,融钰集团,8.4,-26.582,0.07,-71.843,0.343,
002569,步森股份,1.4,-26.226,0.072,-41.14,0.308,
600807,*ST天业,7.87,-25.661,0.088,-64.428,0.591,
002260,*ST德奥,2.65,-25.017,0.072,-80.49,0.727,
000593,大通燃气,2.8,-24.925,0.064,2.056,0.153,
002596,海南瑞泽,8.63,-24.159,0.096,-41.043,0.234,
000886,海南高速,9.68,-23.279,0.078,-32.324,0.163,
000955,欣龙控股,5.38,-23.256,0.07,-21.986,0.158,
002250,联化科技,8.89,-22.339,0.091,17.973,0.088,
002188,*ST巴士,2.15,-21.984,0.079,-25.248,0.155,
600193,*ST创兴,4.25,-21.739,0.099,-13.689,0.102,
000523,广州浪奇,5.35,-20.952,0.06,-21.225,0.245,
002738,中矿资源,1.26,-20.481,0.092,-28.92,0.159,
000707,*ST双环,4.64,-20.152,0.092,-9.175,0.107,
002562,兄弟科技,4.98,-20.006,0.093,-21.911,0.336,
000019,深深宝Ａ,4.16,-19.937,0.092,-24.621,0.123,
000567,海德股份,1.5,-19.882,0.028,-47.391,0.23,
002496,ST辉丰,9.67,-19.73,0.113,-38.68,0.188,
600929,湖南盐业,1.5,-19.688,0.079,-43.365,0.304,
600651,飞乐音响,9.85,-19.564,0.04,-34.581,0.151,
002642,荣之联,5.16,-19.536,0.096,-42.404,0.146,
600416,湘电股份,8.81,-19.421,0.086,-34.22,0.151,
000505,京粮控股,4.06,-19.275,0.048,-23.383,0.126,
002366,台海核电,4.89,-19.127,0.079,-52.815,0.329,
000760,斯太尔,6.54,-18.89,0.059,-3.868,0.145,
002765,蓝黛传动,2.55,-18.672,0.086,-12.62,0.112,
000585,*ST东电,6.09,-18.668,0.085,-11.295,0.074,
002454,松芝股份,6.17,-18.516,0.096,-32.996,0.28,
002692,睿康股份,7.15,-18.307,0.051,-53.275,0.207,
002636,金安国纪,2.46,-18.075,0.099,-25.907,0.124,
000638,万方发展,3.09,-17.858,0.095,-33.452,0.195,
600290,华仪电气,5.27,-17.578,0.112,-56.9,0.462,
601599,鹿港文化,8.9,-17.567,0.053,-42.993,0.205,
600051,宁波联合,3.11,-17.375,0.101,-25.101,0.115,
600746,江苏索普,3.05,-17.019,0.083,-5.006,0.078,
000613,大东海A,2.66,-16.947,0.067,-29.326,0.177,
002229,鸿博股份,4.12,-16.864,0.064,-43.677,0.243,
002694,顾地科技,4.99,-16.856,0.063,-37.721,0.147,
600354,敦煌种业,5.28,-16.853,0.098,-36.616,0.161,
002799,环球印务,0.77,-16.83,0.039,-33.18,0.152,
002012,凯恩股份,4.67,-16.689,0.095,-25.837,0.166,
002474,榕基软件,4.69,-16.453,0.044,-32.505,0.109,
002175,东方网络,5.24,-16.399,0.078,-31.572,0.135,
600359,新农开发,3.82,-16.197,0.064,-14.466,0.118,
600731,湖南海利,3.27,-16.006,0.062,-16.903,0.104,
002919,名臣健康,0.2,-15.853,0.084,-32.177,0.161,
600699,均胜电子,9.49,-15.509,0.057,-20.412,0.071,
