,ts_code,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_CURRENT_PRICE,circ_mv
2246,600131.SH,岷江水电,水力发电,13.52,27.0,4.0,20.58,838962.08
817,002356.SZ,赫美集团,其他商业,12.13,17.0,0.0,17.69,849543.5021
3044,601519.SH,大智慧,软件服务,11.6,28.0,4.0,10.8,2146716.0
3137,603000.SH,人民网,互联网,10.15,29.0,4.0,27.91,3085983.7373
2133,300759.SZ,康龙化成,化学制药,8.87,30.0,0.0,44.9,294678.7
2633,600604.SH,市北高新,园区开发,8.8,27.0,4.0,16.12,2150705.7493
637,002175.SZ,东方网络,电器仪表,8.54,27.0,4.0,6.77,405802.4202
1206,002750.SZ,龙津药业,中成药,8.19,28.0,0.0,17.88,710351.5269
1758,300370.SZ,安控科技,电器仪表,8.05,27.0,4.0,5.51,393391.8691
919,002458.SZ,益生股份,农业综合,7.7,29.0,4.0,41.1,858222.6178
619,002157.SZ,正邦科技,饲料,7.22,30.0,4.0,16.9,3664599.1941
1784,300397.SZ,天和防务,通信设备,6.9,27.0,4.0,23.0,356655.3075
696,002234.SZ,民和股份,农业综合,6.72,28.0,4.0,30.1,575374.3196
586,002124.SZ,天邦股份,饲料,6.61,27.0,4.0,18.85,1995256.3418
1027,002567.SZ,唐人神,饲料,6.4,27.0,4.0,14.0,1060085.7974
2927,600975.SH,新五丰,农业综合,6.28,30.0,4.0,10.88,710111.0354
2674,600651.SH,飞乐音响,电器仪表,6.22,27.0,1.0,6.22,612806.8412
2573,600536.SH,中国软件,软件服务,6.12,28.0,4.0,52.04,2573704.7175
2205,600086.SH,东方金钰,服饰,6.11,27.0,4.0,6.29,664755.5151
1025,002565.SZ,顺灏股份,造纸,5.55,27.0,4.0,11.56,791671.5292
226,000670.SZ,盈方微,元器件,5.33,27.0,4.0,5.71,342381.0421
1434,300043.SZ,星辉娱乐,文教休闲,5.25,28.0,4.0,6.38,575926.095
938,002477.SZ,雏鹰农牧,农业综合,5.25,27.0,4.0,2.67,526170.6527
1745,300356.SZ,光一科技,电气设备,5.1,29.0,4.0,10.29,379466.6679
2206,600088.SH,中视传媒,影视音像,5.0,27.0,0.0,20.36,809730.2304
898,002437.SZ,誉衡药业,化学制药,4.95,28.0,4.0,5.59,1211395.7607
2652,600624.SH,复旦复华,综合类,4.93,28.0,0.0,13.3,910666.9733
1529,300139.SZ,晓程科技,元器件,4.92,28.0,3.0,12.91,274222.0859
2019,300638.SZ,广和通,通信设备,4.81,28.0,0.0,62.14,247938.6
3470,603729.SH,龙韵股份,广告包装,4.76,28.0,4.0,23.44,218784.272
30,000037.SZ,深南电A,火力发电,4.75,25.0,0.0,11.0,372783.4132
2453,600375.SH,华菱星马,汽车整车,4.73,27.0,4.0,6.5,361231.3881
1424,300033.SZ,同花顺,软件服务,4.56,30.0,4.0,86.3,2280929.315
1833,300446.SZ,乐凯新材,化工原料,4.51,28.0,4.0,25.86,306160.1785
990,002530.SZ,金财互联,专用机械,4.5,28.0,4.0,10.96,409571.1514
3023,601311.SH,骆驼股份,电气设备,4.46,27.0,4.0,15.57,1320955.331
322,000806.SZ,银河生物,生物制药,4.39,28.0,3.0,5.93,414179.8425
539,002077.SZ,大港股份,区域地产,4.33,28.0,4.0,6.57,349337.364
949,002488.SZ,金固股份,汽车配件,4.25,27.0,4.0,11.15,857221.298
583,002121.SZ,科陆电子,电器仪表,4.24,28.0,4.0,6.51,589556.9027
651,002189.SZ,利达光电,元器件,4.21,29.0,4.0,22.58,444142.0066
973,002512.SZ,达华智能,元器件,4.18,28.0,4.0,6.2,547618.1025
1469,300079.SZ,数码科技,通信设备,4.18,30.0,4.0,6.86,829435.2022
562,002100.SZ,天康生物,饲料,4.14,27.0,4.0,9.0,867064.5081
2250,600136.SH,当代明诚,影视音像,4.12,28.0,4.0,13.4,601092.4752
1901,300514.SZ,友讯达,通信设备,4.12,27.0,4.0,16.57,149660.24
593,002131.SZ,利欧股份,互联网,4.1,28.0,4.0,2.25,897050.1438
2382,600290.SH,华仪电气,电气设备,4.06,28.0,1.0,8.11,616281.7474
2363,600268.SH,国电南自,电气设备,3.9,28.0,0.0,8.67,550758.6583
3339,603396.SH,金辰股份,专用机械,3.88,27.0,4.0,44.94,141871.8635
51,000068.SZ,华控赛格,元器件,3.87,28.0,4.0,6.41,645276.4084
3455,603707.SH,健友股份,化学制药,3.84,27.0,0.0,37.6,1070111.2656
2659,600635.SH,大众公用,供气供热,3.82,27.0,4.0,7.23,1748786.381
348,000839.SZ,中信国安,综合类,3.81,29.0,4.0,6.51,2551273.6885
1858,300471.SZ,厚普股份,专用机械,3.79,28.0,0.0,11.32,309344.47
2211,600094.SH,大名城,区域地产,3.68,28.0,0.0,6.95,1582240.4486
2047,300667.SZ,必创科技,电器仪表,3.67,18.0,4.0,31.94,219287.1618
2480,600406.SH,国电南瑞,软件服务,3.67,12.0,4.0,22.27,5685988.2788
1962,300579.SZ,数字认证,软件服务,3.59,28.0,2.0,41.9,201228.5922
416,000948.SZ,南天信息,软件服务,3.57,28.0,4.0,17.1,421519.1861
993,002533.SZ,金杯电工,电气设备,3.56,18.0,4.0,6.2,321068.9809
444,000981.SZ,银亿股份,汽车配件,3.52,27.0,2.0,4.86,1251117.3816
2675,600652.SH,游久游戏,互联网,3.47,27.0,4.0,4.71,392203.3476
391,000911.SZ,南宁糖业,食品,3.46,28.0,4.0,8.99,291348.7624
