,ts_code,symbol,name,industry,COL_RECENT_LIMIT_COUNT
0,000816.SZ,000816,智慧农业,农用机械,8.0
1,002612.SZ,002612,朗姿股份,服饰,6.0
2,603533.SH,603533,掌阅科技,互联网,6.0
3,003018.SZ,003018,金富科技,塑料,5.0
4,605007.SH,605007,五洲特纸,造纸,5.0
5,601702.SH,601702,华峰铝业,铝,5.0
6,002750.SZ,002750,龙津药业,中成药,4.0
7,600807.SH,600807,济南高新,区域地产,4.0
8,600686.SH,600686,金龙汽车,汽车整车,4.0
9,605111.SH,605111,新洁能,半导体,4.0
10,000545.SZ,000545,金浦钛业,化工原料,4.0
11,600321.SH,600321,正源股份,其他建材,4.0
12,603333.SH,603333,尚纬股份,电气设备,3.0
13,002172.SZ,002172,澳洋健康,化纤,3.0
14,000923.SZ,000923,河钢资源,普钢,3.0
15,601995.SH,601995,中金公司,证券,3.0
16,002141.SZ,002141,贤丰控股,元器件,3.0
17,603919.SH,603919,金徽酒,白酒,3.0
18,600559.SH,600559,老白干酒,白酒,3.0
19,600543.SH,600543,莫高股份,红黄酒,3.0
20,601866.SH,601866,中远海发,水运,3.0
21,300569.SZ,300569,天能重工,专用机械,3.0
22,300126.SZ,300126,锐奇股份,轻工机械,3.0
23,600336.SH,600336,澳柯玛,家用电器,3.0
24,002646.SZ,002646,青青稞酒,白酒,3.0
25,000807.SZ,000807,云铝股份,铝,3.0
26,002824.SZ,002824,和胜股份,铝,3.0
27,600189.SH,600189,吉林森工,软饮料,3.0
28,689009.SH,689009,九号公司-UWD,专用机械,3.0
29,688179.SH,688179,阿拉丁,化学制药,3.0
30,688133.SH,688133,泰坦科技,化工原料,3.0
31,300727.SZ,300727,润禾材料,化工原料,3.0
32,300903.SZ,300903,C科翔,元器件,2.0
33,300708.SZ,300708,聚灿光电,半导体,2.0
34,300258.SZ,300258,精锻科技,汽车配件,2.0
35,300540.SZ,300540,深冷股份,专用机械,2.0
36,300538.SZ,300538,同益股份,批发业,2.0
37,000622.SZ,000622,恒立实业,汽车配件,2.0
38,603615.SH,603615,茶花股份,家居用品,2.0
39,688288.SH,688288,鸿泉物联,汽车配件,2.0
40,300442.SZ,300442,普丽盛,轻工机械,2.0
41,000570.SZ,000570,苏常柴A,机械基件,2.0
